[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 1] Now these were the sons of David, who were born to him in Hebron; the first-born Amnon, of Ahinoam the Jezreelitess; the second Daniel, of Abigail the Carmelitess:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 2] The third, Absalom the son of Maachah the daughter of Talmai king of Geshur: the fourth, Adonijah the son of Haggith:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 3] The fifth, Shephatiah of Abital: the sixth, Ithream by Eglah his wife.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 4] These six were born to him in Hebron; and there he reigned seven years and six months: and in Jerusalem he reigned thirty and three years.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 5] And these were born to him in Jerusalem; Shimea, and Shobab, and Nathan, and Solomon, four, of Bath-shua the daughter of Ammiel:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 6] Ibhar also, and Elishama, and Eliphelet,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 7] And Nogah, and Nepheg, and Japhia,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 8] And Elishama, and Eliada, and Eliphelet, nine.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 9] These were all the sons of David, besides the sons of the concubines, and Tamar their sister.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 10] And Solomon's son was Rehoboam, Abia his son, Asa his son, Jehoshaphat his son,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 11] Joram his son, Ahaziah his son, Joash his son,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 12] Amaziah his son, Azariah his son, Jotham his son,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 13] Ahaz his son, Hezekiah his son, Manasseh his son,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 14] Amon his son, Josiah his son.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 15] And the sons of Josiah were , the first-born Johanan, the second Jehoiakim, the third Zedekiah, the fourth Shallum.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 16] And the sons of Jehoiakim; Jeconiah his son, Zedekiah his son.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 17] And the sons of Jeconiah; Assir, Salathiel his son.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 18] Malchiram also, and Pedaiah, and Shenazar, Jecamiah, Hoshama, and Nedabiah.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 19] And the sons of Pedaiah were , Zerubbabel, and Shimei: and the sons of Zerubbabel; Meshullam, and Hananiah, and Shelomith their sister:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 20] And Hashubah, and Ohel, and Berechiah, and Hasadiah, and Jushab-hesed, five.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 21] And the sons of Hananiah; Pelatiah, and Jesaiah: the sons of Rephaiah, the sons of Arnan, the sons of Obadiah, the sons of Shechaniah.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 22] And the sons of Shechaniah; Shemaiah; and the sons of Shemaiah; Hattush, and Igeal, and Bariah, and Neariah, and Shaphat, six.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 23] And the sons of Neariah; Elioenai, and Hezekiah, and Azrikam, three.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 3 | Verse 24] And the sons of Elioenai were , Hodaiah, and Eliashib, and Pelaiah, and Akkub, and Johanan, and Delaiah, and Anani, seven.
