[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 1] Then all Israel gathered themselves to David to Hebron, saying, Behold, we are thy bone and thy flesh.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 2] And moreover in time past, even when Saul was king, thou wast he that leddest out and broughtest in Israel: and the LORD thy God said to thee, Thou shalt feed my people Israel, and thou shalt be ruler over my people Israel.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 3] Therefore came all the elders of Israel to the king to Hebron; and David made a covenant with them in Hebron before the LORD; and they anointed David king over Israel, according to the word of the LORD by Samuel.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 4] And David and all Israel went to Jerusalem, which is Jebus; where the Jebusites were , the inhabitants of the land.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 5] And the inhabitants of Jebus said to David, Thou shalt not come hither. Nevertheless David took the castle of Zion, which is the city of David.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 6] And David said, Whoever smiteth the Jebusites first shall be chief and captain. So Joab the son of Zeruiah went up first, and was chief.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 7] And David dwelt in the castle; therefore they called it, The city of David.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 8] And he built the city around, even from Millo around: and Joab repaired the rest of the city.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 9] So David became greater and greater: for the LORD of hosts was with him.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 10] These also are the chief of the mighty men whom David had, who strengthened themselves with him in his kingdom, and with all Israel, to make him king according to the word of the LORD concerning Israel.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 11] And this is the number of the mighty men whom David had; Jashobeam a Hachmonite, the chief of the captains: he lifted his spear against three hundred slain by him at one time.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 12] And after him was Eleazar the son of Dodo, the Ahohite, who was one of the three mighties.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 13] He was with David at Pas-dammim, and there the Philistines were gathered to battle, where was a parcel of ground full of barley; and the people fled from before the Philistines.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 14] And they set themselves in the midst of that parcel, and delivered it, and slew the Philistines; and the LORD saved them by a great deliverance.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 15] Now three of the thirty captains went down to the rock to David, into the cave of Adullam; and the host of the Philistines encamped in the valley of Rephaim.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 16] And David was then in the hold, and the Philistines' garrison was then at Beth-lehem.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 17] And David longed, and said, Oh that one would give me drink of the water of the well of Beth-lehem, that is at the gate!
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 18] And the three broke through the host of the Philistines, and drew water out of the well of Beth-lehem, that was by the gate, and took it , and brought it to David: but David would not drink of it, but poured it out to the LORD,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 19] And said, My God forbid it me, that I should do this thing: shall I drink the blood of these men that have put their lives in jeopardy? for with the jeopardy of their lives they brought it. Therefore he would not drink it. These things did these three mightiest.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 20] And Abishai the brother of Joab, he was chief of the three: for lifting his spear against three hundred, he slew them , and had a name among the three.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 21] Of the three, he was more honorable than the two; for he was their captain: but he attained not to the first three.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 22] Benaiah the son of Jehoiada, the son of a valiant man of Kabzeel, who had done many acts; he slew two lion-like men of Moab: also he went down and slew a lion in a pit in a snowy day.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 23] And he slew an Egyptian, a man of great stature, five cubits high; and in the Egyptian's hand was a spear like a weaver's beam; and he went down to him with a staff, and plucked the spear out of the Egyptian's hand, and slew him with his own spear.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 24] These things did Benaiah the son of Jehoiada, and had the name among the three mighties.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 25] Behold, he was honorable among the thirty, but attained not to the first three: and David set him over his guard.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 26] Also the valiant men of the armies were , Asahel the brother of Joab, Elhanan the son of Dodo of Beth-lehem,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 27] Shammoth the Harorite, Helez the Pelonite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 28] Ira the son of Ikkesh the Tekoite, Abiezer the Antothite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 29] Sibbecai the Hushathite, Ilai the Ahohite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 30] Maharai the Netophathite, Heled the son of Baanah the Netophathite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 31] Ithai the son of Ribai of Gibeah, that pertained to the children of Benjamin, Benaiah the Pirathonite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 32] Hurai of the brooks of Gaash, Abiel the Arbathite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 33] Azmaveth the Baharumite, Eliahba the Shaalbonite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 34] The sons of Hashem the Gizonite, Jonathan the son of Shage the Hararite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 35] Ahiam the son of Sacar the Hararite, Eliphel the son of Ur,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 36] Hepher the Mecherathite, Ahijah the Pelonite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 37] Hezro the Carmelite, Naarai the son of Ezbai,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 38] Joel the brother of Nathan, Mibhar the son of Haggeri,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 39] Zelek the Ammonite, Naharai the Berothite, the armor-bearer of Joab the son of Zeruiah,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 40] Ira the Ithrite, Gareb the Ithrite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 41] Uriah the Hittite, Zabad the son of Ahlai,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 42] Adina the son of Shiza the Reubenite, a captain of the Reubenites, and thirty with him,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 43] Hanan the son of Maachah, and Joshaphat the Mithnite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 44] Uzzia the Ashterathite, Shama and Jehiel the sons of Hothan the Aroerite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 45] Jediael the son of Shimri, and Joha his brother, the Tizite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 46] Eliel the Mehavite, and Jeribai, and Joshaviah, the sons of Elnaam, and Ithmah the Moabite,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 11 | Verse 47] Eliel, and Obed, and Jasiel the Mesobaite.
