[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 1] Now Benjamin begat Bela his first-born, Ashbel the second, and Aharah the third.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 2] Nohah the fourth, and Rapha the fifth.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 3] And the sons of Bela were Addar, and Gera, and Abihud,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 4] And Abishua, and Naaman, and Ahoah,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 5] And Gera, and Shephuphan, and Huram.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 6] And these are the sons of Ehud: these are the heads of the fathers of the inhabitants of Geba, and they removed them to Manahath:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 7] And Naaman, and Ahiah, and Gera, he removed them, and begat Uzza, and Ahihud.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 8] And Shaharaim begat children in the country of Moab, after he had sent them away; Hushim and Baara were his wives.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 9] And he begat of Hodesh his wife, Jobab, and Zibia, and Mesha, and Malcham,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 10] And Jeuz, and Shachia, and Mirma. These were his sons, heads of the fathers.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 11] And of Hushim he begat Ahitub, and Elpaal.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 12] The sons of Elpaal; Eber, and Misham, and Shamed, who built Ono, and Lod, with its town:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 13] Beriah also, and Shema, who were heads of the fathers of the inhabitants of Ajalon, who drove away the inhabitants of Gath:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 14] And Ahio, Shashak, and Jeremoth,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 15] And Zebadiah, and Arad, and Ader,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 16] And Michael, and Ispah, and Joha, the sons of Beriah;
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 17] And Zebadiah, and Meshullam, and Hezeki, and Heber,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 18] Ishmerai also, and Jezliah, and Jobab, the sons of Elpaal;
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 19] And Jakim, and Zichri, and Zabdi,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 20] And Elienai, and Zilthai, and Eliel,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 21] And Adaiah, and Beraiah, and Shimrath, the sons of Shimhi;
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 22] And Ishpan, and Heber, and Eliel,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 23] And Abdon, and Zichri, and Hanan,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 24] And Hananiah, and Elam, and Antothijah,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 25] And Iphedeiah, and Penuel, the sons of Shashak;
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 26] And Shamsherai, and Shehariah, and Athaliah,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 27] And Jaresiah, and Eliah, and Zichri, the sons of Jeroham.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 28] These were heads of the fathers, by their generations, chief men . These dwelt in Jerusalem.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 29] And at Gibeon dwelt the father of Gibeon; whose wife's name was Maachah:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 30] And his first-born son Abdon, and Zur, and Kish, and Baal, and Nadab,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 31] And Gedor, and Ahio, and Zacher.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 32] And Mikloth begat Shimeah. And these also dwelt with their brethren in Jerusalem, over against them.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 33] And Ner begat Kish, and Kish begat Saul, and Saul begat Jonathan, and Malchi-shua, and Abinadab, and Esh-baal.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 34] And the son of Jonathan was Merib-baal; and Merib-baal begat Micah.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 35] And the sons of Micah were , Pithon, and Melech, and Tarea, and Ahaz.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 36] And Ahaz begat Jehoadah; and Jehoadah begat Alemeth, and Azmaveth, and Zimri; and Zimri begat Moza,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 37] And Moza begat Bineah: Rapha was his son, Eleasah his son, Azel his son:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 38] And Azel had six sons, whose names are these, Azrikam, Bocheru, and Ishmael, and Sheariah, and Obadiah, and Hanan. All these were the sons of Azel.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 39] And the sons of Eshek his brother were , Ulam his first-born, Jehush the second, and Eliphelet the third.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 8 | Verse 40] And the sons of Ulam were mighty men of valor, archers, and had many sons, and sons' sons a hundred and fifty. All these are of the sons of Benjamin.
