[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 1] And David made him houses in the city of David, and prepared a place for the ark of God, and pitched for it a tent.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 2] Then David said, None ought to carry the ark of God but the Levites: for them hath the LORD chosen to carry the ark of God, and to minister to him for ever.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 3] And David assembled all Israel to Jerusalem, to bring up the ark of the LORD to its place, which he had prepared for it.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 4] And David assembled the children of Aaron, and the Levites:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 5] Of the sons of Kohath; Uriel the chief, and his brethren a hundred and twenty:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 6] Of the sons of Merari; Asaiah the chief, and his brethren two hundred and twenty:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 7] Of the sons of Gershom; Joel the chief, and his brethren a hundred and thirty:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 8] Of the sons of Elizaphan; Shemaiah the chief, and his brethren two hundred:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 9] Of the sons of Hebron; Eliel the chief, and his brethren eighty:
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 10] Of the sons of Uzziel: Amminadab the chief, and his brethren a hundred and twelve.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 11] And David called for Zadok and Abiathar the priests, and for the Levites, for Uriel, Asaiah, and Joel, Shemaiah, and Eliel, and Amminadab,
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 12] And said to them, Ye are the chief of the fathers of the Levites: sanctify yourselves, both ye and your brethren, that ye may bring up the ark of the LORD God of Israel to the place that I have prepared for it.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 13] For because ye did it not at the first, the LORD our God made a breach upon us, for that we sought him not after the due order.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 14] So the priests and the Levites sanctified themselves to bring up the ark of the LORD God of Israel.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 15] And the children of the Levites bore the ark of God upon their shoulders with the staffs on it, as Moses commanded, according to the word of the LORD.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 16] And David spoke to the chief of the Levites to appoint their brethren to be the singers with instruments of music, psalteries, and harps, and cymbals, sounding, by lifting up the voice with joy.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 17] So the Levites appointed Heman the son of Joel; and of his brethren, Asaph the son of Berechiah; and of the sons of Merari their brethren, Ethan the son of Kushaiah;
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 18] And with them their brethren of the second degree , Zechariah, Ben, and Jaaziel, and Shemiramoth, and Jehiel, and Unni, Eliab, and Benaiah, and Maaseiah, and Mattithiah, and Elipheleh, and Mikneiah, and Obed-edom, and Jeiel, the porters.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 19] So the singers, Heman, Asaph, and Ethan, were appointed to sound with cymbals of brass;
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 20] And Zechariah, and Aziel, and Shemiramoth, and Jehiel, and Unni, and Eliab, and Maaseiah, and Benaiah, with psalteries on Alamoth;
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 21] And Mattithiah, and Elipheleh, and Mikneiah, and Obed-edom, and Jeiel, and Azaziah, with harps on the Sheminith to excel.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 22] And Chenaniah, chief of the Levites, was for song: he instructed about the song, because he was skillful.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 23] And Berechiah and Elkanah were door-keepers for the ark.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 24] And Shebaniah, and Jehoshaphat, and Nethaneel, and Amasai, and Zechariah, and Benaiah, and Eliezer the priests, did blow with the trumpets before the ark of God: and Obed-edom and Jehiah were door-keepers for the ark.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 25] So David and the elders of Israel, and the captains over thousands, went to bring up the ark of the covenant of the LORD from the house of Obed-edom with joy.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 26] And it came to pass, when God helped the Levites that bore the ark of the covenant of the LORD, that they offered seven bullocks and seven rams.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 27] And David was clothed with a robe of fine linen, and all the Levites that bore the ark, and the singers, and Chenaniah the master of the song with the singers: David also had upon him an ephod of linen.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 28] Thus all Israel brought up the ark of the covenant of the LORD with shouting, and with sound of the cornet, and with trumpets, and with cymbals, making a noise with psalteries and harps.
[WEBSTER | EN | OT | 1 Chronicles | Chapter 15 | Verse 29] And it came to pass, as the ark of the covenant of the LORD came to the city of David, that Michal the daughter of Saul, looking out at a window, saw king David dancing and playing: and she despised him in her heart.
