[IRV | KN | NT | 1 Corinthians | Chapter 5 | Verse 1] ನಿಮ್ಮಲ್ಲಿ ಜಾರತ್ವವುಂಟೆಂಬ ಸುದ್ದಿಯನ್ನು ನಾನು ಕೇಳಿದ್ದೇನೆ. ಒಬ್ಬನು ತನ್ನ ತಂದೆಯ ಹೆಂಡತಿಯನ್ನು ಇಟ್ಟುಕೊಂಡಿದ್ದಾನಂತೆ. ಅಂಥ ಜಾರತ್ವವು ಅನ್ಯಜನರಲ್ಲಿಯೂ ಸಹ ಇಲ್ಲ.
[IRV | KN | NT | 1 Corinthians | Chapter 5 | Verse 2] ಹೀಗಿದ್ದರೂ ನೀವು ದುಃಖಿಸದೆ, ಈ ಕಾರ್ಯಮಾಡಿದವನನ್ನು ನಿಮ್ಮೊಳಗಿಂದ ಬಹಿಷ್ಕರಿಸದೆ, ಉಬ್ಬಿಕೊಂಡಿದ್ದೀರಲ್ಲಾ.
[IRV | KN | NT | 1 Corinthians | Chapter 5 | Verse 3] ನಾನಂತೂ ಶಾರೀರಿಕವಾಗಿ ನಿಮ್ಮಿಂದ ದೂರವಾಗಿದ್ದರೂ, ಆತ್ಮದಿಂದ ಹತ್ತಿರದಲ್ಲಿದ್ದು ಈ ಕಾರ್ಯ ಮಾಡಿದವನನ್ನು ಕುರಿತು ಆಗಲೇ ನಿಮ್ಮ ಹತ್ತಿರವಿದ್ದವನಂತೆ ತೀರ್ಪು ಮಾಡಿದ್ದೇನೆ.
[IRV | KN | NT | 1 Corinthians | Chapter 5 | Verse 4] ನಮ್ಮ ಕರ್ತನಾದ ಯೇಸುವಿನ ನಾಮದಲ್ಲಿ ನೀವೆಲ್ಲರೂ ಸೇರಿ ಬರುವಾಗ ನಾನು ಆತ್ಮದಿಂದ ನಿಮ್ಮೊಂದಿಗಿರುತ್ತೇನೆ ಹಾಗೂ
[IRV | KN | NT | 1 Corinthians | Chapter 5 | Verse 5] ಅವನನ್ನು ಸೈತಾನನಿಗೆ ಒಪ್ಪಿಸಿರಿ ಯಾಕೆಂದರೆ ಕರ್ತನಾದ ಯೇಸುವಿನ ಪ್ರತ್ಯಕ್ಷತೆಯ ದಿನದಲ್ಲಿ ಅಂಥವನ ಆತ್ಮವು ರಕ್ಷಣೆ ಹೊಂದುವುದಕ್ಕಾಗಿ ಅವನ ಶರೀರಭಾವವು ನಾಶವಾಗುವಂತೆ ಕರ್ತನಾದ ಯೇಸುವಿನ ಶಕ್ತಿಯಿಂದ ತೀರ್ಪು ಮಾಡಿದ್ದೇನೆ.
[IRV | KN | NT | 1 Corinthians | Chapter 5 | Verse 6] ನೀವು ಹೊಗಳಿಕೊಳ್ಳುವುದು ಒಳ್ಳೆಯದಲ್ಲ. ಸ್ವಲ್ಪ ಹುಳಿ ಕಲಸಿದರೆ ಕಣಕವೆಲ್ಲಾ ಹುಳಿಯಾಗುತ್ತದೆಂಬುದು ನಿಮಗೆ ತಿಳಿಯದೋ?
[IRV | KN | NT | 1 Corinthians | Chapter 5 | Verse 7] ನೀವು ಹುಳಿಯಿಲ್ಲದವರೆನಿಸಿಕೊಂಡದ್ದರಿಂದ ಹಳೇ ಹುಳಿಯನ್ನು ತೆಗೆದುಹಾಕಿ ಹೊಸ ಕಣಕದಂತಾಗಿರಿ. ಯಾಕೆಂದರೆ ಈಗಾಗಲೇ ನಮ್ಮ ಪಸ್ಕ ಯಜ್ಞದ ಕುರಿಮರಿಯು ಬಲಿಯಾಗಿದೆ; ಆ ಕುರಿಮರಿ ಯಾವುದೆಂದರೆ ಕ್ರಿಸ್ತನೇ.
[IRV | KN | NT | 1 Corinthians | Chapter 5 | Verse 8] ಆದಕಾರಣ ನಾವು ಹಳೇ ಹುಳಿಯನ್ನು ಅಂದರೆ ದುರ್ಮಾರ್ಗತ್ವ ಮತ್ತು ದುಷ್ಟತ್ವ ಎಂಬ ಹುಳಿಯನ್ನು ಇಟ್ಟುಕೊಳ್ಳದೇ ಪ್ರಾಮಾಣಿಕತೆ ಹಾಗೂ ಸತ್ಯತೆ ಎಂಬ ಹುಳಿಯಿಲ್ಲದ ರೊಟ್ಟಿಯನ್ನೇ ತೆಗೆದುಕೊಂಡು ಹಬ್ಬವನ್ನು ಆಚರಿಸೋಣ.
[IRV | KN | NT | 1 Corinthians | Chapter 5 | Verse 9] ಜಾರರ ಸಹವಾಸ ಮಾಡಬಾರದೆಂದು ನನ್ನ ಪತ್ರಿಕೆಯಲ್ಲಿ ಬರೆದಿದ್ದೇನೆ.
[IRV | KN | NT | 1 Corinthians | Chapter 5 | Verse 10] ಅದು ಈ ಲೋಕದಲ್ಲಿರುವ ಜಾರರು, ಆಸೆಬುರುಕರು, ಸುಲುಕೊಳ್ಳುವವರು, ವಿಗ್ರಹಾರಾಧಕರು, ಮೊದಲಾದವರ ಸಹವಾಸವನ್ನು ಬಿಟ್ಟುಬಿಡಬೇಕೆಂಬ ಅರ್ಥದಲ್ಲಿ ಅಲ್ಲ; ಹಾಗೆ ಬಿಡಬೇಕಾದರೆ ನೀವು ಈ ಲೋಕವನ್ನೇ ಬಿಟ್ಟುಹೋಗಬೇಕಾದೀತು.
[IRV | KN | NT | 1 Corinthians | Chapter 5 | Verse 11] ಆದರೆ ಕ್ರೈಸ್ತ ಸಹೋದರನೆನಿಸಿಕೊಂಡವನು ಜಾರನು, ಲೋಭಿಯು, ವಿಗ್ರಹಾರಾಧಕನು, ಜಗಳಗಂಟನೂ, ಕುಡುಕನು, ಸುಲುಕೊಳ್ಳುವವನೂ ಆಗಿದ್ದ ಪಕ್ಷದಲ್ಲಿ ಅವನ ಸಹವಾಸ ಮಾಡಬಾರದು. ಅಂಥವನ ಸಂಗಡ ಊಟ ಸಹ ಮಾಡಬಾರದು ಎಂದು ಬರೆದಿದ್ದೇನೆ.
