[IRV | KN | NT | 1 Corinthians | Chapter 12 | Verse 1] ಸಹೋದರರೇ ಪವಿತ್ರಾತ್ಮನಿಂದುಂಟಾಗುವ ವರಗಳನ್ನು ಕುರಿತು ನಿಮಗೆ ತಿಳಿವಳಿಕೆಯಿರಬೇಕೆಂದು ನಾನು ಅಪೇಕ್ಷಿಸುತ್ತೇನೆ.
[IRV | KN | NT | 1 Corinthians | Chapter 12 | Verse 2] ನೀವು ಅನ್ಯಜನರಾಗಿದ್ದಾಗ ಮೂಕ ವಿಗ್ರಹಗಳು ನಿಮ್ಮನ್ನು ನಡೆಸಿದ ಹಾಗೆ ನೀವು ಅವುಗಳ ಬಳಿಗೆ ಹೋಗುತ್ತಿದ್ದಿರೆಂದು ಬಲ್ಲಿರಿ.
[IRV | KN | NT | 1 Corinthians | Chapter 12 | Verse 3] ಹೀಗಿರುವುದರಿಂದ ನಾನು ನಿಮಗೆ ತಿಳಿಸುವುದನ್ನು ಕೇಳಿರಿ. ದೇವರಾತ್ಮನ ಪ್ರೇರಣೆಯಿಂದ ಮಾತನಾಡುವ ಯಾವ ಮನುಷ್ಯನಾದರೂ “ಯೇಸುವನ್ನು ಶಾಪಗ್ರಸ್ತನೆಂದು” ಹೇಳುವುದಿಲ್ಲ. ಮತ್ತು ಪವಿತ್ರಾತ್ಮನ ಪ್ರೇರಣೆಯಿಂದಲೇ ಹೊರತು ಯಾವ ಮನುಷ್ಯನಾದರೂ “ಯೇಸುವನ್ನು ಕರ್ತನೆಂದು” ಹೇಳಲಾರನು.
[IRV | KN | NT | 1 Corinthians | Chapter 12 | Verse 4] ವರಗಳಲ್ಲಿ ಬೇರೆ ಬೇರೆ ವಿಧಗಳುಂಟು. ಆದರೆ ದೇವರಾತ್ಮನು ಒಬ್ಬನೇ.
[IRV | KN | NT | 1 Corinthians | Chapter 12 | Verse 5] ಸೇವೆಗಳಲ್ಲಿ ಬೇರೆ ಬೇರೆ ವಿಧಗಳುಂಟು ಆದರೆ ಕರ್ತನು ಒಬ್ಬನೇ.
[IRV | KN | NT | 1 Corinthians | Chapter 12 | Verse 6] ಕಾರ್ಯಗಳಲ್ಲಿ ಬೇರೆ ಬೇರೆ ವಿಧಗಳುಂಟು ಆದರೆ ಸರ್ವರಲ್ಲಿಯೂ ಸರ್ವ ಕಾರ್ಯಗಳನ್ನು ಸಾಧಿಸುವ ದೇವರು ಒಬ್ಬನೇ.
[IRV | KN | NT | 1 Corinthians | Chapter 12 | Verse 7] ಆದರೆ ಪ್ರತಿಯೊಬ್ಬನಲ್ಲಿ ತೋರಿಬರುವ ದೇವರಾತ್ಮನ ವರಗಳು ಸರ್ವರ ಪ್ರಯೋಜನಕ್ಕಾಗಿ ಕೊಡಲ್ಪಟ್ಟಿವೆ.
[IRV | KN | NT | 1 Corinthians | Chapter 12 | Verse 8] ಒಬ್ಬನಿಗೆ ದೇವರಾತ್ಮನ ಮೂಲಕ ಜ್ಞಾನವಾಕ್ಯವು ಮತ್ತೊಬ್ಬನಿಗೆ ಆ ಆತ್ಮನಿಂದಲೇ ತಿಳಿವಳಿಕೆಯ ವಾಕ್ಯವು
[IRV | KN | NT | 1 Corinthians | Chapter 12 | Verse 9] ಒಬ್ಬನಿಗೆ ಆ ಆತ್ಮನಿಂದಲೇ ನಂಬಿಕೆಯು ಮತ್ತೊಬ್ಬನಿಗೆ ಆ ಒಬ್ಬ ಆತ್ಮನಿಂದಲೇ ನಾನಾ ರೋಗಗಳನ್ನು ವಾಸಿಮಾಡುವ ವರವು,
[IRV | KN | NT | 1 Corinthians | Chapter 12 | Verse 10] ಮತ್ತೊಬ್ಬನಿಗೆ ಮಹತ್ಕಾರ್ಯಗಳನ್ನು ಮಾಡುವ ವರವು, ಇನ್ನೊಬ್ಬನಿಗೆ ಪ್ರವಾದನೆಯ ವರವು, ಒಬ್ಬನಿಗೆ ಆತ್ಮವನ್ನು ವಿವೇಚಿಸುವ ವರವು, ಮತ್ತೊಬ್ಬನಿಗೆ ವಿವಿಧ ಭಾಷೆಗಳನ್ನಾಡುವ ವರವು, ಒಬ್ಬನಿಗೆ ಭಾಷೆಗಳ ಅರ್ಥವನ್ನು ಬಿಡಿಸಿ ಹೇಳುವ ವರವು ಕೊಡಲ್ಪಡುತ್ತದೆ.
[IRV | KN | NT | 1 Corinthians | Chapter 12 | Verse 11] ಆದರೆ ಈ ಎಲ್ಲವುಗಳಲ್ಲಿ ಕಾರ್ಯ ಮಾಡುವ ಆ ಒಬ್ಬ ಆತ್ಮನೇ ವರಗಳನ್ನೆಲ್ಲಾ ತನ್ನ ಚಿತ್ತಾನುಸಾರವಾಗಿ ಒಬ್ಬೊಬ್ಬನಿಗೆ ಹಂಚಿಕೊಡುವವನಾಗಿದ್ದಾನೆ.
