[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 1] And it came to pass in the eleventh year, in the first day of the month, that the word of the Lord came unto me, saying,
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 2] Son of man, because that Tyre hath said against Jerusalem, Aha, she is broken that was the gate of the peoples; she is turned unto me: I shall be replenished, now that she is laid waste:
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 3] therefore thus saith the Lord GOD: Behold, I am against thee, O Tyre, and will cause many nations to come up against thee, as the sea causeth his waves to come up.
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 4] And they shall destroy the walls of Tyre, and break down her towers: I will also scrape her dust from her, and make her a bare rock.
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 5] She shall be a place for the spreading of nets in the midst of the sea; for I have spoken it, saith the Lord GOD: and she shall become a spoil to the nations.
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 6] And her daughters which are in the field shall be slain with the sword: and they shall know that I am the LORD.
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 7] For thus saith the Lord GOD: Behold, I will bring upon Tyre Nebuchadrezzar king of Babylon, king of kings, from the north, with horses; and with chariots, and with horsemen, and a company, and much people.
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 8] He shall slay with the sword thy daughters in the field: and he shall make forts against thee, and cast up a mount against thee, and raise up the buckler against thee.
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 9] And he shall set his battering engines against thy walls, and with his axes he shall break down thy towers.
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 10] By reason of the abundance of his horses their dust shall cover thee: thy walls shall shake at the noise of the horsemen, and of the wagons, and of the chariots, when he shall enter into thy gates, as men enter into a city wherein is made a breach.
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 11] With the hoofs of his horses shall he tread down all thy streets: he shall slay thy people with the sword, and the pillars of thy strength shall go down to the ground.
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 12] And they shall make a spoil of thy riches, and make a prey of thy merchandise: and they shall break down thy walls, and destroy thy pleasant houses: and they shall lay thy stones and thy timber and thy dust in the midst of the waters.
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 13] And I will cause the noise of thy songs to cease; and the sound of thy harps shall be no more heard.
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 14] And I will make thee a bare rock: thou shalt be a place for the spreading of nets; thou shalt be built no more: for I the LORD have spoken it, saith the Lord GOD.
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 15] Thus saith the Lord GOD to Tyre: Shall not the isles shake at the sound of thy fall, when the wounded groan, when the slaughter is made in the midst of thee?
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 16] Then all the princes of the sea shall come down from their thrones, and lay aside their robes, and strip off their broidered garments: they shall clothe themselves with trembling; they shall sit upon the ground, and shall tremble every moment, and be astonished at thee.
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 17] And they shall take up a lamentation for thee, and say to thee, How art thou destroyed, that wast inhabited of seafaring men, the renowned city, which wast strong in the sea, she and her inhabitants, which caused their terror to be on all that haunt it!
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 18] Now shall the isles tremble in the day of thy fall; yea, the isles that are in the sea shall be dismayed at thy departure.
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 19] For thus saith the Lord GOD: When I shall make thee a desolate city, like the cities that are not inhabited; when I shall bring up the deep upon thee, and the great waters shall cover thee;
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 20] then will I bring thee down with them that descend into the pit, to the people of old time, and will make thee to dwell in the nether parts of the earth, in the places that are desolate of old, with them that go down to the pit, that thou be not inhabited; and I will set glory in the land of the living:
[ERV | EN | OT | Ezekiel | Chapter 26 | Verse 21] I will make thee a terror, and thou shalt be no more: though thou be sought for, yet shalt thou never be found again, saith the Lord GOD.
