[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 1] The word of the Lord came unto me again, saying,
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 2] What mean ye, that ye use this proverb concerning the land of Israel, saying, The fathers have eaten sour grapes, and the children’s teeth are set on edge?
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 3] As I live, saith the Lord GOD, ye shall not have occasion any more to use this proverb in Israel.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 4] Behold, all souls are mine; as the soul of the father, so also the soul of the son is mine: the soul that sinneth, it shall die.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 5] But if a man be just, and do that which is lawful and right,
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 6] and hath not eaten upon the mountains, neither hath lifted up his eyes to the idols of the house of Israel, neither hath defiled his neighbour’s wife, neither hath come near to a woman in her separation;
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 7] and hath not wronged any, but hath restored to the debtor his pledge, hath spoiled none by violence, hath given his bread to the hungry, and hath covered the naked with a garment;
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 8] he that hath not given forth upon usury, neither hath taken any increase, that hath withdrawn his hand from iniquity, hath executed true judgment between man and man,
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 9] hath walked in my statutes, and hath kept my judgments, to deal truly; he is just, he shall surely live, saith the Lord GOD.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 10] If he beget a son that is a robber, a shedder of blood, and that doeth any one of these things,
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 11] and that doeth not any of those duties, but even hath eaten upon the mountains, and defiled his neighbour’s wife,
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 12] hath wronged the poor and needy, hath spoiled by violence, hath not restored the pledge, and hath lifted up his eyes to the idols, hath committed abomination,
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 13] hath given forth upon usury, and hath taken increase: shall he then live? he shall not live: he hath done all these abominations: he shall surely die; his blood shall be upon him.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 14] Now, lo, if he beget a son, that seeth all his father’s sins, which he hath done, and feareth, and doth not such like,
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 15] that hath not eaten upon the mountains, neither hath lifted up his eyes to the idols of the house of Israel, hath not defiled his neighbour’s wife,
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 16] neither hath wronged any, hath not taken aught to pledge, neither hath spoiled by violence, but hath given his bread to the hungry, and hath covered the naked with a garment,
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 17] that hath withdrawn his hand from the poor, that hath not received usury nor increase, hath executed my judgments, hath walked in my statutes; he shall not die for the iniquity of his father, he shall surely live.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 18] As for his father, because he cruelly oppressed, spoiled his brother by violence, and did that which is not good among his people, behold, he shall die in his iniquity.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 19] Yet say ye, Wherefore doth not the son bear the iniquity of the father? When the son hath done that which is lawful and right, and hath kept all my statutes, and hath done them, he shall surely live.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 20] The soul that sinneth, it shall die: the son shall not bear the iniquity of the father, neither shall the father bear the iniquity of the son; the righteousness of the righteous shall be upon him, and the wickedness of the wicked shall be upon him.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 21] But if the wicked turn from all his sins that he hath committed, and keep all my statutes, and do that which is lawful and right, he shall surely live, he shall not die.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 22] None of his transgressions that he hath committed shall be remembered against him: in his righteousness that he hath done he shall live.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 23] Have I any pleasure in the death of the wicked? saith the Lord GOD: and not rather that he should return from his way, and live?
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 24] But when the righteous turneth away from his righteousness, and committeth iniquity, and doeth according to all the abominations that the wicked man doeth, shall he live? None of his righteous deeds that he hath done shall be remembered: in his trespass that he hath trespassed, and in his sin that he hath sinned, in them shall he die.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 25] Yet ye say, The way of the Lord is not equal. Hear now, O house of Israel: Is not my way equal? are not your ways unequal?
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 26] When the righteous man turneth away from his righteousness, and committeth iniquity, and dieth therein; in his iniquity that he hath done shall he die.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 27] Again, when the wicked man turneth away from his wickedness that he hath committed, and doeth that which is lawful and right, he shall save his soul alive.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 28] Because he considereth, and turneth away from all his transgressions that he hath committed, he shall surely live, he shall not die.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 29] Yet saith the house of Israel, The way of the Lord is not equal. O house of Israel, are not my ways equal? are not your ways unequal?
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 30] Therefore I will judge you, O house of Israel, every one according to his ways, saith the Lord GOD. Return ye, and turn yourselves from all your transgressions; so iniquity shall not be your ruin.
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 31] Cast away from you all your transgressions, whereto ye have transgressed; and make you a new heart and a new spirit: for why will ye die, O house of Israel?
[ERV | EN | OT | Ezekiel | Chapter 18 | Verse 32] For I have no pleasure in the death of him that dieth, saith the Lord GOD: wherefore turn yourselves, and live.
