[IRV | PA | OT | Numbers | Chapter 16 | Verse 1] ਕਹਾਥ ਦੇ ਪੋਤੇ ਯਿਸਹਾਰ ਦੇ ਪੁੱਤਰ ਕੋਰਹ ਲੇਵੀ ਨੇ ਅਤੇ ਅਲੀਆਬ ਦੇ ਪੁੱਤਰਾਂ ਦਾਥਾਨ ਅਤੇ ਅਬੀਰਾਮ ਨੇ ਅਤੇ ਪਲਤ ਦੇ ਪੁੱਤਰ ਓਨ ਨੇ ਜਿਹੜੇ ਰਊਬੇਨੀ ਸਨ, ਮਨੁੱਖਾਂ ਨੂੰ ਨਾਲ ਲਿਆ।
[IRV | PA | OT | Numbers | Chapter 16 | Verse 2] ਉਹ ਅਤੇ ਇਸਰਾਏਲੀਆਂ ਵਿੱਚੋਂ ਢਾਈ ਸੌ ਮਨੁੱਖ ਜਿਹੜੇ ਮੰਡਲੀ ਦੇ ਪ੍ਰਧਾਨ ਅਤੇ ਮੰਡਲੀ ਦੇ ਚੁਣਵੇਂ ਅਤੇ ਨਾਮੀ ਸਨ, ਮੂਸਾ ਦੇ ਅੱਗੇ ਉੱਠੇ।
[IRV | PA | OT | Numbers | Chapter 16 | Verse 3] ਅਤੇ ਉਹ ਮੂਸਾ ਦੇ ਵਿਰੁੱਧ ਅਤੇ ਹਾਰੂਨ ਦੇ ਵਿਰੁੱਧ ਇਕੱਠੇ ਹੋਏ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖਿਆ, ਹੁਣ ਤਾਂ ਬਸ ਕਰੋ ਕਿਉਂ ਜੋ ਸਾਰੀ ਮੰਡਲੀ ਦੇ ਲੋਕ ਪਵਿੱਤਰ ਹਨ ਅਤੇ ਯਹੋਵਾਹ ਉਨ੍ਹਾਂ ਦੇ ਵਿੱਚ ਹੈ। ਤੁਸੀਂ ਫਿਰ ਕਿਵੇਂ ਆਪਣੇ ਆਪ ਨੂੰ ਯਹੋਵਾਹ ਦੀ ਸਭਾ ਨਾਲੋਂ ਉੱਚਾ ਬਣਾਉਂਦੇ ਹੋ?
[IRV | PA | OT | Numbers | Chapter 16 | Verse 4] ਜਦ ਮੂਸਾ ਨੇ ਸੁਣਿਆ ਤਾਂ ਉਹ ਆਪਣੇ ਮੂੰਹ ਦੇ ਭਾਰ ਡਿੱਗਿਆ।
[IRV | PA | OT | Numbers | Chapter 16 | Verse 5] ਉਹ ਕੋਰਹ ਅਤੇ ਉਹ ਦੀ ਸਾਰੀ ਟੋਲੀ ਨੂੰ ਬੋਲਿਆ ਕਿ ਸਵੇਰ ਨੂੰ ਯਹੋਵਾਹ ਦੱਸੇਗਾ ਕਿ ਕੌਣ ਉਸ ਦਾ ਹੈ ਅਤੇ ਕੌਣ ਪਵਿੱਤਰ ਹੈ ਅਤੇ ਕਿਸਨੂੰ ਆਪਣੇ ਨੇੜੇ ਲਿਆਵੇਗਾ, ਜਿਸ ਨੂੰ ਉਹ ਚੁਣੇਗਾ ਉਹ ਨੂੰ ਨੇੜੇ ਲਿਆਵੇਗਾ।
[IRV | PA | OT | Numbers | Chapter 16 | Verse 6] ਇਹ ਕਰੋ ਕਿ ਕੋਰਹ ਅਤੇ ਉਸ ਦੀ ਸਾਰੀ ਟੋਲੀ ਆਪਣੇ ਲਈ ਧੂਪਦਾਨ ਲਓ।
[IRV | PA | OT | Numbers | Chapter 16 | Verse 7] ਅਤੇ ਕੱਲ ਨੂੰ ਉਨ੍ਹਾਂ ਵਿੱਚ ਅੱਗ ਪਾਓ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਵਿੱਚ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਧੂਪ ਪਾਓ ਤਾਂ ਅਜਿਹਾ ਹੋਵੇਗਾ ਕਿ ਉਹ ਮਨੁੱਖ ਜਿਸ ਨੂੰ ਯਹੋਵਾਹ ਚੁਣੇਗਾ ਉਹ ਪਵਿੱਤਰ ਹੋਵੇਗਾ। ਹੁਣ ਲੇਵੀਓ, ਤੁਸੀਂ ਵੀ ਬਸ ਕਰੋ!
[IRV | PA | OT | Numbers | Chapter 16 | Verse 8] ਤਾਂ ਮੂਸਾ ਨੇ ਕੋਰਹ ਨੂੰ ਆਖਿਆ, ਹੇ ਲੇਵੀਓ ਸੁਣੋ!
[IRV | PA | OT | Numbers | Chapter 16 | Verse 9] ਕਿ ਇਹ ਗੱਲ ਤੁਹਾਡੇ ਲਈ ਛੋਟੀ ਹੈ ਕਿ ਇਸਰਾਏਲ ਦੇ ਪਰਮੇਸ਼ੁਰ ਨੇ ਤੁਹਾਨੂੰ ਇਸਰਾਏਲੀਆਂ ਦੀ ਮੰਡਲੀ ਤੋਂ ਵੱਖਰਾ ਕੀਤਾ ਤਾਂ ਜੋ ਉਹ ਤੁਹਾਨੂੰ ਨੇੜੇ ਲਿਆਵੇ ਕਿ ਤੁਸੀਂ ਯਹੋਵਾਹ ਦੇ ਡੇਰੇ ਦੀ ਟਹਿਲ ਸੇਵਾ ਕਰੋ ਅਤੇ ਮੰਡਲੀ ਦੇ ਅੱਗੇ ਖਲੋ ਕੇ ਉਹਨਾਂ ਦੀ ਸੇਵਾ ਕਰੋ?
[IRV | PA | OT | Numbers | Chapter 16 | Verse 10] ਨਾਲੇ ਉਹ ਤੈਨੂੰ ਅਤੇ ਤੇਰੇ ਸਾਰੇ ਭਰਾਵਾਂ ਨੂੰ ਜਿਹੜੇ ਲੇਵੀ ਹਨ ਤੇਰੇ ਨੇੜੇ ਲਿਆਇਆ? ਹੁਣ ਕੀ ਤੁਸੀਂ ਜਾਜਕਾਈ ਨੂੰ ਵੀ ਦੰਦ ਮਾਰਦੇ ਹੋ?
[IRV | PA | OT | Numbers | Chapter 16 | Verse 11] ਇਸੇ ਲਈ ਤੂੰ ਅਤੇ ਤੇਰੀ ਸਾਰੀ ਟੋਲੀ ਯਹੋਵਾਹ ਦੇ ਵਿਰੁੱਧ ਇਕੱਠੀ ਹੋਈ ਅਤੇ ਹਾਰੂਨ, ਉਹ ਵਿਚਾਰਾ ਕੌਣ ਹੈ ਜੋ ਤੁਸੀਂ ਉਹ ਦੇ ਵਿਰੁੱਧ ਬੁੜ-ਬੁੜਾਉਂਦੇ ਹੋ?
