[IRV | PA | OT | Numbers | Chapter 25 | Verse 1] ਜਦ ਇਸਰਾਏਲ ਸ਼ਿੱਟੀਮ ਵਿੱਚ ਵੱਸਦੇ ਸਨ, ਤਦ ਲੋਕ ਮੋਆਬ ਦੀਆਂ ਕੁੜੀਆਂ ਨਾਲ ਵਿਭਚਾਰ ਕਰਨ ਲੱਗ ਪਏ।
[IRV | PA | OT | Numbers | Chapter 25 | Verse 2] ਜਦ ਉਨ੍ਹਾਂ ਨੇ ਲੋਕਾਂ ਨੂੰ ਆਪਣੇ ਦੇਵਤਿਆਂ ਦੀਆਂ ਬਲੀਆਂ ਉੱਤੇ ਬੁਲਾਇਆ ਤਾਂ ਲੋਕਾਂ ਨੇ ਖਾਧਾ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਦੇਵਤਿਆਂ ਨੂੰ ਮੱਥਾ ਵੀ ਟੇਕਿਆ।
[IRV | PA | OT | Numbers | Chapter 25 | Verse 3] ਸੋ ਇਸਰਾਏਲ ਬਆਲ ਪਓਰ ਦੇਵਤੇ ਨਾਲ ਰਲ ਗਿਆ ਤਾਂ ਯਹੋਵਾਹ ਦਾ ਕ੍ਰੋਧ ਇਸਰਾਏਲ ਉੱਤੇ ਭੜਕਿਆ।
[IRV | PA | OT | Numbers | Chapter 25 | Verse 4] ਫੇਰ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ, ਲੋਕਾਂ ਦੇ ਸਾਰੇ ਮੁਖੀਆਂ ਨੂੰ ਲੈ ਕੇ ਯਹੋਵਾਹ ਦੇ ਅੱਗੇ ਧੁੱਪ ਵਿੱਚ ਟੰਗ ਦੇ ਤਾਂ ਜੋ ਯਹੋਵਾਹ ਦਾ ਕ੍ਰੋਧ ਇਸਰਾਏਲ ਤੋਂ ਟਲ ਜਾਵੇ।
[IRV | PA | OT | Numbers | Chapter 25 | Verse 5] ਤਾਂ ਮੂਸਾ ਨੇ ਇਸਰਾਏਲ ਦੇ ਨਿਆਂਈਆਂ ਨੂੰ ਆਖਿਆ, ਹਰ ਇੱਕ ਆਪਣੇ ਮਨੁੱਖਾਂ ਨੂੰ ਜਿਹੜੇ ਬਆਲ ਪਓਰ ਨਾਲ ਰਲ ਗਏ ਹਨ ਵੱਢ ਸੁੱਟੇ!
[IRV | PA | OT | Numbers | Chapter 25 | Verse 6] ਤਾਂ ਵੇਖੋ, ਮੂਸਾ ਅਤੇ ਸਾਰੀ ਇਸਰਾਏਲੀ ਮੰਡਲੀ ਦੇ ਵੇਖਦਿਆਂ ਜਦੋਂ ਉਹ ਮੰਡਲੀ ਦੇ ਤੰਬੂ ਦੇ ਦਰਵਾਜ਼ੇ ਕੋਲ ਰੋ ਰਹੇ ਸਨ ਇੱਕ ਇਸਰਾਏਲੀ ਮਨੁੱਖ ਇੱਕ ਮਿਦਯਾਨੀ ਇਸਤਰੀ ਨੂੰ ਲੈ ਆਇਆ।
[IRV | PA | OT | Numbers | Chapter 25 | Verse 7] ਜਦ ਹਾਰੂਨ ਜਾਜਕ ਦੇ ਪੋਤੇ ਅਲਆਜ਼ਾਰ ਦੇ ਪੁੱਤਰ ਫ਼ੀਨਹਾਸ ਨੇ ਵੇਖਿਆ ਤਾਂ ਮੰਡਲੀ ਦੇ ਤੰਬੂ ਵਿੱਚੋਂ ਉੱਠ ਕੇ ਆਪਣੇ ਹੱਥ ਵਿੱਚ ਇੱਕ ਨੇਜ਼ਾ ਲਿਆ।
[IRV | PA | OT | Numbers | Chapter 25 | Verse 8] ਅਤੇ ਉਸ ਇਸਰਾਏਲੀ ਮਨੁੱਖ ਦੇ ਪਿੱਛੇ ਚਾਨਣੀ ਵਿੱਚ ਜਾ ਕੇ ਦੋਹਾਂ ਨੂੰ ਅਰਥਾਤ ਇਸਰਾਏਲੀ ਮਨੁੱਖ ਅਤੇ ਉਸ ਇਸਤਰੀ ਦੇ ਢਿੱਡ ਨੂੰ ਵਿੰਨ੍ਹ ਦਿੱਤਾ ਤਾਂ ਇਸਰਾਏਲੀਆਂ ਤੋਂ ਬਵਾ ਰੁਕ ਗਈ।
[IRV | PA | OT | Numbers | Chapter 25 | Verse 9] ਉਸ ਬਵਾ ਨਾਲ ਚੌਵੀ ਹਜ਼ਾਰ ਮਰ ਗਏ ਸਨ।
[IRV | PA | OT | Numbers | Chapter 25 | Verse 10] ਫੇਰ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ,
[IRV | PA | OT | Numbers | Chapter 25 | Verse 11] ਹਾਰੂਨ ਜਾਜਕ ਦੇ ਪੋਤੇ ਅਲਆਜ਼ਾਰ ਦੇ ਪੁੱਤਰ ਫ਼ੀਨਹਾਸ ਨੇ ਮੇਰੇ ਕ੍ਰੋਧ ਨੂੰ ਇਸਰਾਏਲੀਆਂ ਤੋਂ ਟਾਲ ਦਿੱਤਾ ਹੈ। ਜਦ ਉਹ ਉਨ੍ਹਾਂ ਵਿੱਚ ਮੇਰੀ ਅਣਖ ਕਾਰਨ ਅਣਖੀ ਹੋਇਆ ਤਾਂ ਹੀ ਮੈਂ ਇਸਰਾਏਲੀਆਂ ਦਾ ਆਪਣੀ ਅਣਖ ਦੇ ਕਾਰਨ ਨਾਸ ਨਹੀਂ ਕੀਤਾ।
[IRV | PA | OT | Numbers | Chapter 25 | Verse 12] ਇਸ ਲਈ ਆਖ, ਕਿ ਵੇਖ, ਮੈਂ ਉਸ ਨੂੰ ਆਪਣੀ ਸ਼ਾਂਤੀ ਦਾ ਨੇਮ ਦਿੰਦਾ ਹਾਂ।
[IRV | PA | OT | Numbers | Chapter 25 | Verse 13] ਅਤੇ ਉਹ ਉਸ ਲਈ ਅਤੇ ਉਸ ਦੇ ਬਾਅਦ ਵਾਲੀ ਅੰਸ ਲਈ ਸਦਾ ਦੀ ਜਾਜਕਾਈ ਦਾ ਨੇਮ ਹੋਵੇਗਾ ਕਿਉਂ ਜੋ ਉਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਲਈ ਅਣਖੀ ਹੋਇਆ ਅਤੇ ਇਸਰਾਏਲੀਆਂ ਲਈ ਪ੍ਰਾਸਚਿਤ ਕੀਤਾ।
