[IRV | PA | OT | Numbers | Chapter 18 | Verse 1] ਫੇਰ ਯਹੋਵਾਹ ਨੇ ਹਾਰੂਨ ਨੂੰ ਆਖਿਆ, ਪਵਿੱਤਰ ਸਥਾਨ ਦੀ ਬੁਰਾਈ ਦਾ ਭਾਰ ਤੇਰੇ ਉੱਤੇ, ਤੇਰੇ ਪੁੱਤਰਾਂ ਉੱਤੇ ਅਤੇ ਤੇਰੇ ਪਿਤਾ ਦੇ ਪਰਿਵਾਰ ਉੱਤੇ ਹੋਵੇਗਾ ਅਤੇ ਤੇਰੀ ਜਾਜਕਾਈ ਦੀ ਬੁਰਾਈ ਦਾ ਭਾਰ ਵੀ ਤੇਰੇ ਨਾਲ, ਤੇਰੇ ਪੁੱਤਰਾਂ ਉੱਤੇ ਹੋਵੇਗਾ।
[IRV | PA | OT | Numbers | Chapter 18 | Verse 2] ਅਤੇ ਲੇਵੀ ਦਾ ਗੋਤ ਅਰਥਾਤ ਤੇਰੇ ਪੁਰਖਿਆਂ ਦੇ ਗੋਤ ਵਾਲੇ ਜਿਹੜੇ ਤੇਰੇ ਭਰਾ ਹਨ ਉਹਨਾਂ ਨੂੰ ਵੀ ਆਪਣੇ ਨਾਲ ਲਿਆਇਆ ਕਰ ਅਤੇ ਉਹ ਤੇਰੇ ਨਾਲ ਮਿਲ ਜਾਣ ਅਤੇ ਉਹ ਤੇਰੀ ਟਹਿਲ ਸੇਵਾ ਕਰਿਆ ਕਰਨ, ਪਰ ਸਾਖੀ ਦੇ ਤੰਬੂ ਦੇ ਸਾਹਮਣੇ ਤੂੰ ਅਤੇ ਤੇਰੇ ਪੁੱਤਰ ਹੀ ਆਉਣ।
[IRV | PA | OT | Numbers | Chapter 18 | Verse 3] ਤਾਂ ਜੋ ਉਹ ਤੇਰੀ ਅਤੇ ਸਾਰੇ ਤੰਬੂ ਦੀ ਜ਼ਿੰਮੇਵਾਰੀ ਨੂੰ ਸੰਭਾਲਣ ਪਰ ਪਵਿੱਤਰ ਸਥਾਨ ਦੇ ਭਾਂਡਿਆਂ ਕੋਲ ਅਤੇ ਜਗਵੇਦੀ ਕੋਲ ਉਹ ਨਾ ਆਉਣ ਤਾਂ ਜੋ ਉਹ ਅਤੇ ਤੁਸੀਂ ਮਰ ਨਾ ਜਾਓ।
[IRV | PA | OT | Numbers | Chapter 18 | Verse 4] ਪਰ ਉਹ ਤੇਰੇ ਨਾਲ ਮਿਲ ਜਾਣ ਅਤੇ ਉਹ ਮੰਡਲੀ ਦੇ ਤੰਬੂ ਦੀ ਜ਼ਿੰਮੇਵਾਰੀ ਨੂੰ ਸੰਭਾਲਣ। ਉਹ ਤੰਬੂ ਦੀ ਸਾਰੀ ਟਹਿਲ ਸੇਵਾ ਕਰਨ ਪਰ ਹੋਰ ਕੋਈ ਵੀ ਤੁਹਾਡੇ ਨੇੜੇ ਨਾ ਆਵੇ।
[IRV | PA | OT | Numbers | Chapter 18 | Verse 5] ਤੁਸੀਂ ਪਵਿੱਤਰ ਸਥਾਨ ਅਤੇ ਜਗਵੇਦੀ ਦੀ ਜ਼ਿੰਮੇਵਾਰੀ ਨੂੰ ਸੰਭਾਲੋ ਤਾਂ ਜੋ ਕ੍ਰੋਧ ਫੇਰ ਇਸਰਾਏਲੀਆਂ ਦੇ ਉੱਤੇ ਨਾ ਭੜਕੇ।
[IRV | PA | OT | Numbers | Chapter 18 | Verse 6] ਪਰ ਮੈਂ ਆਪ ਤੁਹਾਡੇ ਲੇਵੀ ਭਰਾਵਾਂ ਨੂੰ ਇਸਰਾਏਲੀਆਂ ਦੇ ਵਿੱਚੋਂ ਅਲੱਗ ਕਰ ਲਿਆ ਹੈ। ਅਤੇ ਉਹ ਮੰਡਲੀ ਦੇ ਤੰਬੂ ਦੀ ਟਹਿਲ ਸੇਵਾ ਕਰਨ ਲਈ ਤੁਹਾਨੂੰ ਅਤੇ ਯਹੋਵਾਹ ਨੂੰ ਸਮਰਪਤ ਕੀਤੇ ਗਏ ਹਨ।
[IRV | PA | OT | Numbers | Chapter 18 | Verse 7] ਪਰ ਤੂੰ ਅਤੇ ਤੇਰੇ ਪੁੱਤਰ ਆਪਣੀ ਜਾਜਕਾਈ ਨੂੰ ਜਗਵੇਦੀ ਦਾ ਅਤੇ ਪਰਦੇ ਦੇ ਅੰਦਰਲਾ ਸਭ ਕੁਝ ਸੰਭਾਲੋ, ਇਸ ਤਰ੍ਹਾਂ ਤੁਸੀਂ ਉਪਾਸਨਾ ਕਰੋ। ਮੈਂ ਤੁਹਾਨੂੰ ਜਾਜਕਾਈ ਦੀ ਸੇਵਾ ਦਾਨ ਦੇ ਰੂਪ ਵਿੱਚ ਦਿੱਤੀ ਹੈ, ਪਰ ਜੇ ਕੋਈ ਅਜਨਬੀ ਹੋਵੇ ਜੇ ਉਹ ਉਸ ਦੇ ਨੇੜ੍ਹੇ ਆਵੇ ਤਾਂ ਉਹ ਮਾਰਿਆ ਜਾਵੇ।
[IRV | PA | OT | Numbers | Chapter 18 | Verse 8] ਫੇਰ ਯਹੋਵਾਹ ਹਾਰੂਨ ਨੂੰ ਬੋਲਿਆ, ਵੇਖ, ਮੈਂ ਆਪ ਤੈਨੂੰ ਚੁੱਕਣ ਦੀਆਂ ਭੇਟਾਂ ਦੀ ਜ਼ਿੰਮੇਵਾਰੀ ਦਿੱਤੀ ਹੈ ਅਤੇ ਇਸਰਾਏਲੀਆਂ ਦੀਆਂ ਸਾਰੀਆਂ ਪਵਿੱਤਰ ਚੀਜ਼ਾਂ ਤੈਨੂੰ ਮਸਹ ਹੋਣ ਦੇ ਕਾਰਨ ਅਤੇ ਤੇਰੇ ਪੁੱਤਰਾਂ ਨੂੰ ਸਦਾ ਦੇ ਹੱਕ ਲਈ ਦਿੱਤੀਆਂ ਹਨ।
[IRV | PA | OT | Numbers | Chapter 18 | Verse 9] ਇਹ ਤੇਰੇ ਲਈ ਅੱਤ ਪਵਿੱਤਰ ਚੀਜ਼ਾਂ ਤੋਂ ਹੋਣਗੀਆਂ ਜਿਹੜੀਆਂ ਅੱਗ ਤੋਂ ਬਚੀਆਂ ਰਹਿਣ। ਇਸਰਾਏਲ ਦੇ ਸਾਰੇ ਚੜ੍ਹਾਵੇ ਅਰਥਾਤ ਉਨ੍ਹਾਂ ਦੀਆਂ ਮੈਦੇ ਦੀਆਂ ਭੇਟਾਂ, ਉਨ੍ਹਾਂ ਦੀਆਂ ਪਾਪ ਬਲੀ ਦੀਆਂ ਭੇਟਾਂ, ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਅਪਰਾਧ ਦੀਆਂ ਭੇਟਾਂ ਜਿਹੜੀਆਂ ਉਹ ਮੈਨੂੰ ਚੜ੍ਹਾਉਂਦੇ ਹਨ, ਤੇਰੇ ਲਈ ਅਤੇ ਤੇਰੇ ਪੁੱਤਰਾਂ ਲਈ ਅੱਤ ਪਵਿੱਤਰ ਹੋਣਗੀਆਂ।
[IRV | PA | OT | Numbers | Chapter 18 | Verse 10] ਤੁਸੀਂ ਉਨ੍ਹਾਂ ਨੂੰ ਅੱਤ ਪਵਿੱਤਰ ਜਾਣਦੇ ਹੋਏ ਖਾਓ। ਹਰ ਇੱਕ ਪੁਰਖ ਉਨ੍ਹਾਂ ਨੂੰ ਖਾਵੇ। ਉਹ ਤੇਰੇ ਲਈ ਪਵਿੱਤਰ ਹੋਣਗੀਆਂ।
[IRV | PA | OT | Numbers | Chapter 18 | Verse 11] ਅਤੇ ਤੇਰੇ ਲਈ ਇਹ ਵੀ ਹੈ ਕਿ ਉਨ੍ਹਾਂ ਦੇ ਦਾਨ ਦੀ ਚੁੱਕਣ ਵਾਲੀ ਭੇਟ ਅਰਥਾਤ ਇਸਰਾਏਲੀਆਂ ਦੀਆਂ ਸਾਰੀਆਂ ਹਿਲਾਉਣ ਵਾਲੀਆਂ ਭੇਟਾਂ, ਮੈਂ ਤੈਨੂੰ ਅਤੇ ਤੇਰੇ ਸੰਗ ਤੇਰੇ ਪੁੱਤਰਾਂ ਅਤੇ ਤੇਰੀਆਂ ਧੀਆਂ ਨੂੰ ਸਦਾ ਦੇ ਹੱਕ ਲਈ ਦਿੱਤੀਆਂ ਹਨ। ਹਰ ਇੱਕ ਜਿਹੜਾ ਤੇਰੇ ਘਰ ਵਿੱਚ ਸ਼ੁੱਧ ਹੋਵੇ ਉਹ ਉਨ੍ਹਾਂ ਨੂੰ ਖਾਵੇ।
