[IRV | PA | OT | Numbers | Chapter 32 | Verse 1] ਰਊਬੇਨੀਆਂ ਅਤੇ ਗਾਦੀਆਂ ਕੋਲ ਮਾਲ ਡੰਗਰ ਕਾਫ਼ੀ ਸਨ ਅਤੇ ਜਦ ਉਨ੍ਹਾਂ ਨੇ ਯਾਜ਼ੇਰ ਅਤੇ ਗਿਲਆਦ ਦੇ ਦੇਸ ਨੂੰ ਵੇਖਿਆ ਤਾਂ ਵੇਖੋ, ਉਹ ਸਥਾਨ ਪਸ਼ੂਆਂ ਲਈ ਚੰਗਾ ਸੀ।
[IRV | PA | OT | Numbers | Chapter 32 | Verse 2] ਉਪਰੰਤ ਗਾਦੀਆਂ ਅਤੇ ਰਊਬੇਨੀਆਂ ਨੇ ਮੂਸਾ ਅਤੇ ਅਲਆਜ਼ਾਰ ਜਾਜਕ ਅਤੇ ਮੰਡਲੀ ਦੇ ਪ੍ਰਧਾਨਾਂ ਕੋਲ ਜਾ ਕੇ ਆਖਿਆ,
[IRV | PA | OT | Numbers | Chapter 32 | Verse 3] ਅਟਾਰੋਥ, ਦੀਬੋਨ, ਯਾਜ਼ੇਰ, ਨਿਮਰਾਹ, ਹਸ਼ਬੋਨ, ਅਲਾਲੇਹ, ਸਬਾਮ, ਨਬੋ ਅਤੇ ਬਓਨ,
[IRV | PA | OT | Numbers | Chapter 32 | Verse 4] ਅਰਥਾਤ ਜਿਸ ਧਰਤੀ ਉੱਤੇ ਯਹੋਵਾਹ ਨੇ ਇਸਰਾਏਲ ਦੀ ਮੰਡਲੀ ਨੂੰ ਜਿੱਤ ਦਿੱਤੀ ਹੈ ਇਹ ਧਰਤੀ ਪਸ਼ੂਆਂ ਲਈ ਉੱਤਮ ਹੈ ਅਤੇ ਤੁਹਾਡੇ ਦਾਸਾਂ ਕੋਲ ਮਾਲ ਡੰਗਰ ਬਹੁਤ ਹਨ।
[IRV | PA | OT | Numbers | Chapter 32 | Verse 5] ਨਾਲੇ ਉਨ੍ਹਾਂ ਨੇ ਆਖਿਆ, ਜੇ ਤੁਹਾਡੀ ਕਿਰਪਾ ਦੀ ਨਿਗਾਹ ਸਾਡੇ ਉੱਤੇ ਹੋਵੇ ਤਾਂ ਇਹ ਧਰਤੀ ਤੁਹਾਡੇ ਦਾਸਾਂ ਨੂੰ ਨਿੱਜ ਭਾਗ ਹੋਣ ਲਈ ਦਿੱਤੀ ਜਾਵੇ। ਸਾਨੂੰ ਯਰਦਨੋਂ ਪਾਰ ਨਾ ਲੰਘਾਇਓ।
[IRV | PA | OT | Numbers | Chapter 32 | Verse 6] ਤਾਂ ਮੂਸਾ ਨੇ ਗਾਦੀਆਂ ਅਤੇ ਰਊਬੇਨੀਆਂ ਨੂੰ ਆਖਿਆ, ਕੀ, ਤੁਹਾਡੇ ਭਰਾ ਤਾਂ ਲੜਾਈ ਵਿੱਚ ਜਾਣ ਅਤੇ ਤੁਸੀਂ ਇੱਥੇ ਬੈਠੇ ਰਹੋ?
[IRV | PA | OT | Numbers | Chapter 32 | Verse 7] ਤੁਸੀਂ ਇਸਰਾਏਲੀਆਂ ਨੂੰ ਉਸ ਦੇਸ ਦੇ ਵਿਖੇ ਕਿਉਂ ਨਿਰਾਸ਼ ਕਰਦੇ ਹੋ? ਜਿਹੜਾ ਯਹੋਵਾਹ ਨੇ ਉਹਨਾਂ ਨੂੰ ਦਿੱਤਾ ਹੈ।
[IRV | PA | OT | Numbers | Chapter 32 | Verse 8] ਜਦ ਮੈਂ ਤੁਹਾਡੇ ਪਿਉ ਨੂੰ ਕਾਦੇਸ਼-ਬਰਨੇਆ ਤੋਂ ਕਨਾਨ ਦੇਸ ਨੂੰ ਵੇਖਣ ਲਈ ਭੇਜਿਆ ਤਾਂ ਤੁਹਾਡੇ ਪਿਉ ਨੇ ਵੀ ਇਸੇ ਤਰ੍ਹਾਂ ਹੀ ਕੀਤਾ।
[IRV | PA | OT | Numbers | Chapter 32 | Verse 9] ਜਦ ਉਨ੍ਹਾਂ ਨੇ ਅਸ਼ਕੋਲ ਦੀ ਘਾਟੀ ਤੱਕ ਪਹੁੰਚ ਕੇ ਉਸ ਦੇਸ ਨੂੰ ਵੇਖਿਆ ਤਾਂ ਇਸਰਾਏਲੀਆਂ ਨੂੰ ਉਸ ਦੇਸ ਦੇ ਵਿਖੇ ਨਿਰਾਸ਼ ਕੀਤਾ, ਜਿਹੜਾ ਯਹੋਵਾਹ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਦਿੱਤਾ ਸੀ।
[IRV | PA | OT | Numbers | Chapter 32 | Verse 10] ਤਾਂ ਉਸ ਦਿਨ ਯਹੋਵਾਹ ਦਾ ਕ੍ਰੋਧ ਭੜਕ ਉੱਠਿਆ ਅਤੇ ਉਸ ਨੇ ਸਹੁੰ ਖਾ ਕੇ ਆਖਿਆ।
[IRV | PA | OT | Numbers | Chapter 32 | Verse 11] ਕਿ ਇਹ ਮਨੁੱਖ ਜਿਹੜੇ ਮਿਸਰ ਵਿੱਚੋਂ ਨਿੱਕਲ ਕੇ ਆਏ ਹਨ ਉਹਨਾਂ ਦੇ ਵਿੱਚੋਂ ਜਿਹੜੇ ਵੀਹ ਸਾਲ ਦੇ ਅਤੇ ਉਸ ਤੋਂ ਉੱਪਰ ਦੇ ਹਨ ਉਸ ਦੇਸ ਨੂੰ ਨਹੀਂ ਵੇਖਣਗੇ ਜਿਸ ਦੀ ਮੈਂ ਅਬਰਾਹਾਮ, ਇਸਹਾਕ ਅਤੇ ਯਾਕੂਬ ਨਾਲ ਸਹੁੰ ਖਾਧੀ ਸੀ ਕਿਉਂਕਿ ਉਹ ਮੇਰੇ ਪਿੱਛੇ-ਪਿੱਛੇ ਨਹੀਂ ਚੱਲੇ।
[IRV | PA | OT | Numbers | Chapter 32 | Verse 12] ਯਫ਼ੁੰਨਹ ਕਨਿੱਜ਼ੀ ਦੇ ਪੁੱਤਰ ਕਾਲੇਬ ਅਤੇ ਨੂਨ ਦੇ ਪੁੱਤਰ ਯਹੋਸ਼ੁਆ ਉਸ ਦੇਸ ਨੂੰ ਵੇਖਣਗੇ ਕਿਉਂ ਜੋ ਉਹ ਯਹੋਵਾਹ ਦੇ ਪਿੱਛੇ ਪੂਰੀ ਤਰ੍ਹਾਂ ਚੱਲੇ।
