[IRV | PA | OT | Numbers | Chapter 15 | Verse 1] ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ,
[IRV | PA | OT | Numbers | Chapter 15 | Verse 2] ਇਸਰਾਏਲੀਆਂ ਨਾਲ ਗੱਲ ਕਰ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਆਖ ਕਿ ਜਦ ਤੁਸੀਂ ਉਸ ਦੇਸ ਵਿੱਚ ਪਹੁੰਚ ਜਾਓ ਜੋ ਤੁਹਾਡੇ ਵੱਸਣ ਲਈ ਮੈਂ ਤੁਹਾਨੂੰ ਦਿੰਦਾ ਹਾਂ।
[IRV | PA | OT | Numbers | Chapter 15 | Verse 3] ਅਤੇ ਜਦ ਤੁਸੀਂ ਯਹੋਵਾਹ ਲਈ ਅੱਗ ਦੀ ਭੇਟ ਭਾਵੇਂ ਹੋਮ ਦੀ ਭਾਵੇਂ ਬਲੀ ਦੀ ਚੜ੍ਹਾਓ ਤਾਂ ਜੋ ਤੁਸੀਂ ਸੁੱਖਣਾ ਪੂਰੀ ਕਰੋ ਜਾਂ ਖੁਸ਼ੀ ਦੀ ਭੇਟ ਵਾਂਗੂੰ ਜਾਂ ਤੁਹਾਡੇ ਠਹਿਰਾਏ ਹੋਏ ਪਰਬਾਂ ਵਿੱਚ ਦੀ ਭੇਟ ਵਾਂਗੂੰ ਤਾਂ ਜੋ ਯਹੋਵਾਹ ਲਈ ਸੁਗੰਧਤਾ ਚੋਣੇ ਤੋਂ ਜਾਂ ਇੱਜੜ ਤੋਂ ਹੋਵੇ।
[IRV | PA | OT | Numbers | Chapter 15 | Verse 4] ਤਾਂ ਚੜ੍ਹਾਉਣ ਵਾਲਾ ਯਹੋਵਾਹ ਲਈ ਮੈਦੇ ਦੀ ਭੇਟ ਲਈ ਏਫਾਹ ਦਾ ਦਸਵਾਂ ਹਿੱਸਾ ਮੈਦੇ ਦਾ ਹੀਨ ਦਾ ਚੌਥਾ ਹਿੱਸਾ ਤੇਲ ਮਿਲਿਆ ਹੋਇਆ ਚੜ੍ਹਾਵੇ।
[IRV | PA | OT | Numbers | Chapter 15 | Verse 5] ਅਤੇ ਪੀਣ ਦੀ ਭੇਟ ਲਈ ਹੀਨ ਦੀ ਚੌਥਾਈ ਮਧ ਹਰ ਭੇਡ ਦੇ ਬੱਚੇ ਪਿੱਛੇ ਤੂੰ ਉਸ ਹੋਮ ਦੀ ਭੇਟ ਨਾਲ ਜਾਂ ਬਲੀ ਨਾਲ ਤਿਆਰ ਕਰ।
[IRV | PA | OT | Numbers | Chapter 15 | Verse 6] ਭੇਡੂ ਦੇ ਨਾਲ ਮੈਦੇ ਦੀ ਭੇਟ ਦੋ ਦਸਵੇਂ ਹਿੱਸੇ ਮੈਦੇ ਦੇ ਹੀਨ ਦੀ ਤਿਹਾਈ ਤੇਲ ਮਿਲਿਆ ਹੋਇਆ ਤਿਆਰ ਕਰ।
[IRV | PA | OT | Numbers | Chapter 15 | Verse 7] ਅਤੇ ਪੀਣ ਦੀ ਭੇਟ ਲਈ ਹੀਨ ਦੀ ਤਿਹਾਈ ਮਧ ਯਹੋਵਾਹ ਲਈ ਸੁਗੰਧਤਾ ਦੀ ਭੇਟ ਕਰਕੇ ਚੜ੍ਹਾ।
[IRV | PA | OT | Numbers | Chapter 15 | Verse 8] ਜਦ ਤੂੰ ਹੋਮ ਦੀ ਭੇਟ ਜਾਂ ਬਲੀ ਲਈ ਮੇਂਢਾ ਤਿਆਰ ਕਰੇਂ ਤਾਂ ਜੋ ਸੁੱਖਣਾ ਪੂਰੀ ਹੋਵੇ ਜਾਂ ਯਹੋਵਾਹ ਲਈ ਸੁੱਖ-ਸਾਂਦ ਦੀਆਂ ਭੇਟਾਂ ਹੋਣ।
[IRV | PA | OT | Numbers | Chapter 15 | Verse 9] ਤਾਂ ਉਹ ਉਸ ਵਹਿੜੇ ਦੇ ਨਾਲ ਮੈਦੇ ਦੀ ਭੇਟ ਤਿੰਨ ਦਸਵੇਂ ਹਿੱਸੇ ਮੈਦੇ ਦੇ ਅੱਧਾ ਹੀਨ ਤੇਲ ਮਿਲਿਆ ਹੋਇਆ ਚੜ੍ਹਾਵੇ।
[IRV | PA | OT | Numbers | Chapter 15 | Verse 10] ਅਤੇ ਤੂੰ ਪੀਣ ਦੀ ਭੇਟ ਲਈ ਅੱਧਾ ਹੀਨ ਮਧ ਚੜ੍ਹਾ। ਉਹ ਯਹੋਵਾਹ ਲਈ ਅੱਗ ਦੀ ਸੁਗੰਧਤਾ ਹੋਵੇ।
[IRV | PA | OT | Numbers | Chapter 15 | Verse 11] ਇਸ ਤਰ੍ਹਾਂ ਹਰੇਕ ਬਲ਼ਦ, ਹਰ ਭੇਡੂ, ਹਰ ਭੇਡ ਦਾ ਬੱਚਾ, ਅਤੇ ਹਰ ਮੇਮਣੇ ਲਈ ਕੀਤਾ ਜਾਵੇ।
[IRV | PA | OT | Numbers | Chapter 15 | Verse 12] ਉਨ੍ਹਾਂ ਦੀ ਗਿਣਤੀ ਅਨੁਸਾਰ ਜਿਹੜੇ ਤੁਸੀਂ ਤਿਆਰ ਕਰਦੇ ਹੋ, ਇਸੇ ਤਰ੍ਹਾਂ ਹੀ ਤੁਸੀਂ ਹਰ ਇੱਕ ਲਈ ਉਨ੍ਹਾਂ ਦੀ ਗਿਣਤੀ ਅਨੁਸਾਰ ਕਰੋ।
[IRV | PA | OT | Numbers | Chapter 15 | Verse 13] ਸਾਰੇ ਦੇਸੀ ਉਨ੍ਹਾਂ ਨਾਲ ਜਦ ਉਹ ਯਹੋਵਾਹ ਲਈ ਅੱਗ ਦੀ ਸੁਗੰਧਤਾ ਚੜ੍ਹਾਉਣ ਇਸੇ ਤਰ੍ਹਾਂ ਹੀ ਕਰਨ।
[IRV | PA | OT | Numbers | Chapter 15 | Verse 14] ਅਤੇ ਜੇ ਕੋਈ ਤੁਹਾਡੇ ਵਿੱਚ ਟਿਕਿਆ ਹੋਇਆ ਪਰਦੇਸੀ ਜਾਂ ਜੇ ਕੋਈ ਤੁਹਾਡੇ ਵਿੱਚ ਤੁਹਾਡੀਆਂ ਪੀੜ੍ਹੀਆਂ ਤੋਂ ਰਹਿੰਦਾ ਹੋਵੇ ਅਤੇ ਉਹ ਯਹੋਵਾਹ ਲਈ ਅੱਗ ਦੀ ਸੁਗੰਧਤਾ ਚੜ੍ਹਾਵੇ ਤਾਂ ਜਿਵੇਂ ਤੁਸੀਂ ਕਰਦੇ ਹੋ ਉਹ ਵੀ ਕਰੇ।
