[IRV | PA | OT | Numbers | Chapter 1 | Verse 1] ਇਸਰਾਏਲੀਆਂ ਦੇ ਮਿਸਰ ਦੇਸ ਤੋਂ ਨਿੱਕਲਣ ਦੇ ਬਾਅਦ, ਦੂਜੇ ਸਾਲ ਦੇ ਦੂਜੇ ਮਹੀਨੇ ਦੇ ਪਹਿਲੇ ਦਿਨ ਸੀਨਈ ਦੀ ਉਜਾੜ ਵਿੱਚ ਮਿਲਾਪ ਵਾਲੇ ਤੰਬੂ ਵਿੱਚ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਕਿਹਾ
[IRV | PA | OT | Numbers | Chapter 1 | Verse 2] ਕਿ ਇਸਰਾਏਲੀਆਂ ਦੀ ਸਾਰੀ ਮੰਡਲੀ ਦੀ ਗਿਣਤੀ ਉਨ੍ਹਾਂ ਦੇ ਟੱਬਰਾਂ ਅਤੇ ਉਨ੍ਹਾਂ ਦੇ ਪੁਰਖਿਆਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ, ਇੱਕ-ਇੱਕ ਪੁਰਖ ਦੀ ਗਿਣਤੀ ਨਾਮ ਲੈ-ਲੈ ਕੇ ਕਰ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 3] ਜਿਹੜੇ ਵੀਹ ਸਾਲ ਜਾਂ ਇਸ ਤੋਂ ਵੱਧ ਉਮਰ ਦੇ ਹਨ ਅਤੇ ਇਸਰਾਏਲ ਲਈ ਯੁੱਧ ਕਰ ਸਕਦੇ ਹਨ, ਤੂੰ ਅਤੇ ਹਾਰੂਨ ਉਨ੍ਹਾਂ ਦੀ ਗਿਣਤੀ ਉਨ੍ਹਾਂ ਦੇ ਦਲਾਂ ਦੇ ਅਨੁਸਾਰ ਕਰੋ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 4] ਤੁਹਾਡੇ ਨਾਲ ਹਰੇਕ ਗੋਤ ਦਾ ਇੱਕ-ਇੱਕ ਮਨੁੱਖ ਹੋਵੇ ਜਿਹੜਾ ਆਪਣੇ ਪੁਰਖਿਆਂ ਦੇ ਪਰਿਵਾਰ ਵਿੱਚ ਮੁਖੀਆ ਹੋਵੇ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 5] ਉਨ੍ਹਾਂ ਮਨੁੱਖਾਂ ਦੇ ਨਾਮ ਜਿਹੜੇ ਤੁਹਾਡੇ ਨਾਲ ਖੜ੍ਹੇ ਹੋਣਗੇ ਇਹ ਹਨ, ਰਊਬੇਨ ਲਈ ਸ਼ਦੇਊਰ ਦਾ ਪੁੱਤਰ ਅਲੀਸੂਰ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 6] ਸ਼ਿਮਓਨ ਲਈ ਸੂਰੀਸ਼ਦਾਈ ਦਾ ਪੁੱਤਰ ਸ਼ਲੁਮੀਏਲ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 7] ਯਹੂਦਾਹ ਲਈ ਅੰਮੀਨਾਦਾਬ ਦਾ ਪੁੱਤਰ ਨਹਸ਼ੋਨ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 8] ਯਿੱਸਾਕਾਰ ਲਈ ਸੂਆਰ ਦਾ ਪੁੱਤਰ ਨਥਨਿਏਲ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 9] ਜ਼ਬੂਲੁਨ ਲਈ ਹੇਲੋਨ ਦਾ ਪੁੱਤਰ ਅਲੀਆਬ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 10] ਯੂਸੁਫ਼ ਦੇ ਪੁੱਤਰਾਂ ਵਿੱਚੋਂ ਇਫ਼ਰਾਈਮ ਲਈ ਅੰਮੀਹੂਦ ਦਾ ਪੁੱਤਰ ਅਲੀਸ਼ਾਮਾ। ਮਨੱਸ਼ਹ ਲਈ ਪਦਾਹਸੂਰ ਦਾ ਪੁੱਤਰ ਗਮਲੀਏਲ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 11] ਬਿਨਯਾਮੀਨ ਲਈ ਗਿਦਓਨੀ ਦਾ ਪੁੱਤਰ ਅਬੀਦਾਨ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 12] ਦਾਨ ਲਈ ਅੰਮੀਸ਼ੱਦਾਈ ਦਾ ਪੁੱਤਰ ਅਹੀਅਜ਼ਰ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 13] ਆਸ਼ੇਰ ਲਈ ਆਕਰਾਨ ਦਾ ਪੁੱਤਰ ਪਗੀਏਲ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 14] ਗਾਦ ਲਈ ਦਊਏਲ ਦਾ ਪੁੱਤਰ ਅਲਯਾਸਾਫ਼।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 15] ਨਫ਼ਤਾਲੀ ਲਈ ਏਨਾਨ ਦਾ ਪੁੱਤਰ ਅਹੀਰਾ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 16] ਇਹ ਮੰਡਲੀ ਤੋਂ ਸੱਦੇ ਹੋਏ ਆਪਣੇ ਪੁਰਖਿਆਂ ਦੇ ਗੋਤਾਂ ਵਿੱਚ ਪ੍ਰਧਾਨ ਸਨ l ਇਹ ਇਸਰਾਏਲੀਆਂ ਵਿੱਚ ਕੁੱਲਾਂ ਦੇ ਪ੍ਰਧਾਨ ਸਨ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 17] ਮੂਸਾ ਅਤੇ ਹਾਰੂਨ ਨੇ ਇਨ੍ਹਾਂ ਮਨੁੱਖਾਂ ਨੂੰ ਨਾਲ ਲਿਆ ਜਿਨ੍ਹਾਂ ਦੇ ਨਾਮ ਦਾ ਉੱਤੇ ਜ਼ਿਕਰ ਕੀਤਾ ਗਿਆ ਹੈ,
[IRV | PA | OT | Numbers | Chapter 1 | Verse 18] ਪੁਰਖਿਆਂ ਨੇ ਦੂਜੇ ਮਹੀਨੇ ਦੇ ਪਹਿਲੇ ਦਿਨ ਸਾਰੀ ਮੰਡਲੀ ਨੂੰ ਇਕੱਠਾ ਕੀਤਾ ਅਤੇ ਆਪਣੇ ਕੁੱਲਾਂ ਅਤੇ ਆਪਣੇ ਪੁਰਖਿਆਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ, ਜਿਹੜੇ ਵੀਹ ਸਾਲ ਦੇ ਜਾਂ ਇਸ ਤੋਂ ਵੱਧ ਉਮਰ ਦੇ ਸਨ, ਉਨ੍ਹਾਂ ਦੇ ਨਾਮ ਦੀ ਗਿਣਤੀ ਕਰਵਾ ਕੇ ਆਪਣੀ ਵੰਸ਼ਾਵਲੀ ਲਿਖਵਾਈ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 19] ਜਿਵੇਂ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਹੁਕਮ ਦਿੱਤਾ ਸੀ ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਉਸਨੇ ਸੀਨਈ ਦੀ ਉਜਾੜ ਵਿੱਚ ਉਨ੍ਹਾਂ ਦੀ ਗਿਣਤੀ ਕੀਤੀ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 20] ਇਸਰਾਏਲ ਦੇ ਪਹਿਲੌਠੇ ਰਊਬੇਨ ਦੇ ਪੁੱਤਰਾਂ ਦੀ ਵੰਸ਼ਾਵਲੀ ਆਪਣੀਆਂ ਕੁਲਾਂ ਆਪਣੇ ਪੁਰਖਿਆਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਜਿੰਨੇ ਆਦਮੀ ਵੀਹ ਸਾਲ ਦੇ ਜਾਂ ਇਸ ਤੋਂ ਵੱਧ ਉਮਰ ਦੇ ਸਨ, ਸਾਰੇ ਜਿਹੜੇ ਯੁੱਧ ਕਰਨ ਦੇ ਯੋਗ ਸਨ ਉਹ ਸਾਰੇ ਆਪਣੇ ਨਾਮ ਤੋਂ ਗਿਣੇ ਗਏ।
[IRV | PA | OT | Numbers | Chapter 1 | Verse 21] ਰਊਬੇਨ ਦੇ ਗੋਤ ਦੇ ਗਿਣੇ ਹੋਏ ਪੁਰਖ ਛਿਆਲੀ ਹਜ਼ਾਰ ਪੰਜ ਸੌ ਸਨ।
