[IRV | PA | OT | Numbers | Chapter 5 | Verse 1] ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ,
[IRV | PA | OT | Numbers | Chapter 5 | Verse 2] ਇਸਰਾਏਲੀਆਂ ਨੂੰ ਹੁਕਮ ਦੇ ਕਿ ਉਹ ਡੇਰੇ ਵਿੱਚੋਂ ਸਾਰੇ ਕੋੜ੍ਹੀਆਂ ਨੂੰ ਅਤੇ ਸਾਰੇ ਧਾਂਤ ਵਗਣ ਵਾਲਿਆਂ ਨੂੰ ਅਤੇ ਸਾਰੇ ਜਿਹੜੇ ਲਾਸ਼ਾਂ ਤੋਂ ਅਸ਼ੁੱਧ ਹੋਣ,
[IRV | PA | OT | Numbers | Chapter 5 | Verse 3] ਭਾਵੇਂ ਪੁਰਖ ਭਾਵੇਂ ਇਸਤਰੀ ਤੁਸੀਂ ਉਨ੍ਹਾਂ ਨੂੰ ਲੈ ਜਾ ਕੇ ਡੇਰੇ ਤੋਂ ਬਾਹਰ ਕੱਢਿਓ ਤਾਂ ਜੋ ਉਹ ਉਨ੍ਹਾਂ ਦੇ ਡੇਰਿਆਂ ਨੂੰ, ਜਿਨ੍ਹਾਂ ਵਿੱਚ ਮੈਂ ਵੱਸਦਾ ਹਾਂ ਅਸ਼ੁੱਧ ਨਾ ਕਰਨ।
[IRV | PA | OT | Numbers | Chapter 5 | Verse 4] ਤਦ ਇਸਰਾਏਲੀਆਂ ਨੇ ਅਜਿਹਾ ਹੀ ਕੀਤਾ ਅਤੇ ਉਨ੍ਹਾਂ ਨੂੰ ਡੇਰੇ ਤੋਂ ਬਾਹਰ ਕੱਢ ਦਿੱਤਾ। ਜਿਵੇਂ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਇਸਰਾਏਲੀਆਂ ਨੇ ਕੀਤਾ।
[IRV | PA | OT | Numbers | Chapter 5 | Verse 5] ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ,
[IRV | PA | OT | Numbers | Chapter 5 | Verse 6] ਇਸਰਾਏਲੀਆਂ ਨੂੰ ਬੋਲ ਕਿ ਜਦ ਕੋਈ ਪੁਰਖ ਜਾਂ ਇਸਤਰੀ ਕੋਈ ਪਾਪ ਕਰੇ ਜਿਹੜਾ ਇਨਸਾਨ ਕਰਦਾ ਹੈ ਕਿ ਉਹ ਯਹੋਵਾਹ ਤੋਂ ਬੇਈਮਾਨ ਹੋ ਜਾਵੇ ਅਤੇ ਉਹ ਪ੍ਰਾਣੀ ਦੋਸ਼ੀ ਠਹਿਰੇ,
[IRV | PA | OT | Numbers | Chapter 5 | Verse 7] ਤਦ ਉਹ ਆਪਣੇ ਪਾਪ ਦਾ ਇਕਰਾਰ ਕਰੇ ਜਿਹੜਾ ਉਸ ਨੇ ਕੀਤਾ ਹੈ ਅਤੇ ਉਹ ਆਪਣੇ ਦੋਸ਼ ਦੀ ਪੂਰੀ ਕੀਮਤ ਭਰੇ ਅਤੇ ਉਹ ਉਸ ਦੇ ਨਾਲ ਪੰਜਵਾਂ ਹਿੱਸਾ ਵੱਧ ਪਾ ਕੇ ਉਹ ਨੂੰ ਦੇਵੇ ਜਿਸ ਦੇ ਵਿਰੁੱਧ ਉਹ ਦੋਸ਼ੀ ਹੋਇਆ।
[IRV | PA | OT | Numbers | Chapter 5 | Verse 8] ਜੇ ਉਸ ਮਨੁੱਖ ਦਾ ਕੋਈ ਨਜ਼ਦੀਕੀ ਰਿਸ਼ਤੇਦਾਰ ਨਾ ਹੋਵੇ ਜਿਸ ਨੂੰ ਉਸ ਦੇ ਦੋਸ਼ ਦਾ ਹਰਜ਼ਾਨਾ ਮੋੜਿਆ ਜਾਵੇ ਤਾਂ ਉਹ ਦੋਸ਼ ਦਾ ਹਰਜ਼ਾਨਾ ਜਿਹੜਾ ਯਹੋਵਾਹ ਦਾ ਹੈ, ਜਾਜਕ ਨੂੰ ਦਿੱਤਾ ਜਾਵੇ ਨਾਲੇ ਪ੍ਰਾਸਚਿਤ ਦਾ ਭੇਡੂ, ਜਿਸ ਦੇ ਨਾਲ ਉਸ ਦਾ ਪ੍ਰਾਸਚਿਤ ਕੀਤਾ ਜਾਵੇ।
[IRV | PA | OT | Numbers | Chapter 5 | Verse 9] ਇਸਰਾਏਲੀਆਂ ਦੀਆਂ ਪਵਿੱਤਰ ਚੀਜ਼ਾਂ ਵਿੱਚੋਂ ਜਿਹੜੀਆਂ ਉਹ ਜਾਜਕ ਕੋਲ ਲਿਆਉਣ ਚੁੱਕਣ ਦੀ ਭੇਟ ਉਸੇ ਦੀ ਹੋਵੇਗੀ।
[IRV | PA | OT | Numbers | Chapter 5 | Verse 10] ਹਰ ਮਨੁੱਖ ਦੀਆਂ ਪਵਿੱਤਰ ਚੀਜ਼ਾਂ ਉਸ ਦੀਆਂ ਹੋਣ। ਜੋ ਕੁਝ ਕੋਈ ਮਨੁੱਖ ਜਾਜਕ ਨੂੰ ਦੇਵੇ ਉਹ ਉਸਦਾ ਹੋਵੇ।
[IRV | PA | OT | Numbers | Chapter 5 | Verse 11] ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ,
