[IRV | PA | OT | Numbers | Chapter 23 | Verse 1] ਫੇਰ ਬਿਲਆਮ ਨੇ ਬਾਲਾਕ ਨੂੰ ਆਖਿਆ, ਇੱਥੇ ਮੇਰੇ ਲਈ ਸੱਤ ਜਗਵੇਦੀਆਂ ਬਣਾ ਅਤੇ ਬਲ਼ਦ ਤੇ ਸੱਤ ਭੇਡੂ ਤਿਆਰ ਕਰ।
[IRV | PA | OT | Numbers | Chapter 23 | Verse 2] ਤਦ ਜਿਵੇਂ ਬਿਲਆਮ ਬੋਲਿਆ ਸੀ ਉਸੇ ਤਰ੍ਹਾਂ ਹੀ ਬਾਲਾਕ ਨੇ ਕੀਤਾ ਅਤੇ ਬਾਲਾਕ ਅਤੇ ਬਿਲਆਮ ਨੇ ਹਰ ਜਗਵੇਦੀ ਉੱਤੇ ਇੱਕ-ਇੱਕ ਬਲ਼ਦ ਅਤੇ ਇੱਕ-ਇੱਕ ਭੇਡੂ ਚੜ੍ਹਾਇਆ।
[IRV | PA | OT | Numbers | Chapter 23 | Verse 3] ਤਦ ਬਿਲਆਮ ਨੇ ਬਾਲਾਕ ਨੂੰ ਆਖਿਆ, ਆਪਣੇ ਚੜ੍ਹਾਵੇ ਕੋਲ ਖੜ੍ਹਾ ਹੋ ਜਾ ਅਤੇ ਮੈਂ ਜਾਂਵਾਂਗਾ, ਸ਼ਾਇਦ ਯਹੋਵਾਹ ਮੈਨੂੰ ਮਿਲਣ ਆਵੇ। ਜਿਹੜੀ ਗੱਲ ਉਹ ਮੈਨੂੰ ਵਿਖਾਵੇਗਾ ਉਹ ਮੈਂ ਤੈਨੂੰ ਦੱਸਾਂਗਾ। ਤਦ ਉਹ ਇੱਕ ਪਰਬਤ ਉੱਤੇ ਗਿਆ।
[IRV | PA | OT | Numbers | Chapter 23 | Verse 4] ਅਤੇ ਪਰਮੇਸ਼ੁਰ ਬਿਲਆਮ ਨੂੰ ਮਿਲਿਆ ਅਤੇ ਉਹ ਨੇ ਉਸ ਨੂੰ ਆਖਿਆ, ਮੈਂ ਉਨ੍ਹਾਂ ਸੱਤਾਂ ਜਗਵੇਦੀਆਂ ਨੂੰ ਸੁਆਰ ਕੇ ਰੱਖਿਆ ਹੈ ਅਤੇ ਹਰ ਜਗਵੇਦੀ ਉੱਤੇ ਇੱਕ ਬਲ਼ਦ ਅਤੇ ਇੱਕ-ਇੱਕ ਭੇਡੂ ਚੜ੍ਹਾਇਆ ਹੈ।
[IRV | PA | OT | Numbers | Chapter 23 | Verse 5] ਤਦ ਯਹੋਵਾਹ ਨੇ ਇੱਕ ਵਾਕ ਬਿਲਆਮ ਦੇ ਮੂੰਹ ਵਿੱਚ ਪਾਇਆ ਅਤੇ ਆਖਿਆ, ਬਾਲਾਕ ਦੇ ਕੋਲ ਜਾਂ ਕੇ ਇਸ ਤਰ੍ਹਾਂ ਬੋਲੀ।
[IRV | PA | OT | Numbers | Chapter 23 | Verse 6] ਉਹ ਉਸ ਦੇ ਕੋਲ ਆਇਆ ਅਤੇ ਵੇਖੋ, ਉਹ ਆਪਣੀ ਹੋਮ ਬਲੀ ਲਈ ਖੜ੍ਹਾ ਸੀ ਅਤੇ ਉਹ ਦੇ ਨਾਲ ਮੋਆਬ ਦੇ ਸਾਰੇ ਪ੍ਰਧਾਨ ਸਨ।
[IRV | PA | OT | Numbers | Chapter 23 | Verse 7] ਉਸ ਨੇ ਆਪਣਾ ਅਗੰਮ ਵਾਕ ਆਖਿਆ, ਅਰਾਮ ਤੋਂ ਬਾਲਾਕ ਮੈਨੂੰ ਲਿਆਇਆ, ਮੋਆਬ ਦਾ ਰਾਜਾ ਪੂਰਬ ਦੇ ਪਰਬਤ ਤੋਂ, ਆ, ਮੇਰੇ ਲਈ ਯਾਕੂਬ ਨੂੰ ਸਰਾਪ ਦੇ, ਅਤੇ ਆ, ਇਸਰਾਏਲ ਨੂੰ ਘਟਾ!
[IRV | PA | OT | Numbers | Chapter 23 | Verse 8] ਮੈਂ ਕਿਵੇਂ ਉਹ ਨੂੰ ਫਿਟਕਾਰਾਂ, ਜਿਸ ਨੂੰ ਪਰਮੇਸ਼ੁਰ ਨੇ ਨਹੀਂ ਫਿਟਕਾਰਿਆ? ਅਤੇ ਮੈਂ ਕਿਵੇਂ ਉਹ ਨੂੰ ਘਟਾਵਾਂ, ਜਿਸ ਨੂੰ ਯਹੋਵਾਹ ਨੇ ਨਹੀਂ ਘਟਾਇਆ?
[IRV | PA | OT | Numbers | Chapter 23 | Verse 9] ਚੱਟਾਨ ਦੀਆਂ ਟੀਸੀਆਂ ਤੋਂ ਮੈਂ ਉਹ ਨੂੰ ਵੇਖਦਾ ਹਾਂ, ਅਤੇ ਪਰਬਤਾਂ ਤੋਂ ਮੈਂ ਉਸ ਉੱਤੇ ਨਿਗਾਹ ਮਾਰਦਾ ਹਾਂ। ਇਹ ਪਰਜਾ ਇਕੱਲੀ ਵੱਸਦੀ ਹੈ, ਅਤੇ ਕੌਮਾਂ ਦੇ ਵਿੱਚ ਉਹ ਆਪਣੇ ਆਪ ਨੂੰ ਨਹੀਂ ਗਿਣਦੀ।
[IRV | PA | OT | Numbers | Chapter 23 | Verse 10] ਯਾਕੂਬ ਦੀ ਧੂੜ ਦੇ ਕਿਣਕਿਆਂ ਨੂੰ ਕਿਸ ਨੇ ਗਿਣਿਆ? ਜਾਂ ਕਿਸ ਨੇ ਇਸਰਾਏਲ ਦੀ ਚੌਥਾਈ ਦੀ ਗਿਣਤੀ ਕੀਤੀ? ਮੈਂ ਧਰਮੀਆਂ ਦੀ ਮੌਤ ਦੀ ਤਰ੍ਹਾਂ ਮਰਾਂ, ਅਤੇ ਮੇਰਾ ਅੰਤ ਉਸ ਵਰਗਾ ਹੋਵੇ!
[IRV | PA | OT | Numbers | Chapter 23 | Verse 11] ਤਾਂ ਬਾਲਾਕ ਨੇ ਬਿਲਆਮ ਨੂੰ ਆਖਿਆ, ਤੂੰ ਮੇਰੇ ਨਾਲ ਕੀ ਕੀਤਾ? ਮੈਂ ਤੈਨੂੰ ਆਪਣੇ ਵੈਰੀਆਂ ਨੂੰ ਸਰਾਪ ਦੇਣ ਲਈ ਲਿਆਂਦਾ ਅਤੇ ਵੇਖ, ਤੂੰ ਉਨ੍ਹਾਂ ਨੂੰ ਬਰਕਤ ਹੀ ਬਰਕਤ ਦੇ ਦਿੱਤੀ!
