[IRV | PA | OT | Numbers | Chapter 34 | Verse 1] ਤਦ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ,
[IRV | PA | OT | Numbers | Chapter 34 | Verse 2] ਇਸਰਾਏਲੀਆਂ ਨੂੰ ਹੁਕਮ ਦੇ ਕੇ ਆਖ ਕਿ ਜਦ ਤੁਸੀਂ ਕਨਾਨ ਦੇਸ ਵਿੱਚ ਪ੍ਰਵੇਸ਼ ਕਰੋ (ਉਹ ਦੇਸ ਜਿਹੜਾ ਤੁਹਾਡੀ ਵਿਰਾਸਤ ਹੋਣ ਲਈ ਮਿਲੇਗਾ ਅਰਥਾਤ ਕਨਾਨ ਦੇਸ ਉਹ ਦੀਆਂ ਹੱਦਾਂ ਤੱਕ)
[IRV | PA | OT | Numbers | Chapter 34 | Verse 3] ਤਾਂ ਤੁਹਾਡਾ ਦੱਖਣ ਦਾ ਪਾਸਾ ਸੀਨ ਦੀ ਉਜਾੜ ਤੋਂ ਅਦੋਮ ਦੇ ਨੇੜੇ ਹੋਵੇ ਅਤੇ ਤੁਹਾਡੇ ਦੱਖਣ ਦੀ ਹੱਦ ਖਾਰੇ ਸਮੁੰਦਰ ਦੇ ਸਿਰੇ ਤੋਂ ਪੂਰਬ ਵੱਲ ਹੋਵੇ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 4] ਤੁਹਾਡੀ ਹੱਦ ਦੱਖਣ ਵਿੱਚ ਅਕਰਾਬੀਮ ਦੀ ਚੜ੍ਹਾਈ ਵੱਲ ਮੁੜੇ, ਫਿਰ ਸੀਨ ਵੱਲ ਹੁੰਦੀ ਹੋਈ ਉਹ ਦਾ ਫੈਲਾਓ ਦੱਖਣ ਤੋਂ ਕਾਦੇਸ਼-ਬਰਨੇਆ ਤੱਕ ਹੋਵੇ ਅਤੇ ਹਸਰ-ਅੱਦਾਰ ਤੱਕ ਜਾ ਕੇ ਅਸਮੋਨ ਨੂੰ ਪਹੁੰਚੇ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 5] ਤਾਂ ਉਹ ਹੱਦ ਅਸਮੋਨ ਤੋਂ ਮਿਸਰ ਦੀ ਨਦੀ ਤੱਕ ਘੁੰਮੇ ਅਤੇ ਉਹ ਦਾ ਫੈਲਾਓ ਸਮੁੰਦਰ ਤੱਕ ਹੋਵੇ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 6] ਅਤੇ ਤੁਹਾਡੀ ਪੱਛਮ ਵਾਲੇ ਪਾਸੇ ਦੀ ਹੱਦ ਮਹਾਂ ਸਮੁੰਦਰ ਹੋਵੇ। ਇਹ ਤੁਹਾਡੇ ਪੱਛਮ ਵਾਲੇ ਪਾਸੇ ਦੀ ਹੱਦ ਹੋਵੇ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 7] ਮਹਾਂ ਸਮੁੰਦਰ ਤੋਂ ਤੁਸੀਂ ਹੋਰ ਨਾਮ ਦੇ ਪਰਬਤ ਤੱਕ ਨਿਸ਼ਾਨ ਲਾਓ ਜੋ ਇਹ ਤੁਹਾਡੀ ਉੱਤਰ ਵੱਲ ਦੀ ਹੱਦ ਹੋਵੇ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 8] ਹੋਰ ਪਰਬਤ ਤੋਂ ਤੁਸੀਂ ਨਿਸ਼ਾਨ ਹਮਾਥ ਦੇ ਰਾਹ ਤੱਕ ਲਗਾਉ ਤਾਂ ਇਹ ਹੱਦ ਸਦਾਦ ਤੱਕ ਪਹੁੰਚੇ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 9] ਫੇਰ ਹੱਦ ਜ਼ਿਫਰੋਨ ਤੱਕ ਜਾਵੇ ਅਤੇ ਉਹ ਦਾ ਫੈਲਾਓ ਹਸਰ-ਏਨਾਨ ਤੱਕ ਹੋਵੇ। ਇਹ ਤੁਹਾਡੀ ਉੱਤਰ ਦੀ ਹੱਦ ਹੋਵੇ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 10] ਤੁਸੀਂ ਆਪਣੀ ਪੂਰਬੀ ਹੱਦ ਲਈ ਹਸਰ-ਏਨਾਨ ਤੋਂ ਸ਼ਫਾਮ ਤੱਕ ਨਿਸ਼ਾਨ ਲਾਓ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 11] ਅਤੇ ਸ਼ਫਾਮ ਤੋਂ ਰਿਬਲਾਹ ਤੱਕ ਆਯਿਨ ਦੇ ਪੂਰਬ ਵੱਲੋਂ ਹੇਠਾਂ ਨੂੰ ਜਾਵੇ। ਅਤੇ ਪੂਰਬ ਵੱਲ ਕਿੰਨਰਥ ਦੀ ਝੀਲ ਦੇ ਕੰਢੇ ਤੱਕ ਪਹੁੰਚ ਕੇ ਤੁਹਾਡੀ ਹੱਦ ਪੱਛਮ ਨੂੰ ਜਾਵੇ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 12] ਅਤੇ ਹੱਦ ਯਰਦਨ ਤੱਕ ਹੇਠਾਂ ਜਾਵੇ ਅਤੇ ਉਹ ਦਾ ਫੈਲਾਓ ਖਾਰੇ ਸਮੁੰਦਰ ਤੱਕ ਹੋਵੇ। ਇਹ ਤੁਹਾਡੀ ਧਰਤੀ ਦੇ ਆਲੇ-ਦੁਆਲੇ ਦੀਆਂ ਹੱਦਾਂ ਹੋਣ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 13] ਫੇਰ ਮੂਸਾ ਨੇ ਇਸਰਾਏਲੀਆਂ ਨੂੰ ਹੁਕਮ ਦੇ ਕੇ ਆਖਿਆ, ਇਹ ਉਹ ਦੇਸ ਹੈ ਜਿਸ ਦਾ ਅਧਿਕਾਰ ਤੁਸੀਂ ਪਰਚੀਆਂ ਪਾ ਕੇ ਲਵੋਗੇ ਜਿਵੇਂ ਤੁਹਾਨੂੰ ਯਹੋਵਾਹ ਨੇ ਹੁਕਮ ਦਿੱਤਾ ਕਿ ਉਹ ਉਨ੍ਹਾਂ ਨੌਂ ਗੋਤਾਂ ਨੂੰ ਅਤੇ ਉਸ ਅੱਧੇ ਗੋਤ ਨੂੰ ਦਿੱਤੀ ਜਾਵੇ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 14] ਕਿਉਂ ਜੋ ਰਊਬੇਨੀਆਂ ਦੇ ਗੋਤ ਨੇ ਆਪਣਿਆਂ ਪੁਰਖਿਆਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਅਤੇ ਗਾਦੀਆਂ ਨੇ ਆਪਣਿਆਂ ਪੁਰਖਿਆਂ ਦੇ ਘਰਾਣਿਆਂ ਅਨੁਸਾਰ ਅਤੇ ਮਨੱਸ਼ਹ ਦੇ ਅੱਧੇ ਗੋਤ ਨੇ ਆਪਣੀ ਜ਼ਮੀਨ ਨੂੰ ਪਾ ਲਿਆ ਹੈ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 15] ਇਨ੍ਹਾਂ ਦੋਹਾਂ ਗੋਤਾਂ ਨੇ ਅਤੇ ਅੱਧੇ ਗੋਤ ਨੇ ਆਪਣੀ ਜ਼ਮੀਨ ਨੂੰ ਯਰਦਨ ਪਾਰ ਯਰੀਹੋ ਕੋਲ, ਪੂਰਬ ਦਿਸ਼ਾ ਵੱਲ ਪਾ ਲਿਆ ਹੈ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 16] ਫੇਰ ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ,
[IRV | PA | OT | Numbers | Chapter 34 | Verse 17] ਇਹ ਉਨ੍ਹਾਂ ਮਨੁੱਖਾਂ ਦੇ ਨਾਮ ਹਨ ਜੋ ਤੁਹਾਡੇ ਲਈ ਦੇਸ ਦੀ ਜ਼ਮੀਨ ਵੰਡਣ। ਅਲਆਜ਼ਾਰ ਜਾਜਕ ਅਤੇ ਨੂਨ ਦਾ ਪੁੱਤਰ ਯਹੋਸ਼ੁਆ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 18] ਨਾਲੇ ਤੁਸੀਂ ਹਰ ਗੋਤ ਤੋਂ ਇੱਕ-ਇੱਕ ਪ੍ਰਧਾਨ ਦੇਸ ਦੀ ਜ਼ਮੀਨ ਵੰਡਣ ਲਈ ਲਿਓ।
[IRV | PA | OT | Numbers | Chapter 34 | Verse 19] ਅਤੇ ਇਹ ਉਨ੍ਹਾਂ ਮਨੁੱਖਾਂ ਦੇ ਨਾਮ ਹੋਣ, ਯਹੂਦਾਹ ਦੇ ਗੋਤ ਲਈ ਯਫ਼ੁੰਨਹ ਦਾ ਪੁੱਤਰ ਕਾਲੇਬ
