[IRV | PA | OT | Numbers | Chapter 13 | Verse 1] ਯਹੋਵਾਹ ਨੇ ਮੂਸਾ ਨੂੰ ਆਖਿਆ,
[IRV | PA | OT | Numbers | Chapter 13 | Verse 2] ਤੂੰ ਮਨੁੱਖਾਂ ਨੂੰ ਭੇਜ ਕਿ ਉਹ ਕਨਾਨ ਦੇਸ ਦਾ ਭੇਤ ਲੈਣ ਜਿਹੜਾ ਮੈਂ ਇਸਰਾਏਲੀਆਂ ਨੂੰ ਦਿੰਦਾ ਹਾਂ। ਉਨ੍ਹਾਂ ਦੇ ਪੁਰਖਿਆਂ ਦੀਆਂ ਗੋਤਾਂ ਤੋਂ ਇੱਕ-ਇੱਕ ਮਨੁੱਖ ਜਿਹੜਾ ਉਨ੍ਹਾਂ ਵਿੱਚ ਪ੍ਰਧਾਨ ਹੋਵੇ ਤੁਸੀਂ ਉਸ ਨੂੰ ਭੇਜੋ।
[IRV | PA | OT | Numbers | Chapter 13 | Verse 3] ਤਦ ਮੂਸਾ ਨੇ ਉਨ੍ਹਾਂ ਨੂੰ ਪਾਰਾਨ ਦੇ ਨਾਮ ਦੀ ਉਜਾੜ ਤੋਂ ਯਹੋਵਾਹ ਦੇ ਹੁਕਮ ਅਨੁਸਾਰ ਭੇਜਿਆ। ਇਹ ਸਾਰੇ ਮਨੁੱਖ ਇਸਰਾਏਲੀਆਂ ਦੇ ਮੁਖੀਏ ਸਨ।
[IRV | PA | OT | Numbers | Chapter 13 | Verse 4] ਅਤੇ ਉਹਨਾਂ ਦੇ ਨਾਮ ਇਹ ਸਨ - ਰਊਬੇਨ ਦੇ ਗੋਤ ਤੋਂ ਜ਼ੱਕੂਰ ਦਾ ਪੁੱਤਰ ਸ਼ੰਮੂਆ।
[IRV | PA | OT | Numbers | Chapter 13 | Verse 5] ਸ਼ਿਮਓਨ ਦੇ ਗੋਤ ਤੋਂ ਹੋਰੀ ਦਾ ਪੁੱਤਰ ਸ਼ਾਫਾਟ।
[IRV | PA | OT | Numbers | Chapter 13 | Verse 6] ਯਹੂਦਾਹ ਦੇ ਗੋਤ ਤੋਂ ਯਫ਼ੁੰਨਹ ਦਾ ਪੁੱਤਰ ਕਾਲੇਬ।
[IRV | PA | OT | Numbers | Chapter 13 | Verse 7] ਯਿੱਸਾਕਾਰ ਦੇ ਗੋਤ ਤੋਂ ਯੂਸੁਫ਼ ਦਾ ਪੁੱਤਰ ਯਿਗਾਲ।
[IRV | PA | OT | Numbers | Chapter 13 | Verse 8] ਇਫ਼ਰਾਈਮ ਦੇ ਗੋਤ ਤੋਂ ਨੂਨ ਦਾ ਪੁੱਤਰ ਹੋਸ਼ੇਆ।
[IRV | PA | OT | Numbers | Chapter 13 | Verse 9] ਬਿਨਯਾਮੀਨ ਦੇ ਗੋਤ ਤੋਂ ਰਾਫ਼ੂ ਦਾ ਪੁੱਤਰ ਪਲਟੀ।
[IRV | PA | OT | Numbers | Chapter 13 | Verse 10] ਜ਼ਬੂਲੁਨ ਦੇ ਗੋਤ ਤੋਂ ਸੋਦੀ ਦਾ ਪੁੱਤਰ ਗੱਦੀਏਲ।
[IRV | PA | OT | Numbers | Chapter 13 | Verse 11] ਯੂਸੁਫ਼ ਦੇ ਗੋਤ ਤੋਂ ਅਰਥਾਤ ਮਨੱਸ਼ਹ ਦੇ ਗੋਤ ਤੋਂ ਸੂਸੀ ਦਾ ਪੁੱਤਰ ਗੱਦੀ।
