[IRV | BN | NT | Galatians | Chapter 4 | Verse 1] কিন্তু আমি বলি, উত্তরাধিকারী যত দিন শিশু থাকে, ততদিন সব কিছুর অধিকারী হলেও দাস ও তার মধ্য কোনো পার্থক্য নেই,
[IRV | BN | NT | Galatians | Chapter 4 | Verse 2] কিন্তু পিতার নির্দিষ্ট দিন পর্যন্ত সে তার দেখাশোনা করে যে তাঁর ও সম্পত্তির ভারপ্রাপ্ত কর্মচারীর অধীনে থাকে।
[IRV | BN | NT | Galatians | Chapter 4 | Verse 3] তেমনি আমরাও যখন শিশু ছিলাম, তখন জগতের প্রাথমিক শিক্ষার অধীনে বন্দী ছিলাম।
[IRV | BN | NT | Galatians | Chapter 4 | Verse 4] কিন্তু দিন সম্পূর্ণ হলে ঈশ্বর তাঁর নিজের পুত্রকে পাঠালেন, তিনি কুমারীর মাধ্যমে জন্ম নিলেন, ব্যবস্থার অধীনে জন্ম নিলেন,
[IRV | BN | NT | Galatians | Chapter 4 | Verse 5] যেন তিনি মূল্য দিয়ে ব্যবস্থার অধীনে লোকদেরকে মুক্ত করেন, যেন আমরা দত্তক পুত্রের অধিকার প্রাপ্ত হই।
[IRV | BN | NT | Galatians | Chapter 4 | Verse 6] আর তোমরা পুত্র, এই জন্য ঈশ্বর তাঁর পুত্রের আত্মাকে আমাদের হৃদয়ে পাঠালেন, যিনি “আব্বা, পিতা” বলে ডাকেন।
[IRV | BN | NT | Galatians | Chapter 4 | Verse 7] তাই তুমি আর দাস না, কিন্তু পুত্র, আর যখন পুত্র, তখন ঈশ্বরের মাধ্যমে উত্তরাধিকারীও হয়েছ।
[IRV | BN | NT | Galatians | Chapter 4 | Verse 8] যদিও আগে, যখন তোমরা ঈশ্বরকে জানতে না তখন যারা প্রকৃত দেবতা তোমরা তাদের দাস ছিলে,
[IRV | BN | NT | Galatians | Chapter 4 | Verse 9] কিন্তু এখন ঈশ্বরের পরিচয় পেয়েছ, বরং ঈশ্বরও তোমাদের জানেন, তবে কেমন করে আবার ঐ দুর্বল ও মূল্যহীন জগতের প্রাথমিক শিক্ষার দিকে ফিরছ এবং আবার ফিরে গিয়ে সেগুলির দাস হতে চাইছ?
[IRV | BN | NT | Galatians | Chapter 4 | Verse 10] তোমরা বিশেষ বিশেষ দিন, মাস, ঋতু ও বছর পালন করছ।
[IRV | BN | NT | Galatians | Chapter 4 | Verse 11] তোমাদের বিষয়ে আমার ভয় হয়, কি জানি, তোমাদের মধ্য বৃথাই পরিশ্রম করেছি।
[IRV | BN | NT | Galatians | Chapter 4 | Verse 12] ভাইয়েরা, তোমাদেরকে এই অনুরোধ করছি, তোমরা আমার মত হও, কারণ আমিও তোমাদের মত। তোমরা আমার বিরুদ্ধে কোনো অন্যায় কর নি,
[IRV | BN | NT | Galatians | Chapter 4 | Verse 13] আর তোমরা জান, আমি দেহের অসুস্থতায় প্রথমবার তোমাদের কাছে সুসমাচার প্রচারের সুযোগ পেয়েছিলাম,
[IRV | BN | NT | Galatians | Chapter 4 | Verse 14] আর আমার দেহের দুর্বলতায় তোমাদের যে পরীক্ষা হয়েছিল, তা তোমরা তুচ্ছ কর নি, ঘৃণাও কর নি, বরং ঈশ্বরের এক দূতের মতো, খ্রীষ্ট যীশুর মতো, আমাকে গ্রহণ করেছিলে।
[IRV | BN | NT | Galatians | Chapter 4 | Verse 15] তবে তোমাদের সেই ধন্য জীবন কোথায়? কারণ আমি তোমাদের পক্ষে সাক্ষ্য দিচ্ছি যে, সাধ্য থাকলে তোমরা তোমাদের চোখ উপড়ে আমাকে দিতে।
[IRV | BN | NT | Galatians | Chapter 4 | Verse 16] তবে তোমাদের কাছে সত্য বলাতে কি তোমাদের শত্রু হয়েছি?
[IRV | BN | NT | Galatians | Chapter 4 | Verse 17] তারা যে সযত্নে তোমাদের খোঁজ করছে, তা ভালভাবে করে না, বরং তারা তোমাদেরকে বাইরে রাখতে চায়, যেন তোমরা সযত্নে তাদেরই খোঁজ কর।
[IRV | BN | NT | Galatians | Chapter 4 | Verse 18] শুধু তোমাদের কাছে আমার উপস্থিতির দিন নয়, কিন্তু সবদিন ভালো বিষয়ে সযত্নে খোঁজ নেওয়া ভাল,
[IRV | BN | NT | Galatians | Chapter 4 | Verse 19] তোমরা ত আমার সন্তান, আমি আবার তোমাদেরকে নিয়ে প্রসব-যন্ত্রণা সহ্য করছি, যতক্ষণ না তোমাদের মধ্যে খ্রীষ্ট গঠিত হয়,
[IRV | BN | NT | Galatians | Chapter 4 | Verse 20] কিন্তু আমার ইচ্ছা এই যে, এখন তোমাদের কাছে উপস্থিত হয়ে অন্য স্বরে কথা বলি, কারণ তোমাদের বিষয়ে আমি খুবই চিন্তিত।
[IRV | BN | NT | Galatians | Chapter 4 | Verse 21] বল দেখি, তোমরা তো ব্যবস্থার অধীনে থাকার ইচ্ছা কর, তোমরা কি ব্যবস্থার কথা শোন না?
[IRV | BN | NT | Galatians | Chapter 4 | Verse 22] কারণ পবিত্র শাস্ত্রে লেখা আছে যে, অব্রাহামের দুটি ছেলে ছিল, একটি দাসীর ছেলে, একটি স্বাধীনার ছেলে।
[IRV | BN | NT | Galatians | Chapter 4 | Verse 23] আর ঐ দাসীর ছেলে দেহ অনুসারে, কিন্তু স্বাধীনার ছেলে প্রতিজ্ঞার গুণে জন্ম নিয়েছিল।
