[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 1] «حِينَمَا كُنْتُ أَشْفِي إِسْرَائِيلَ، أُعْلِنَ إِثْمُ أَفْرَايِمَ وَشُرُورُ ٱلسَّامِرَةِ، فَإِنَّهُمْ قَدْ صَنَعُوا غِشًّا. ٱلسَّارِقُ دَخَلَ وَٱلْغُزَاةُ نَهَبُوا فِي ٱلْخَارِجِ.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 2] وَلَا يَفْتَكِرُونَ فِي قُلُوبِهِمْ أَنِّي قَدْ تَذَكَّرْتُ كُلَّ شَرِّهِمْ. اَلْآنَ قَدْ أَحَاطَتْ بِهِمْ أَفْعَالُهُمْ. صَارَتْ أَمَامَ وَجْهِي.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 3] «بِشَرِّهِمْ يُفَرِّحُونَ ٱلْمَلِكَ، وَبِكَذِبِهِمِ ٱلرُّؤَسَاءَ.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 4] كُلُّهُمْ فَاسِقُونَ كَتَنُّورٍ مُحْمًى مِنَ ٱلْخَبَّازِ. يُبَطِّلُ ٱلْإِيقَادَ مِنْ وَقْتِمَا يَعْجِنُ ٱلْعَجِينَ إِلَى أَنْ يَخْتَمِرَ.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 5] يَوْمُ مَلِكِنَا يَمْرَضُ ٱلرُّؤَسَاءُ مِنْ سَوْرَةِ ٱلْخَمْرِ. يَبْسُطُ يَدَهُ مَعَ ٱلْمُسْتَهْزِئِينَ.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 6] لِأَنَّهُمْ يُقَرِّبُونَ قُلُوبَهُمْ فِي مَكِيدَتِهِمْ كَٱلتَّنُّورِ. كُلَّ ٱللَّيْلِ يَنَامُ خَبَّازُهُمْ، وَفِي ٱلصَّبَاحِ يَكُونُ مُحْمًى كَنَارٍ مُلْتَهِبَةٍ.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 7] كُلُّهُمْ حَامُونَ كَٱلتَّنُّورِ وَأَكَلُوا قُضَاتَهُمْ. جَمِيعُ مُلُوكِهِمْ سَقَطُوا. لَيْسَ بَيْنَهُمْ مَنْ يَدْعُو إِلَيَّ.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 8] «أَفْرَايِمُ يَخْتَلِطُ بِٱلشُّعُوبِ. أَفْرَايِمُ صَارَ خُبْزَ مَلَّةٍ لَمْ يُقْلَبْ.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 9] أَكَلَ ٱلْغُرَبَاءُ ثَرْوَتَهُ وَهُوَ لَا يَعْرِفُ، وَقَدْ رُشَّ عَلَيْهِ ٱلشَّيْبُ وَهُوَ لَا يَعْرِفُ.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 10] وَقَدْ أُذِلَّتْ عَظَمَةُ إِسْرَائِيلَ فِي وَجْهِهِ، وَهُمْ لَا يَرْجِعُونَ إِلَى ٱلرَّبِّ إِلَهِهِمْ وَلَا يَطْلُبُونَهُ مَعَ كُلِّ هَذَا.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 11] وَصَارَ أَفْرَايِمُ كَحَمَامَةٍ رَعْنَاءَ بِلَا قَلْبٍ. يَدْعُونَ مِصْرَ. يَمْضُونَ إِلَى أَشُّورَ.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 12] عِنْدَمَا يَمْضُونَ أَبْسُطُ عَلَيْهِمْ شَبَكَتِي. أُلْقِيهِمْ كَطُيُورِ ٱلسَّمَاءِ. أُؤَدِّبُهُمْ بِحَسَبِ خَبَرِ جَمَاعَتِهِمْ.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 13] «وَيْلٌ لَهُمْ لِأَنَّهُمْ هَرَبُوا عَنِّي. تَبًّا لَهُمْ لِأَنَّهُمْ أَذْنَبُوا إِلَيَّ. أَنَا أَفْدِيهِمْ وَهُمْ تَكَلَّمُوا عَلَيَّ بِكَذِبٍ.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 14] وَلَا يَصْرُخُونَ إِلَيَّ بِقُلُوبِهِمْ حِينَمَا يُوَلْوِلُونَ عَلَى مَضَاجِعِهِمْ. يَتَجَمَّعُونَ لِأَجْلِ ٱلْقَمْحِ وَٱلْخَمْرِ، وَيَرْتَدُّونَ عَنِّي.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 15] وَأَنَا أَنْذَرْتُهُمْ وَشَدَّدْتُ أَذْرُعَهُمْ، وَهُمْ يُفَكِّرُونَ عَلَيَّ بِٱلشَّرِّ.
[VANDYKE | AR | OT | Hosea | Chapter 7 | Verse 16] يَرْجِعُونَ لَيْسَ إِلَى ٱلْعَلِيِّ. قَدْ صَارُوا كَقَوْسٍ مُخْطِئَةٍ. يَسْقُطُ رُؤَسَاؤُهُمْ بِٱلسَّيْفِ مِنْ أَجْلِ سَخَطِ أَلْسِنَتِهِمْ. هَذَا هُزْؤُهُمْ فِي أَرْضِ مِصْرَ.
