[IRV | GU | OT | Isaiah | Chapter 25 | Verse 1] હે યહોવાહ, તમે મારા ઈશ્વર છો; હું તમને મોટા માનીશ, હું તમારા નામની સ્તુતિ કરીશ; કેમ કે તમે અદ્દભુત કાર્યો કર્યાં છે; તમે વિશ્વાસુપણે કરેલી પુરાતનકાળની યોજનાઓ પૂરી કરી છે.
[IRV | GU | OT | Isaiah | Chapter 25 | Verse 2] કેમ કે તમે નગરનો ઢગલો કરી નાખ્યો છે; મોરચાબંધ નગરને ખંડિયેર કર્યું છે, પરદેશીઓના ગઢને તમે નગરની પંક્તિમાંથી કાઢી નાખ્યો છે.
[IRV | GU | OT | Isaiah | Chapter 25 | Verse 3] તેથી સામર્થ્યવાન લોકો તમારો મહિમા ગાશે; દુષ્ટ દેશોનું નગર તમારાથી બીશે.
[IRV | GU | OT | Isaiah | Chapter 25 | Verse 4] જ્યારે દુષ્ટ લોકોનો વિસ્ફોટ કોટ પરના તોફાન જેવો થશે, ત્યારે તમે ગરીબોના રક્ષક, સંકટ સમયે દીનોના આધાર, તોફાનની સામે આશ્રય અને તડકાની સામે છાયા થશો.
[IRV | GU | OT | Isaiah | Chapter 25 | Verse 5] સૂકી જગામાં તડકાની જેમ, તમે અજાણ્યાના અવાજને દબાવી દેશો; જેમ વાદળની છાયાથી તડકો ઓછો લાગે છે તેમ દુષ્ટોનું ગાયન મંદ કરવામાં આવશે.
[IRV | GU | OT | Isaiah | Chapter 25 | Verse 6] આ પર્વત પર સૈન્યોના યહોવાહ સર્વ લોકો માટે મેદવાળી વાનગીની ઉજવણી કરાવશે, ઉત્તમ દ્રાક્ષારસની, કુમળા માંસની મિજબાની આપશે.
[IRV | GU | OT | Isaiah | Chapter 25 | Verse 7] જે ઘૂંઘટ સઘળી પ્રજાઓ પર ઓઢાડેલો છે તેના પૃષ્ઠનો તથા જે આચ્છાદન સર્વ પ્રજાઓ પર પસારેલું છે, તેનો આ પર્વત પર તે નાશ કરશે.
[IRV | GU | OT | Isaiah | Chapter 25 | Verse 8] તે સદાને માટે મરણને ગળી જશે અને પ્રભુ યહોવાહ સર્વના મુખ પરથી આંસૂ લૂછી નાખશે; આખી પૃથ્વી પરથી તે પોતાના લોકોનું મહેણું દૂર કરશે, કેમ કે યહોવાહ એવું બોલ્યા છે.
[IRV | GU | OT | Isaiah | Chapter 25 | Verse 9] તે દિવસે એવું કહેવામાં આવશે, “જુઓ, આ આપણા ઈશ્વર છે; આપણે તેમની રાહ જોતા આવ્યા છીએ અને તે આપણો ઉદ્ધાર કરશે; આ યહોવાહ છે; આપણે તેમની રાહ જોતા આવ્યા છીએ, તેમણે કરેલા ઉદ્ધારથી આપણે હરખાઈને આનંદ કરીશું.”
[IRV | GU | OT | Isaiah | Chapter 25 | Verse 10] કેમ કે યહોવાહનો હાથ આ પર્વત પર થોભશે; અને જેમ ઉકરડાનાં પાણીમાં ઘાસ ખુંદાય છે, તેમ મોઆબ પોતાને સ્થળે ખુંદાશે.
[IRV | GU | OT | Isaiah | Chapter 25 | Verse 11] જેમ તરનાર તરવા માટે પોતાના હાથ પ્રસારે છે, તે પ્રમાણે તેઓ પોતાના હાથ પ્રસારશે; અને તેના હાથની ચાલાકી છતાં યહોવાહ તેના ગર્વને ઉતારી નાખશે.
[IRV | GU | OT | Isaiah | Chapter 25 | Verse 12] તારા કોટની ઊંચી કિલ્લેબંદીને પાડી નાખીને તેને જમીનદોસ્ત કરશે, તેને ધૂળભેગી કરી નાખશે.
