[IRV | GU | OT | Isaiah | Chapter 32 | Verse 1] જુઓ, એક રાજા ન્યાયથી રાજ કરશે અને રાજકુમારો ઇનસાફથી શાસન કરશે.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 2] તેમાંનો દરેક માણસ વાયુથી આશ્રયસ્થાન અને વાવાઝોડા સામે આશરા જેવો, સૂકી ભૂમિમાં પાણીના નાળાં જેવો, કંટાળાજનક દેશમાં એક વિશાળ ખડકની છાયા જેવો થશે.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 3] પછી જોનારની આંખો ઝાંખી થશે નહિ અને જેઓ સાંભળી શકે છે તેઓના કાન ધ્યાનપૂર્વક સાંભળશે.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 4] ઉતાવળિયાઓનાં મન ડહાપણ સમજશે અને મૂંગાઓની જીભ સ્પષ્ટ બોલશે.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 5] ત્યારે મૂર્ખને કોઈ ખાનદાન કહેશે નહિ, કે ઠગ નીતિમાન કહેવાશે નહિ.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 6] કેમ કે મૂર્ખ મૂર્ખાઈની જ વાત બોલશે અને તેનું હૃદય દુષ્ટ યોજનાઓ કરશે અને તે અધર્મનાં કાર્યો અને યહોવાહ વિષે ભૂલભરેલી વાત બોલશે. તે ભૂખ્યાઓને અતૃપ્ત રાખશે અને તરસ્યાઓને પીવાનું પાણી આપશે નહિ.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 7] ઠગની રીતો દુષ્ટ છે. જ્યારે દરિદ્રી કહે છે કે સત્ય શું છે તોપણ તે દરિદ્રીને જૂઠી વાતોથી નાશ કરવાને માટે દુષ્ટ યુકિત યોજે છે.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 8] પણ ઉદાર વ્યક્તિ ઉદારતાની યોજના બનાવે છે; અને તેના ઉદારતા કાર્ય માં તે સ્થિર રહેશે.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 9] સુખી સ્ત્રીઓ, ઊઠો અને મારી વાણી સાંભળો; હે બેદરકાર દીકરીઓ, મને સાંભળો.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 10] હે બેદરકાર સ્ત્રીઓ, એક વર્ષ ઉપરાંત કેટલાક દિવસો પછી તમારો વિશ્વાસ ઊઠી જશે, કેમ કે દ્રાક્ષાની ઊપજ બંધ થશે અને તેને એકત્ર કરવાનો સમય આવશે નહિ.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 11] હે સુખી સ્ત્રીઓ, કાંપો; વિશ્વાસુ સ્ત્રીઓ તમે મુશ્કેલીમાં મુકાશો; તમારા રોજબરોજનાં વસ્રો કાઢીને નિર્વસ્ત્ર થાઓ; કમર પર ટાટ બાંધો.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 12] તમે આનંદદાયક ખેતરોને માટે, ફળદાયક દ્રાક્ષવેલાને માટે આક્રંદ કરશો.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 13] મારા લોકોની ભૂમિ પર કાંટા તથા ઝાંખરાં ઊગી નીકળશે, ઉલ્લાસી નગરનાં સર્વ આનંદભર્યાં ઘર પર તેઓ ઊગશે.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 14] કેમ કે, રાજમહેલનો ત્યાગ કરવામાં આવશે, વસ્તીવાળું નગર ઉજ્જડ થશે; ટેકરી તથા બુરજ સર્વકાળ સુધી કોતર જેવાં, રાની ગધેડાના આનંદનું સ્થાન અને ઘેટાંનું ચરવાનું સ્થાન થશે;
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 15] જ્યાં સુધી કે ઉપરથી આત્મા આપણા પર રેડાય અને અરણ્ય ફળદ્રુપ વાડી થાય અને ફળદ્રુપ વાડી વન સમાન બને ત્યાં સુધી એવું થશે.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 16] પછી ઇનસાફ અરણ્યમાં વસશે; અને ન્યાયપણું ફળદ્રુપ વાડીમાં રહેશે.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 17] ન્યાયીપણાનું કામ શાંતિ અને ન્યાયીપણાનું પરિણામ સર્વકાળનો વિશ્રામ અને વિશ્વાસ થશે.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 18] મારા લોકો શાંતિના સ્થાનમાં, સુરક્ષિત આવાસોમાં તથા સ્વસ્થ વિશ્રામસ્થાનોમાં રહેશે.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 19] પરંતુ જંગલના પતન સમયે કરા પડશે અને નગર જમીનદોસ્ત કરવામાં આવશે.
[IRV | GU | OT | Isaiah | Chapter 32 | Verse 20] તમે જેઓ સર્વ ઝરણાંની પાસે વાવો છો અને તમારા બળદ અને ગધેડાને છૂટથી ચરવા મોકલો છો, તેઓ પરમસુખી છે.
