[IRV | GU | OT | Isaiah | Chapter 30 | Verse 1] યહોવાહ કહે છે, “બળવાખોર સંતાનોને અફસોસ!” “તેઓ યોજનાઓ કરે છે, પણ મારી નહિ; તેઓ અન્ય દેશો સાથે સંધિઓ કરે છે, પણ તે મારા આત્માને અનુસરીને નહિ, તેથી તેઓ પાપ ઉપર પાપ ઉમેરે છે.
[IRV | GU | OT | Isaiah | Chapter 30 | Verse 2] તેઓ મને પૂછયા વિના મિસરમાં ચાલ્યા જાય છે. તેઓ ફારુનથી રક્ષણ મેળવવા અને મિસરની છાયામાં શરણ શોધે છે.
[IRV | GU | OT | Isaiah | Chapter 30 | Verse 3] તેથી ફારુનનું રક્ષણ તે તારા માટે શરમરૂપ અને મિસરની છાયામાં આશ્રય તને અપમાનરૂપ થશે.
[IRV | GU | OT | Isaiah | Chapter 30 | Verse 4] જો કે તેના સરદારો સોઆનમાં છે અને તેના સંદેશવાહકો હાનેસ પહોંચ્યા છે.
[IRV | GU | OT | Isaiah | Chapter 30 | Verse 5] તોપણ જે લોકોથી તેઓને મદદ મળવાની નથી, જેઓ સહાયકારને ઉપયોગી થવાના નથી, પણ લજ્જાસ્પદ તથા અપમાનકારક છે, તેઓનાથી તેઓ સર્વ લજ્જિત થશે.”
[IRV | GU | OT | Isaiah | Chapter 30 | Verse 6] નેગેબનાં પશુઓ વિષે ઈશ્વરવાણી: દુઃખ તથા સંકટનો દેશ કે જેમાંથી સિંહ તથા સિંહણ, ઝેરી સાપ તથા ઊડતા નાગ આવે છે, તેમાં થઈને તેઓ, જે લોકોથી તેમને મદદ થઈ શકે નહિ, તેઓની પાસે ગધેડાની પીઠ પર પોતાનું દ્રવ્ય, તથા ઊંટોની પીઠ પર પોતાના ખજાના લાદીને લઈ જાય છે.
[IRV | GU | OT | Isaiah | Chapter 30 | Verse 7] પણ મિસરની સહાય વ્યર્થ છે; તે માટે મેં તેનું નામ બેસી રહેનારી રાહાબ પાડ્યું છે.
[IRV | GU | OT | Isaiah | Chapter 30 | Verse 8] પ્રભુએ મને કહ્યું, હવે ચાલ, તેઓની રુબરુ એક પાટી પર લખ અને તેને ટીપણાંમા કોતરી નાખ, જેથી તે ભવિષ્યમાં સદાને માટે સાક્ષી તરીકે રહે.
[IRV | GU | OT | Isaiah | Chapter 30 | Verse 9] કેમ કે આ લોકો બળવાખોર, જૂઠાં સંતાનો છે, તેઓ યહોવાહનું શિક્ષણ સાંભળવાને ચાહતા નથી એવા છે.
[IRV | GU | OT | Isaiah | Chapter 30 | Verse 10] તેઓ દૃષ્ટાઓને કહે છે, “તમે દર્શન જોશો નહિ;” અને પ્રબોધકોને કહે છે, “અમને સત્યની સીધી ભવિષ્યવાણી કહેશો નહિ; પણ અમને મીઠી મીઠી વાતો કહો અને ઠગાઈની ભવિષ્યવાણી કહો;
[IRV | GU | OT | Isaiah | Chapter 30 | Verse 11] માર્ગમાંથી નીકળી જાઓ; રસ્તા પરથી બાજુએ ખસી જાઓ; અમારી આગળથી ઇઝરાયલના પવિત્રને દૂર કરો.”
[IRV | GU | OT | Isaiah | Chapter 30 | Verse 12] તેથી ઇઝરાયલના પવિત્ર એવું કહે છે, “કેમ કે તમે આ વાતને નકારો છો અને જુલમ પર તથા કુટિલતા પર ભરોસો અને આધાર રાખો છો,
