[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 1] Now Solomon was king over all Israel.
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 2] And these were his chief men: Azariah, the son of Zadok, was the priest;
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 3] Elihoreph and Ahijah, the sons of Shisha, were scribes; Jehoshaphat, the son of Ahilud, was the recorder;
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 4] Benaiah, the son of Jehoiada, was head of the army; Zadok and Abiathar were priests;
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 5] Azariah, the son of Nathan, was over those in authority in the different divisions of the country; Zabud, the son of Nathan, was priest and the king's friend;
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 6] Ahishar was controller of the king's house; Adoniram, the son of Abda, was overseer of the forced work.
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 7] And Solomon put twelve overseers over all Israel, to be responsible for the stores needed for the king and those of his house; every man was responsible for one month in the year.
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 8] And these are their names: ... the son of Hur in the hill country of Ephraim;
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 9] ... the son of Deker in Makaz and Shaalbim and Beth-shemesh and Elonbeth-hanan;
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 10] ... the son of Hesed in Arubboth; Socoh and all the land of Hepher were under his control;
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 11] ... the son of Abinadab in all Naphath-dor; his wife was Taphath, the daughter of Solomon.
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 12] Baana, the son of Ahilud, in Taanach and Megiddo, and all Beth-shean which is by the side of Zarethan, under Jezreel, from Beth-shean to Abel-meholah, as far as the far side of Jokmeam;
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 13] ... the son of Geber in Ramoth-gilead; he had the towns of Jair, the son of Manasseh, which are in Gilead, and the country of Argob, which is in Bashan, sixty great towns with walls and locks of brass.
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 14] Ahinadab, the son of Iddo, in Mahanaim;
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 15] Ahimaaz in Naphtali; he took Basemath, the daughter of Solomon, as his wife;
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 16] Baana, the son of Hushai, in Asher and Aloth;
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 17] Jehoshaphat, the son of Paruah, in Issachar;
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 18] Shimei, the son of Ela, in Benjamin;
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 19] Geber, the son of Uri, in the land of Gilead, the country of Sihon, king of the Amorites, and Og, king of Bashan; and one overseer had authority over all the overseers who were in the land.
[BBE | EN | OT | 1 Kings | Chapter 4 | Verse 20] Judah and Israel were as great in number as the sand by the seaside, and they took their food and drink with joy in their hearts.
