[IRV | TE | NT | Luke | Chapter 12 | Verse 1] అంతలో వేలకొద్దీ ప్రజలు పోగయి ఒకరినొకరు తొక్కుకుంటూ ఉన్నారు. అప్పుడు ఆయన మొదట తన శిష్యులతో ఇలా చెప్పనారంభించాడు. “పరిసయ్యుల పులిసిన పిండిని గురించి అంటే వారి వేషధారణ విషయం జాగ్రత్త పడండి.
[IRV | TE | NT | Luke | Chapter 12 | Verse 2] కప్పి పెట్టింది ఏదీ బట్టబయలు కాకపోదు. రహస్యమైనదేదీ తెలియకుండా ఉండదు.
[IRV | TE | NT | Luke | Chapter 12 | Verse 3] అందుకని మీరు చీకటిలో మాట్లాడేవి వెలుగులో వినబడతాయి. గదుల్లో చెప్పుకునేవి ఇంటి కప్పుల పైన చాటిస్తారు.
[IRV | TE | NT | Luke | Chapter 12 | Verse 4] నా స్నేహితులైన మీకు నేను చెప్పేదేమిటంటే దేహాన్ని చంపడం మినహా మరేమీ చేయలేని వాడికి భయపడవద్దు.
[IRV | TE | NT | Luke | Chapter 12 | Verse 5] ఎవరికి మీరు భయపడాలో చెబుతాను. చంపిన తరువాత నరకంలో పడవేసే శక్తి గల వాడికి భయపడండి. ఆయనకే భయపడమని మీకు చెబుతున్నాను.
[IRV | TE | NT | Luke | Chapter 12 | Verse 6] ఐదు పిచ్చుకలను రెండు కాసులకు అమ్ముతారు కదా. అయినా వాటిలో ఒక్కదాన్ని కూడా దేవుడు మర్చిపోడు.
[IRV | TE | NT | Luke | Chapter 12 | Verse 7] మీ తలవెంట్రుకలన్నిటికీ లెక్క ఉంది. భయపడకండి. మీరు ఎన్నో పిచ్చుకల కంటే విలువైన వారు కదా.
[IRV | TE | NT | Luke | Chapter 12 | Verse 8] ఇంకా మీతో చెప్పేదేమిటంటే, నన్ను మనుషుల ముందు ఎవరు అంగీకరిస్తాడో వాణ్ణి మనుష్య కుమారుడు దేవుని దూతల ముందు అంగీకరిస్తాడు.
[IRV | TE | NT | Luke | Chapter 12 | Verse 9] మనుషుల ముందు నేనెవరో తెలియదు అనే వారి గురించి నేను కూడా దేవుని దూతల ముందు వారెవరో నాకు తెలియదు అని చెబుతాను.
[IRV | TE | NT | Luke | Chapter 12 | Verse 10] మనుష్య కుమారుడికి వ్యతిరేకంగా ఏదన్నా మాట అనే వాడికి పాపక్షమాపణ కలుగుతుంది గానీ పరిశుద్ధాత్మను దూషిస్తే వాడికి క్షమాపణ లేదు.
[IRV | TE | NT | Luke | Chapter 12 | Verse 11] వారు సమాజమందిరాల్లో పెద్దల దగ్గరకూ అధిపతుల దగ్గరకూ అధికారుల దగ్గరకూ మిమ్మల్ని తీసుకు వెళ్ళేటప్పుడు అక్కడ ఎలా జవాబివ్వాలా, ఏం మాట్లాడాలా అని చింత పడవద్దు.
[IRV | TE | NT | Luke | Chapter 12 | Verse 12] మీరు ఏం చెప్పాలో ఆ సమయంలోనే పరిశుద్ధాత్మ మీకు నేర్పిస్తాడు.”
[IRV | TE | NT | Luke | Chapter 12 | Verse 13] ఆ జనసమూహంలో ఒకడు, “ఉపదేశకా, వారసత్వంగా వచ్చిన ఆస్తిలో నాకు భాగం పంచమని మా అన్నయ్యతో చెప్పండి” అన్నాడు.
[IRV | TE | NT | Luke | Chapter 12 | Verse 14] అందుకు ఆయన, “ఏమయ్యా, మీ మీద పెద్దమనిషిగా మధ్యవర్తిగానో నన్నెవరు నియమించారు?” అన్నాడు.
[IRV | TE | NT | Luke | Chapter 12 | Verse 15] ఆయన ఇంకా వారితో ఇలా అన్నాడు, “మీరు అత్యాశకు చోటివ్వకండి. జీవం అంటే సంపదలు విస్తరించడం కాదు.”
[IRV | TE | NT | Luke | Chapter 12 | Verse 16] తరువాత ఆయన వారికి ఈ ఉపమానం చెప్పాడు. “ఒక ధనవంతుడి భూమి బాగా దిగుబడి ఇచ్చింది.
[IRV | TE | NT | Luke | Chapter 12 | Verse 17] అప్పుడు అతడు ఇలా ఆలోచించాడు, ‘నా పంట సమకూర్చుకోడానికి నాకు స్థలం చాలదు. కాబట్టి నేనేం చేయాలి? ఇలా చేస్తాను.
