[IRV | PA | OT | Micah | Chapter 5 | Verse 1] ਹੁਣ ਹੇ ਜੱਥਿਆਂ ਦੀਏ ਧੀਏ, ਤੂੰ ਆਪਣਿਆਂ ਜੱਥਿਆਂ ਨੂੰ ਇਕੱਠਿਆਂ ਕਰ, ਉਸ ਨੇ ਸਾਡੇ ਵਿਰੁੱਧ ਘੇਰਾ ਪਾਇਆ ਹੈ, ਉਹ ਇਸਰਾਏਲ ਦੇ ਨਿਆਈਂ ਨੂੰ ਡੰਡੇ ਨਾਲ ਗੱਲ੍ਹ ਤੇ ਮਾਰਨਗੇ।
[IRV | PA | OT | Micah | Chapter 5 | Verse 2] ਪਰ ਹੇ ਬੈਤਲਹਮ ਅਫਰਾਥਾਹ, ਭਾਵੇਂ ਤੂੰ ਯਹੂਦਾਹ ਦੇ ਹਜ਼ਾਰਾਂ ਵਿੱਚ ਛੋਟਾ ਹੈਂ, ਤਾਂ ਵੀ ਤੇਰੇ ਵਿੱਚੋਂ ਮੇਰੇ ਲਈ ਇੱਕ ਪੁਰਖ ਨਿੱਕਲੇਗਾ, ਜੋ ਇਸਰਾਏਲ ਵਿੱਚ ਹਾਕਮ ਹੋਵੇਗਾ, ਜਿਸ ਦਾ ਨਿੱਕਲਣਾ ਪ੍ਰਾਚੀਨ ਸਮੇਂ ਤੋਂ, ਸਗੋਂ ਅਨਾਦੀ ਤੋਂ ਹੈ।
[IRV | PA | OT | Micah | Chapter 5 | Verse 3] ਇਸ ਲਈ ਉਹ ਉਹਨਾਂ ਨੂੰ ਉਸ ਸਮੇਂ ਤੱਕ ਛੱਡ ਦੇਵੇਗਾ, ਜਦ ਤੱਕ ਜਣਨ ਵਾਲੀ ਜਨਮ ਨਾ ਦੇਵੇ, ਤਦ ਉਹ ਦੇ ਭਰਾਵਾਂ ਵਿੱਚੋਂ ਬਚੇ ਹੋਏ ਇਸਰਾਏਲੀਆਂ ਕੋਲ ਮੁੜ ਜਾਣਗੇ।
[IRV | PA | OT | Micah | Chapter 5 | Verse 4] ਉਹ ਖੜ੍ਹਾ ਹੋ ਕੇ ਯਹੋਵਾਹ ਦੇ ਬਲ ਵਿੱਚ, ਅਤੇ ਯਹੋਵਾਹ ਆਪਣੇ ਪਰਮੇਸ਼ੁਰ ਦੇ ਨਾਮ ਦੇ ਪਰਤਾਪ ਵਿੱਚ ਆਪਣਾ ਇੱਜੜ ਚਾਰੇਗਾ, ਅਤੇ ਉਹ ਸੁਰੱਖਿਅਤ ਰਹਿਣਗੇ, ਕਿਉਂ ਜੋ ਉਹ ਧਰਤੀ ਦੀਆਂ ਹੱਦਾਂ ਤੱਕ ਮਹਾਨ ਹੋਵੇਗਾ।
[IRV | PA | OT | Micah | Chapter 5 | Verse 5] ਉਹ ਸਾਡੀ ਸ਼ਾਂਤੀ ਹੋਵੇਗਾ। ਜਦ ਅੱਸ਼ੂਰੀ ਸਾਡੇ ਦੇਸ਼ ਉੱਤੇ ਚੜ੍ਹਾਈ ਕਰਨਗੇ, ਜਦ ਉਹ ਸਾਡੇ ਗੜ੍ਹਾਂ ਵਿੱਚ ਫਿਰਨਗੇ, ਤਦ ਅਸੀਂ ਉਹਨਾਂ ਦੇ ਵਿਰੁੱਧ ਸੱਤ ਅਯਾਲੀ, ਸਗੋਂ ਮਨੁੱਖਾਂ ਵਿੱਚੋਂ ਅੱਠ ਪ੍ਰਧਾਨ ਖੜ੍ਹੇ ਕਰਾਂਗੇ।
[IRV | PA | OT | Micah | Chapter 5 | Verse 6] ਉਹ ਅੱਸ਼ੂਰ ਦੇ ਦੇਸ਼ ਨੂੰ ਤਲਵਾਰ ਨਾਲ ਵਿਰਾਨ ਕਰ ਸੁੱਟਣਗੇ, ਅਤੇ ਨਿਮਰੋਦ ਦੇ ਦੇਸ਼ ਨੂੰ ਉਹ ਦੇ ਲਾਂਘਿਆਂ ਤੱਕ, ਜਦ ਉਹ ਸਾਡੇ ਦੇਸ਼ ਵਿੱਚ ਆਉਣਗੇ, ਅਤੇ ਜਦ ਉਹ ਸਾਡੀਆਂ ਹੱਦਾਂ ਵਿੱਚ ਫਿਰਨਗੇ, ਤਦ ਉਹ ਸਾਨੂੰ ਅੱਸ਼ੂਰੀਆਂ ਤੋਂ ਛੁਡਾਉਣਗੇ।
[IRV | PA | OT | Micah | Chapter 5 | Verse 7] ਤਦ ਯਾਕੂਬ ਦੇ ਬਚੇ ਹੋਏ ਲੋਕ ਕੌਮਾਂ ਦੇ ਵਿਚਕਾਰ, ਤ੍ਰੇਲ ਵਾਂਗੂੰ ਹੋਣਗੇ ਜਿਹੜੀ ਯਹੋਵਾਹ ਵੱਲੋਂ ਪੈਂਦੀ ਹੈ, ਅਤੇ ਫੁਹਾਰਾਂ ਵਾਂਗੂੰ, ਜਿਹੜੀਆਂ ਘਾਹ ਤੇ ਪੈ ਕੇ ਮਨੁੱਖ ਲਈ ਨਹੀਂ ਠਹਿਰਦੀਆਂ, ਨਾ ਹੀ ਆਦਮ-ਵੰਸ਼ ਲਈ ਉਡੀਕ ਕਰਦੀਆਂ ਹਨ।
[IRV | PA | OT | Micah | Chapter 5 | Verse 8] ਯਾਕੂਬ ਦੇ ਬਚੇ ਹੋਏ ਲੋਕ ਕੌਮਾਂ ਦੇ ਵਿੱਚ, ਸਗੋਂ ਬਹੁਤੀਆਂ ਉੱਮਤਾਂ ਦੇ ਵਿਚਕਾਰ ਅਜਿਹੇ ਹੋਣਗੇ, ਜਿਵੇਂ ਜੰਗਲੀ ਜਾਨਵਰਾਂ ਦੇ ਵਿਚਕਾਰ ਬੱਬਰ ਸ਼ੇਰ, ਜਾਂ ਜਿਵੇਂ ਭੇਡਾਂ ਦੀਆਂ ਇੱਜੜਾਂ ਵਿੱਚ ਜੁਆਨ ਸ਼ੇਰ ਹੁੰਦਾ ਹੈ, ਜੋ ਵਿੱਚੋਂ ਦੀ ਲੰਘ ਕੇ ਲਤਾੜਦਾ ਤੇ ਪਾੜਦਾ ਹੈ, ਅਤੇ ਕੋਈ ਛੁਡਾਉਣ ਵਾਲਾ ਨਹੀਂ ਹੁੰਦਾ!
[IRV | PA | OT | Micah | Chapter 5 | Verse 9] ਤੇਰਾ ਹੱਥ ਤੇਰੇ ਵਿਰੋਧੀਆਂ ਦੇ ਵਿਰੁੱਧ ਉੱਠਿਆ ਰਹੇਗਾ, ਅਤੇ ਤੇਰੇ ਸਾਰੇ ਵੈਰੀ ਵੱਢੇ ਜਾਣਗੇ।
[IRV | PA | OT | Micah | Chapter 5 | Verse 10] “ਉਸ ਦਿਨ ਅਜਿਹਾ ਹੋਵੇਗਾ,” ਯਹੋਵਾਹ ਦਾ ਵਾਕ ਹੈ, “ਕਿ ਮੈਂ ਤੇਰੇ ਘੋੜਿਆਂ ਨੂੰ ਤੇਰੇ ਵਿਚਕਾਰੋਂ ਵੱਢ ਸੁੱਟਾਂਗਾ, ਅਤੇ ਤੇਰੇ ਰਥਾਂ ਨੂੰ ਬਰਬਾਦ ਕਰਾਂਗਾ।
[IRV | PA | OT | Micah | Chapter 5 | Verse 11] ਮੈਂ ਤੇਰੇ ਦੇਸ਼ ਦੇ ਸ਼ਹਿਰਾਂ ਨੂੰ ਨਾਸ ਕਰਾਂਗਾ, ਅਤੇ ਤੇਰੇ ਸਾਰੇ ਗੜ੍ਹਾਂ ਨੂੰ ਢਾਹ ਸੁੱਟਾਂਗਾ।
