[IRV | PA | OT | Micah | Chapter 3 | Verse 1] ਮੈਂ ਆਖਿਆ, ਹੇ ਯਾਕੂਬ ਦੇ ਮੁਖੀਓ, ਅਤੇ ਹੇ ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ ਦੇ ਆਗੂਓ, ਸੁਣੋ! ਕੀ ਨਿਆਂ ਨੂੰ ਜਾਣਨਾ ਤੁਹਾਡਾ ਕੰਮ ਨਹੀਂ?
[IRV | PA | OT | Micah | Chapter 3 | Verse 2] ਤੁਸੀਂ ਜੋ ਨੇਕੀ ਦੇ ਵੈਰੀ ਅਤੇ ਬਦੀ ਦੇ ਪ੍ਰੇਮੀ ਹੋ, ਤੁਸੀਂ ਜੋ ਉਹਨਾਂ ਦੇ ਸਰੀਰਾਂ ਤੋਂ ਉਹਨਾਂ ਦੀ ਖੱਲ, ਅਤੇ ਉਹਨਾਂ ਦੀ ਹੱਡੀਆਂ ਤੋਂ ਉਹਨਾਂ ਦਾ ਮਾਸ ਨੋਚਦੇ ਹੋ,
[IRV | PA | OT | Micah | Chapter 3 | Verse 3] ਤੁਸੀਂ ਜੋ ਮੇਰੀ ਪਰਜਾ ਦਾ ਮਾਸ ਖਾਂਦੇ ਹੋ, ਅਤੇ ਉਹਨਾਂ ਦੀ ਖੱਲ ਉਹਨਾਂ ਦੇ ਉੱਤੋਂ ਲਾਹੁੰਦੇ ਹੋ, ਤੁਸੀਂ ਉਹਨਾਂ ਦੀਆਂ ਹੱਡੀਆਂ ਨੂੰ ਪਕਾਉਣ ਲਈ ਭਾਂਡੇ ਵਿੱਚ ਭੰਨ ਸੁੱਟਦੇ ਹੋ, ਅਤੇ ਉਹਨਾਂ ਦੇ ਮਾਸ ਨੂੰ ਪਕਾਉਣ ਲਈ ਕੜਾਹੀ ਵਿੱਚ ਟੁੱਕੜੇ-ਟੁੱਕੜੇ ਕਰਦੇ ਹੋ!
[IRV | PA | OT | Micah | Chapter 3 | Verse 4] ਤਦ ਉਹ ਯਹੋਵਾਹ ਅੱਗੇ ਦੁਹਾਈ ਦੇਣਗੇ, ਪਰ ਉਹ ਉਹਨਾਂ ਨੂੰ ਉੱਤਰ ਨਾ ਦੇਵੇਗਾ, ਸਗੋਂ ਉਸ ਸਮੇਂ ਉਹ ਆਪਣਾ ਮੂੰਹ ਉਹਨਾਂ ਤੋਂ ਲੁਕਾ ਲਵੇਗਾ, ਕਿਉਂ ਜੋ ਉਹਨਾਂ ਨੇ ਭੈੜੇ ਕੰਮ ਕੀਤੇ ਹਨ।
[IRV | PA | OT | Micah | Chapter 3 | Verse 5] ਉਨ੍ਹਾਂ ਨਬੀਆਂ ਦੇ ਵਿਖੇ ਜਿਹੜੇ ਮੇਰੀ ਪਰਜਾ ਨੂੰ ਕੁਰਾਹੇ ਪਾਉਂਦੇ ਹਨ, ਯਹੋਵਾਹ ਇਹ ਫ਼ਰਮਾਉਂਦਾ ਹੈ, ਜਦ ਲੋਕ ਉਹਨਾਂ ਦਾ ਮੂੰਹ ਭਰ ਦਿੰਦੇ ਹਨ, ਤਾਂ ਉਹ ਉਨ੍ਹਾਂ ਲਈ “ਸ਼ਾਂਤੀ” ਦੀ ਘੋਸ਼ਣਾ ਕਰਦੇ ਹਨ, ਪਰ ਜੋ ਉਹਨਾਂ ਦੇ ਮੂੰਹਾਂ ਵਿੱਚ ਕੁਝ ਨਹੀਂ ਦਿੰਦਾ, ਉਸ ਦੇ ਵਿਰੁੱਧ ਉਹ ਲੜਾਈ ਦੀ ਤਿਆਰੀ ਕਰਦੇ ਹਨ:
[IRV | PA | OT | Micah | Chapter 3 | Verse 6] ਇਸ ਕਾਰਨ ਤੁਹਾਡੇ ਉੱਤੇ ਬਿਨ੍ਹਾਂ ਦਰਸ਼ਣ ਦੀ ਰਾਤ ਆਵੇਗੀ, ਅਤੇ ਅਜਿਹਾ ਹਨ੍ਹੇਰਾ ਆਵੇਗਾ ਕਿ ਤੁਸੀਂ ਭਵਿੱਖ ਨਾ ਦੱਸ ਸਕੋਗੇ, ਨਬੀਆਂ ਲਈ ਸੂਰਜ ਅਸਤ ਹੋ ਜਾਵੇਗਾ, ਅਤੇ ਦਿਨ ਉਹਨਾਂ ਦੇ ਉੱਤੇ ਹਨ੍ਹੇਰਾ ਹੋ ਜਾਵੇਗਾ।
[IRV | PA | OT | Micah | Chapter 3 | Verse 7] ਦਰਸ਼ੀ ਸ਼ਰਮਿੰਦੇ ਹੋ ਜਾਣਗੇ, ਅਤੇ ਭਵਿੱਖ ਦੱਸਣ ਵਾਲਿਆਂ ਦੇ ਮੂੰਹ ਕਾਲੇ ਹੋ ਜਾਣਗੇ, ਹਾਂ, ਉਹ ਸਾਰੇ ਦੇ ਸਾਰੇ ਆਪਣੇ ਬੁੱਲ੍ਹਾਂ ਨੂੰ ਢੱਕਣਗੇ, ਕਿਉਂ ਜੋ ਪਰਮੇਸ਼ੁਰ ਵੱਲੋਂ ਕੋਈ ਉੱਤਰ ਨਹੀਂ ਮਿਲੇਗਾ।
[IRV | PA | OT | Micah | Chapter 3 | Verse 8] ਪਰ ਮੈਂ ਤਾਂ ਯਹੋਵਾਹ ਦੇ ਆਤਮਾ ਦੇ ਰਾਹੀਂ, ਬਲ, ਨਿਆਂ ਅਤੇ ਸ਼ਕਤੀ ਨਾਲ ਭਰਪੂਰ ਹਾਂ, ਤਾਂ ਜੋ ਮੈਂ ਯਾਕੂਬ ਨੂੰ ਉਹ ਦਾ ਅਪਰਾਧ, ਅਤੇ ਇਸਰਾਏਲ ਨੂੰ ਉਹ ਦਾ ਪਾਪ ਦੱਸਾਂ।
[IRV | PA | OT | Micah | Chapter 3 | Verse 9] ਹੇ ਯਾਕੂਬ ਦੇ ਘਰਾਣੇ ਦੇ ਮੁਖੀਓ, ਹੇ ਇਸਰਾਏਲ ਦੇ ਘਰਾਣੇ ਦੇ ਆਗੂਓ, ਇਹ ਸੁਣੋ! ਤੁਸੀਂ ਜੋ ਇਨਸਾਫ਼ ਤੋਂ ਘਿਣ ਕਰਦੇ ਹੋ, ਅਤੇ ਸਾਰੀ ਸਿਧਿਆਈ ਨੂੰ ਮਰੋੜਦੇ ਹੋ,
[IRV | PA | OT | Micah | Chapter 3 | Verse 10] ਤੁਸੀਂ ਜੋ ਸੀਯੋਨ ਨੂੰ ਲਹੂ ਨਾਲ ਉਸਾਰਦੇ ਹੋ, ਅਤੇ ਯਰੂਸ਼ਲਮ ਨੂੰ ਬਦੀ ਨਾਲ।
[IRV | PA | OT | Micah | Chapter 3 | Verse 11] ਉਸ ਦੇ ਆਗੂ ਰਿਸ਼ਵਤ ਲੈ ਕੇ ਨਿਆਂ ਕਰਦੇ ਹਨ, ਉਸ ਦੇ ਜਾਜਕ ਭਾੜਾ ਲੈ ਕੇ ਸਿਖਾਉਂਦੇ ਹਨ, ਉਸ ਦੇ ਨਬੀ ਧਨ ਲਈ ਭਵਿੱਖ ਦੱਸਦੇ ਹਨ, ਤਾਂ ਵੀ ਉਹ ਇਹ ਆਖ ਕੇ ਯਹੋਵਾਹ ਦਾ ਸਹਾਰਾ ਲੈਂਦੇ ਹਨ, ਭਲਾ, ਯਹੋਵਾਹ ਸਾਡੇ ਵਿੱਚ ਨਹੀਂ ਹੈ? ਕੋਈ ਬਿਪਤਾ ਸਾਡੇ ਉੱਤੇ ਨਹੀਂ ਪਵੇਗੀ!
[IRV | PA | OT | Micah | Chapter 3 | Verse 12] ਇਸ ਲਈ ਤੁਹਾਡੇ ਕਾਰਨ ਸੀਯੋਨ ਖੇਤ ਵਾਂਗੂੰ ਵਾਹਿਆ ਜਾਵੇਗਾ, ਯਰੂਸ਼ਲਮ ਮਲਬੇ ਦਾ ਢੇਰ ਹੋ ਜਾਵੇਗਾ, ਅਤੇ ਭਵਨ ਦਾ ਪਰਬਤ ਇੱਕ ਜੰਗਲੀ ਉਚਿਆਈ ਵਰਗਾ ਹੋ ਜਾਵੇਗਾ।
