[ASV | EN | NT | Romans | Chapter 4 | Verse 1] What then shall we say that Abraham, our father, hath found according to the flesh?
[ASV | EN | NT | Romans | Chapter 4 | Verse 2] For if Abraham was justified by works, he hath whereof to glory; but not toward God.
[ASV | EN | NT | Romans | Chapter 4 | Verse 3] For what saith the scripture? And Abraham believed God, and it was reckoned unto him for righteousness.
[ASV | EN | NT | Romans | Chapter 4 | Verse 4] Now to him that worketh, the reward is not reckoned as of grace, but as of debt.
[ASV | EN | NT | Romans | Chapter 4 | Verse 5] But to him that worketh not, but believeth on him that justifieth the ungodly, his faith is reckoned for righteousness.
[ASV | EN | NT | Romans | Chapter 4 | Verse 6] Even as David also pronounceth blessing upon the man, unto whom God reckoneth righteousness apart from works,
[ASV | EN | NT | Romans | Chapter 4 | Verse 7] saying, Blessed are they whose iniquities are forgiven, And whose sins are covered.
[ASV | EN | NT | Romans | Chapter 4 | Verse 8] Blessed is the man to whom the Lord will not reckon sin.
[ASV | EN | NT | Romans | Chapter 4 | Verse 9] Is this blessing then pronounced upon the circumcision, or upon the uncircumcision also? for we say that faith was reckoned to Abraham for righteousness.
[ASV | EN | NT | Romans | Chapter 4 | Verse 10] How then was it reckoned? when he was in circumcision, or in uncircumcision? Not in circumcision, but in uncircumcision:
[ASV | EN | NT | Romans | Chapter 4 | Verse 11] and he received the sign of circumcision, a seal of the righteousness of the faith which he had while he was in uncircumcision: that he might be the father of all them that believe, though they be in uncircumcision, that righteousness might be reckoned unto them also;
[ASV | EN | NT | Romans | Chapter 4 | Verse 12] and the father of circumcision to them who not only are of the circumcision, but who also walk in the steps of that faith of our father Abraham which he had in uncircumcision.
[ASV | EN | NT | Romans | Chapter 4 | Verse 13] For not through the law was the promise to Abraham or to his seed that he should be heir of the world, but through the righteousness of faith.
[ASV | EN | NT | Romans | Chapter 4 | Verse 14] For if they that are of the law are heirs, faith is made void, and the promise is made of none effect:
[ASV | EN | NT | Romans | Chapter 4 | Verse 15] for the law worketh wrath; for where there is no law, neither is there transgression.
[ASV | EN | NT | Romans | Chapter 4 | Verse 16] For this cause it is of faith, that it may be according to grace; to the end that the promise may be sure to all the seed; not to that only which is of the law, but to that also which is of the faith of Abraham, who is the father of us all
[ASV | EN | NT | Romans | Chapter 4 | Verse 17] (as it is written, A father of many nations have I made thee) before him whom he believed, even God, who giveth life to the dead, and calleth the things that are not, as though they were.
[ASV | EN | NT | Romans | Chapter 4 | Verse 18] Who in hope believed against hope, to the end that he might become a father of many nations, according to that which had been spoken, So shall thy seed be.
[ASV | EN | NT | Romans | Chapter 4 | Verse 19] And without being weakened in faith he considered not his own body now as good as dead (he being about a hundred years old), and the deadness of Sarah’s womb;
[ASV | EN | NT | Romans | Chapter 4 | Verse 20] yet, looking unto the promise of God, he wavered not through unbelief, but waxed strong through faith, giving glory to God,
[ASV | EN | NT | Romans | Chapter 4 | Verse 21] and being fully assured that what he had promised, he was able also to perform.
[ASV | EN | NT | Romans | Chapter 4 | Verse 22] Wherefore also it was reckoned unto him for righteousness.
[ASV | EN | NT | Romans | Chapter 4 | Verse 23] Now it was not written for his sake alone, that it was reckoned unto him;
[ASV | EN | NT | Romans | Chapter 4 | Verse 24] but for our sake also, unto whom it shall be reckoned, who believe on him that raised Jesus our Lord from the dead,
[ASV | EN | NT | Romans | Chapter 4 | Verse 25] who was delivered up for our trespasses, and was raised for our justification.
