[ASV | EN | NT | Romans | Chapter 16 | Verse 1] I commend unto you Phoebe our sister, who is a servant of the church that is at Cenchreae:
[ASV | EN | NT | Romans | Chapter 16 | Verse 2] that ye receive her in the Lord, worthily of the saints, and that ye assist her in whatsoever matter she may have need of you: for she herself also hath been a helper of many, and of mine own self.
[ASV | EN | NT | Romans | Chapter 16 | Verse 3] Salute Prisca and Aquila my fellow workers in Christ Jesus,
[ASV | EN | NT | Romans | Chapter 16 | Verse 4] who for my life laid down their own necks; unto whom not only I give thanks, but also all the churches of the Gentiles:
[ASV | EN | NT | Romans | Chapter 16 | Verse 5] and salute the church that is in their house. Salute Epaenetus my beloved, who is the firstfruits of Achaia unto Christ.
[ASV | EN | NT | Romans | Chapter 16 | Verse 6] Salute Mary, who bestowed much labor on us.
[ASV | EN | NT | Romans | Chapter 16 | Verse 7] Salute Andronicus and Junia, my kinsfolk, and my fellow prisoners, who are of note among the apostles, who also have been in Christ before me.
[ASV | EN | NT | Romans | Chapter 16 | Verse 8] Salute Amplias my beloved in the Lord.
[ASV | EN | NT | Romans | Chapter 16 | Verse 9] Salute Urbanus our fellow worker in Christ, and Stachys my beloved.
[ASV | EN | NT | Romans | Chapter 16 | Verse 10] Salute Apelles the approved in Christ. Salute them that are of the household of Aristobulus.
[ASV | EN | NT | Romans | Chapter 16 | Verse 11] Salute Herodion my kinsman. Salute them of the household of Narcissus, that are in the Lord.
[ASV | EN | NT | Romans | Chapter 16 | Verse 12] Salute Tryphaena and Tryphosa, who labor in the Lord. Salute Persis the beloved, who labored much in the Lord.
[ASV | EN | NT | Romans | Chapter 16 | Verse 13] Salute Rufus the chosen in the Lord, and his mother and mine.
[ASV | EN | NT | Romans | Chapter 16 | Verse 14] Salute Asyncritus, Phlegon, Hermas, Patrobas, Hermes, and the brethren that are with them.
[ASV | EN | NT | Romans | Chapter 16 | Verse 15] Salute Philologus and Julia, Nereus and his sister, and Olympas, and all the saints that are with them.
[ASV | EN | NT | Romans | Chapter 16 | Verse 16] Salute one another with a holy kiss. The churches of Christ salute you.
[ASV | EN | NT | Romans | Chapter 16 | Verse 17] Now I beseech you, brethren, mark them that are causing the divisions and occasions of stumbling, contrary to the doctrine which ye learned: and turn away from them.
[ASV | EN | NT | Romans | Chapter 16 | Verse 18] For they that are such serve not our Lord Jesus Christ, but their own belly; and by their smooth and fair speech they beguile the hearts of the innocent.
[ASV | EN | NT | Romans | Chapter 16 | Verse 19] For your obedience is come abroad unto all men. I rejoice therefore over you: but I would have you wise unto that which is good, and simple unto that which is evil.
[ASV | EN | NT | Romans | Chapter 16 | Verse 20] And the God of peace shall bruise Satan under your feet shortly. The grace of our Lord Jesus Christ be with you.
[ASV | EN | NT | Romans | Chapter 16 | Verse 21] Timothy my fellow worker, and Lucius and Jason and Sosipater, my kinsmen, salute you.
[ASV | EN | NT | Romans | Chapter 16 | Verse 22] I Tertius, who write the epistle, salute you in the Lord.
[ASV | EN | NT | Romans | Chapter 16 | Verse 23] Gaius my host, and of the whole church, saluteth you. Erastus the treasurer of the city saluteth you, and Quartus the brother.
[ASV | EN | NT | Romans | Chapter 16 | Verse 24] The grace of our Lord Jesus Christ be with you all. Amen.
