[ASV | EN | NT | Romans | Chapter 13 | Verse 1] Let every soul be in subjection to the higher powers: for there is no power but of God; and the powers that be are ordained of God.
[ASV | EN | NT | Romans | Chapter 13 | Verse 2] Therefore he that resisteth the power, withstandeth the ordinance of God: and they that withstand shall receive to themselves judgment.
[ASV | EN | NT | Romans | Chapter 13 | Verse 3] For rulers are not a terror to the good works, but to the evil. And wouldest thou have no fear of the power? do that which is good, and thou shalt have praise from the same:
[ASV | EN | NT | Romans | Chapter 13 | Verse 4] for he is a minister of God to thee for good. But if thou do that which is evil, be afraid; for he beareth not the sword in vain: for he is a minister of God, an avenger for wrath to him that doeth evil.
[ASV | EN | NT | Romans | Chapter 13 | Verse 5] Wherefore ye must needs be in subjection, not only because of the wrath, but also for conscience’ sake.
[ASV | EN | NT | Romans | Chapter 13 | Verse 6] For for this cause ye pay tribute also; for they are ministers of God’s service, attending continually upon this very thing.
[ASV | EN | NT | Romans | Chapter 13 | Verse 7] Render therefore to all their dues: tribute to whom tribute is due; custom to whom custom; fear to whom fear; honor to whom honor.
[ASV | EN | NT | Romans | Chapter 13 | Verse 8] Owe no man anything, save to love one another: for he that loveth his neighbor hath fulfilled the law.
[ASV | EN | NT | Romans | Chapter 13 | Verse 9] For this, Thou shalt not commit adultery, Thou shalt not kill, Thou shalt not steal, Thou shalt not covet, and if there be any other commandment, it is summed up in this word, namely, Thou shalt love thy neighbor as thyself.
[ASV | EN | NT | Romans | Chapter 13 | Verse 10] Love worketh no ill to his neighbor: love therefore is the fulfillment of the law.
[ASV | EN | NT | Romans | Chapter 13 | Verse 11] And this, knowing the season, that already it is time for us to awake out of sleep: for now is salvation nearer to us than when we first believed.
[ASV | EN | NT | Romans | Chapter 13 | Verse 12] The night is far spent, and the day is at hand: let us therefore cast off the works of darkness, and let us put on the armor of light.
[ASV | EN | NT | Romans | Chapter 13 | Verse 13] Let us walk becomingly, as in the day; not in reveling and drunkenness, not in chambering and wantonness, not in strife and jealousy.
[ASV | EN | NT | Romans | Chapter 13 | Verse 14] But put ye on the Lord Jesus Christ, and make not provision for the flesh, to fulfill the lusts thereof.
