[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 1] তোমরা নিজেদের ঈশ্বর সদাপ্রভুর লোক; তোমরা মৃত লোকদের জন্য নিজেদের শরীর কাটবে না এবং মুখের কোনো অংশে কামাবে না।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 2] কারণ তুমি ঈশ্বর সদাপ্রভুর পবিত্র লোক; পৃথিবীতে অবস্থিত সমস্ত জাতির মধ্যে থেকে সদাপ্রভু নিজের অধিকারের লোক করার জন্যেই তোমাকেই বেছেছেন।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 3] তুমি কোনো অশুচি জিনিস খাবে না।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 4] এই সব পশু যা তুমি খেতে পার; গরু, মেষ এবং ছাগল,
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 5] হরিণ, কৃষ্ণসার হরিণ এবং ছোট হরিণ, বনছাগল, বন্যগরু ও সাদালেজ বিশিষ্ট হরিণ এবং পাহাড়ি মেষ।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 6] আর পশুদের মধ্যে যত পশু সম্পূর্ণ দুই খণ্ড খুরবিশিষ্ট ও জাবর কাটে, সেই সকল তোমরা খেতে পার।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 7] কিন্তু যারা জাবর কাটে, কিংবা দুই খণ্ড খুরবিশিষ্ট, তাদের মধ্যে এইগুলি খাবে না; উট, খরগোশ ও শাফন; কারণ তারা জাবর কাটে বটে, কিন্তু দুই খণ্ড খুরবিশিষ্ট না, তারা তোমাদের পক্ষে অশুচি;
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 8] আর শূকর দুই খণ্ড খুরবিশিষ্ট বটে, কিন্তু জাবর কাটে না, সে তোমাদের পক্ষে অশুচি; তোমরা তাদের মাংস খাবে না, তাদের মৃতদেহ ছোঁবেও না।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 9] জলচর সকলের মধ্যে এই সব তোমাদের খাবার; যাদের পাখনা ও আঁশ আছে, তাদেরকে খেতে পার।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 10] কিন্তু যাদের পাখনা ও আঁশ নেই, তাদেরকে খাবে না, তারা তোমাদের পক্ষে অশুচি।
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 11] তোমরা সব ধরনের শুচি পাখি খেতে পার
[IRV | BN | OT | Deuteronomy | Chapter 14 | Verse 12] কিন্তু এগুলি খাবে না; ঈগল, শকুন, বক,
