[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 1] Yes, friends, you yourselves know that your reception of us was not without result.
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 2] For, although we had experienced suffering and ill treatment, as you know, at Philippi, we had the courage, by the help of our God, to tell you God’s good news in spite of great opposition.
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 3] Our appeal to you was not based on a delusion, nor was it made from unworthy motives, or with any intention of misleading you.
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 4] But, having been found worthy by God to be entrusted with the good news, therefore we tell it; with a view to please, not people, but God who proves our hearts.
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 5] Never at any time, as you know, did we use the language of flattery, or make false professions in order to hide selfish aims. God will bear witness to that.
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 6] Nor did we seek to win honour from people, whether from you or from others, although, as apostles of Christ, we might have burdened you with our support.
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 7] But we lived among you with the simplicity of a child; we were like a woman nursing her own children.
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 8] In our strong affection for you, that seemed to us the best way of sharing with you, not only God’s good news, but our lives as well – so dear had you become to us.
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 9] You will not have forgotten, friends, our labour and toil. Night and day we used to work at our trades, so as not be a burden to any of you, while we proclaimed to you God’s good news.
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 10] You will bear witness, and God also, that our relations with you who believed in Christ were pure, and upright, and beyond reproach.
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 11] Indeed, you know that, like a father with his own children, we used to encourage and comfort every one of you, and solemnly plead with you;
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 12] so that you should make your daily lives worthy of God who is calling you into the glory of his kingdom.
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 13] This, too, is a reason why we, on our part, are continually thanking God – because, in receiving the teaching that you had from us, you accepted it, not as the teaching of humans, but as what it really is – the teaching of God, which is even now doing its work within you who believe in Christ.
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 14] For you, friends, began to follow the example of the churches of God in Judea which are in union with Jesus Christ; you, in your turn, suffering at the hands of your fellow citizens, in the same way as those churches did at the hands of their people –
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 15] who killed both the Lord Jesus and the prophets, and persecuted us also. They do not try to please God, and they are enemies to all humanity,
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 16] for they try to prevent us from speaking to the Gentiles with a view to their salvation, and so are always filling up the measure of their iniquity. But the wrath of God has come upon them to the full!
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 17] As for ourselves, friends, our having been bereaved of you even for a short time – though in body only, and not in spirit – made us all the more eager to see your faces again; and the longing to do so was strong on us.
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 18] That was why we made up our minds to go and see you – at least I, Paul, did, more than once – but Satan put difficulties in our way.
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 19] For what hope or joy will be ours, or what crown will we have to boast of, in the presence of our Lord Jesus, at his coming, if it isn’t you?
[OEB | EN | NT | 1 Thessalonians | Chapter 2 | Verse 20] You are our pride and our delight!
