[OEB | EN | NT | 1 Thessalonians | Chapter 3 | Verse 1] And so, as we could bear it no longer, we made up our minds to remain behind alone at Athens,
[OEB | EN | NT | 1 Thessalonians | Chapter 3 | Verse 2] and sent Timothy, our dear friend and God’s minister of the good news of the Christ, to strengthen you, and to encourage you in your faith,
[OEB | EN | NT | 1 Thessalonians | Chapter 3 | Verse 3] so that none of you should be shaken by the troubles through which you are passing. You yourselves know that we are destined to meet with such things.
[OEB | EN | NT | 1 Thessalonians | Chapter 3 | Verse 4] For, even while we were with you, we warned you beforehand that we were certain to encounter trouble. And so it proved, as you know.
[OEB | EN | NT | 1 Thessalonians | Chapter 3 | Verse 5] Therefore, since I could no longer endure the uncertainty, I sent to make inquiries about your faith, fearing that the Tempter had tempted you, and that our toil might prove to have been in vain.
[OEB | EN | NT | 1 Thessalonians | Chapter 3 | Verse 6] But, when Timothy recently returned to us from you with good news of your faith and love, and told us how kindly you think of us – always longing, he said, to see us, just as we are longing to see you –
[OEB | EN | NT | 1 Thessalonians | Chapter 3 | Verse 7] on hearing this, we felt encouraged about you, friends, in the midst of all our difficulties and troubles, by your faith.
[OEB | EN | NT | 1 Thessalonians | Chapter 3 | Verse 8] For it is new life to us to know that you are holding fast to the Lord.
[OEB | EN | NT | 1 Thessalonians | Chapter 3 | Verse 9] How can we thank God enough for all the happiness that you are giving us in the sight of our God?
[OEB | EN | NT | 1 Thessalonians | Chapter 3 | Verse 10] Night and day we pray most earnestly that we may see you face to face, and make good any deficiency in your faith.
[OEB | EN | NT | 1 Thessalonians | Chapter 3 | Verse 11] May our God and Father himself, and Jesus, our Lord, make the way plain for us to come to you.
[OEB | EN | NT | 1 Thessalonians | Chapter 3 | Verse 12] And for you, may the Lord fill you to overflowing with love for one another and for everyone, just as we are filled with love for you;
[OEB | EN | NT | 1 Thessalonians | Chapter 3 | Verse 13] and so make your hearts strong, and your lives pure beyond reproach, in the sight of our God and Father, at the coming of our Lord Jesus, with all his Holy Ones.
