[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 1] Further, friends, we beg and urge you in the name of our Lord Jesus to carry out more fully than ever – as indeed you are already doing – all that you have heard from us as to what your daily life must be, if it is to please God.
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 2] For you have not forgotten the directions that we gave you on the authority of our Lord Jesus.
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 3] For this is God’s purpose – that you should be pure; abstaining from all immorality;
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 4] each of you learning to gain control over your own body, in a way that is holy and honourable,
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 5] and not for the mere gratification of your passions, like the Gentiles who know nothing of God;
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 6] none of you overreaching or taking advantage of their fellow follower of the Lord in such matters. The Lord takes vengeance on all who do such things, as we have already warned you and solemnly declared.
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 7] For God does not call us to an impure life, but demands holiness.
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 8] Therefore the person who disregards this warning disregards, not people, but God who gives you his Holy Spirit.
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 9] As to love for each other there is no need to write to you; for you have yourselves been taught by God to love one another;
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 10] and indeed you do act in this spirit towards all his people throughout Macedonia. Yet, friends, we beg you to do even more.
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 11] Make it your ambition to live quietly, and to attend to your own business, and to work with your hands, as we directed you;
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 12] so that your conduct may win respect from those outside the church, and that you may not want for anything.
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 13] We don’t want you to be ignorant, friends, about those who have passed to their rest. We don’t want you to grieve like other people who have no hope.
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 14] For, as we believe that Jesus died and rose again, so also we believe that God will bring, with Jesus, those who through him have passed to their rest.
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 15] This we tell you on the authority of the Lord – that those of us who are still living at the coming of the Lord will not anticipate those who have passed to their rest.
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 16] For, with a loud summons, with the shout of an archangel, and with the trumpet-call of God, the Lord himself will come down from heaven.
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 17] Then those who died in union with Christ will rise first; and afterwards we who are still living will be caught up in the clouds, with them, to meet the Lord in the air; and so we will be for ever with the Lord.
[OEB | EN | NT | 1 Thessalonians | Chapter 4 | Verse 18] Therefore, comfort one another with what I have told you.
