[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 1] But as to the times and the moments, there is no need, friends, for anyone to write to you.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 2] You yourselves know well that the day of the Lord will come just as a thief comes in the night.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 3] When people are saying “All is quiet and safe,” it is then that, like birth pains on a pregnant woman, ruin comes suddenly upon them, and there will be no escape!
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 4] You, however, friends, are not in darkness, that the daylight should take you by surprise as if you were thieves.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 5] For you all are children of light and children of the day. We have nothing to do with night, or darkness.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 6] Therefore let us not sleep as others do. No, let us be watchful and self-controlled.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 7] It is at night that people sleep, and at night that drunkards get drunk.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 8] But let us, who belong to the day, control ourselves, and put on faith and love as a breast plate, and the hope of salvation as a helmet.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 9] For God destined us, not for wrath, but to win salvation through our Lord Jesus Christ, who died for us,
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 10] that, whether we are still watching or have fallen asleep, we may live with him.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 11] Therefore encourage one another, and try to build up one another’s characters, as indeed you are doing.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 12] We beg you, friends, to value those who toil among you, and are your leaders in the Lord’s service, and give you counsel.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 13] Hold them in the very greatest esteem and affection for the sake of their work. Live at peace with one another.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 14] We entreat you also, friends – warn the disorderly, comfort the faint-hearted, give a helping hand to the weak, and be patient with everyone.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 15] Take care that none of you ever pays back wrong for wrong, but always follow the kindest course with one another and with everyone.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 16] Always be joyful;
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 17] never cease to pray;
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 18] under all circumstances give thanks to God. For this is his will for you as made known in Christ Jesus.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 19] Do not quench the Spirit;
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 20] do not make light of preaching.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 21] Bring everything to the test; cling to what is good;
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 22] shun every form of evil.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 23] May God himself, the giver of peace, make you altogether holy; and may your spirits, souls, and bodies be kept altogether faultless until the coming of our Lord Jesus Christ.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 24] He who calls you will not fail you; he will complete his work.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 25] Friends, pray for us.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 26] Greet all the Lord’s followers with a sacred kiss.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 27] I order you in the Lord’s name to have this letter read to all the brethren.
[OEB | EN | NT | 1 Thessalonians | Chapter 5 | Verse 28] May the blessing of our Lord Jesus Christ be with you.
