[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 1] ఇశ్రాయేలు కొడుకులు వీళ్ళు: రూబేను, షిమ్యోను, లేవీ, యూదా, ఇశ్శాఖారు, జెబూలూను,
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 2] దాను, యోసేపు, బెన్యామీను, నఫ్తాలి, గాదు, ఆషేరు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 3] యూదా కొడుకులు ఏరు, ఓనాను, షేలా అనేవాళ్ళు. ఈ ముగ్గురి తల్లి ఒక కనానీయురాలు. ఆమె షూయ అనేవాడి కూతురు. యూదా పెద్దకొడుకు పేరు ఏరు. ఇతడు యెహోవా దృష్టిలో పాపం చేశాడు. అందుకని యెహోవా అతణ్ణి చంపాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 4] తరువాత అతని కోడలైన తామారు ద్వారా అతనికి పెరెసు, జెరహు అనే కొడుకులు పుట్టారు. యూదాకు మొత్తం ఐదుగురు కొడుకులు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 5] పెరెసు కొడుకులు హెస్రోను, హామూలు అనేవాళ్ళు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 6] జెరహుకు ఐదుగురు కొడుకులు కలిగారు. వీరు జిమ్రీ, ఏతాను, హేమాను, కల్కోలు, దారా.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 7] కర్మీ కొడుకుల్లో ఒకడి పేరు ఆకాను. ఇతడు శాపానికి గురైన వస్తువుల్లో కొన్నిటిని దొంగతనం చేశాడు. అలా చేసి ఇశ్రాయేలీయులను ఎంతో యాతన పెట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 8] ఏతాను కొడుకు పేరు అజర్యా.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 9] హెస్రోనుకు పుట్టిన కొడుకులు యెరహ్మెయేలు, రము, కెలూబై.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 10] రముకు అమ్మీనాదాబు, అమ్మీనాదాబుకు నయస్సోను పుట్టాడు. ఈ నయస్సోను యూదా ప్రజలకి నాయకుడిగా ఉన్నాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 11] నయస్సోనుకు శల్మాను పుట్టాడు, శల్మానుకు బోయజు పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 12] బోయజుకు ఓబేదు పుట్టాడు. ఓబేదుకు యెష్షయి పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 13] యెష్షయి పెద్ద కొడుకు పేరు ఏలీయాబు. రెండోవాడు అబీనాదాబు, మూడోవాడు షమ్మా,
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 14] నాల్గోవాడు నెతనేలు, ఐదోవాడు రద్దయి,
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 15] ఆరోవాడు ఓజెము, ఏడోవాడు దావీదు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 16] వీళ్ళకు ఇద్దరు అక్కచెల్లెళ్ళు. వాళ్ళు సెరూయా అబీగయీలు. సెరూయాకు అబీషై, యోవాబు, అశాహేలు అనే ముగ్గురు కొడుకులు పుట్టారు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 17] అబీగయీలుకు అమాశా పుట్టాడు. ఈ అమాశా తండ్రి యెతెరు అనే ఇష్మాయేలీయుడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 18] హెస్రోను కొడుకు కాలేబుకు అజూబా అనే తన భార్య వల్లా, యెరీయోతు అనే ఆమె వల్లా పిల్లలు కలిగారు. అజూబా కొడుకులు యేషెరు, షోబాబు, అర్దోను.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 19] అజూబా చనిపోయిన తరువాత కాలేబు ఎఫ్రాతా అనే ఆమెను పెళ్ళిచేసుకున్నాడు. ఆమె వల్ల అతనికి హూరు పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 20] హూరుకు ఊరీ పుట్టాడు. ఊరీకి బెసలేలు పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 21] తరువాత హెస్రోను అరవై ఏళ్ల వయస్సప్పుడు మాకీరు కూతుర్ని పెళ్ళి చేసుకున్నాడు. ఈ మాకీరు గిలాదుకు తండ్రి. హెస్రోనుకు సెగూబు పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 22] సెగూబుకు యాయీరు పుట్టాడు. ఇతని ఆధీనంలో గిలాదు దేశంలో ఇరవై మూడు పట్టణాలు ఉండేవి.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 23] వీళ్ళ దగ్గరనుండి యాయీరు పట్టణాలనూ, కెనాతునూ, వీటి చుట్టూ ఉన్న మరో అరవై ఊళ్లనూ గెషూరు వాళ్లూ అరామీయులూ తీసుకున్నారు. వీళ్ళంతా గిలాదుకు తండ్రి అయిన మాకీరు సంతానం.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 24] హెస్రోను చనిపోయిన తరువాత కాలేబు-ఎఫ్రతా పట్టణంలో హెస్రోను భార్య అష్షూరును కన్నది. ఈ అష్షూరు తెకోవ అనే వాడికి తండ్రి.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 25] హెస్రోను పెద్దకొడుకు యెరహ్మెయేలు. ఈ యెరహ్మెయేలు పెద్ద కొడుకు రము. మిగిలిన కొడుకులు ఎవరంటే బూనా, ఓరెను, ఓజెము, అహీయా అనేవాళ్ళు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 26] ఈ యెరహ్మెయేలుకు మరో భార్య ఉంది. ఆమె పేరు అటారా. ఈమె ఓనాము తల్లి.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 27] యెరహ్మెయేలు పెద్దకొడుకు రముకు మయజూ, యామీను, ఏకెరు అనే కొడుకులున్నారు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 28] ఓనాము కొడుకులు షమ్మయి, యాదాలు. షమ్మయి కొడుకులు నాదాబు, అబీషూరు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 29] అబీషూరు భార్య పేరు అబీహయిలు. ఈమె ద్వారా అబీషూరుకు అహ్బాను, మొలీదు అనే పేరున్న కొడుకులు పుట్టారు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 30] నాదాబు కొడుకులు సెలెదు, అప్పయీము. సెలెదు పిల్లలు పుట్టకుండానే చనిపోయాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 31] అప్పయీం కొడుకుల్లో ఇషీ అనే వాడున్నాడు. ఇషీ కొడుకుల్లో షేషాను అనే వాడున్నాడు. షేషాను కొడుకుల్లో అహ్లయి అనే వాడున్నాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 32] షమ్మయికి సోదరుడైన యాదా కొడుకులు యెతెరు, యోనాతాను. వీరిలో యెతెరు ఎలాంటి సంతానం లేకుండానే చనిపోయాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 33] యోనాతాను కొడుకులు పేలెతు, జాజా. వీళ్ళంతా యెరహ్మెయేలు వారసులు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 34] షేషానుకు కూతుళ్ళు పుట్టారు గానీ కొడుకులు కలగలేదు. ఈ షేషానుకు యరహా అనే ఒక దాసుడున్నాడు. వాడు ఐగుప్తీయుడు
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 35] షేషాను తన కూతుర్ని ఈ యరహాకు ఇచ్చాడు. యరహాకు ఆమె ద్వారా అత్తయి పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 36] అత్తయికి నాతాను పుట్టాడు. నాతానుకి జాబాదు పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 37] జాబాదుకి ఎప్లాలు పుట్టాడు. ఎప్లాలుకి ఓబేదు పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 38] ఓబేదుకి యెహూ పుట్టాడు. యెహూకి అజర్యా పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 39] అజర్యాకి హేలెస్సు పుట్టాడు. హేలెస్సుకి ఎలాశా పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 40] ఎలాశాకి సిస్మాయీ పుట్టాడు. సిస్మాయీకి షల్లూము పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 41] షల్లూముకి యెకమ్యా పుట్టాడు. యెకమ్యాకి ఎలీషామా పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 42] యెరహ్మెయేలు తోడబుట్టిన వాడు కాలేబు కొడుకులెవరంటే మేషా, మారేషా. వీరిలో మేషా పెద్దవాడు. ఇతని కొడుకు జీఫు. మారేషా కొడుకు పేరు హెబ్రోను.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 43] హెబ్రోను కొడుకులు కోరహు, తప్పూయ, రేకెము, షెమ.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 44] షెమకు రహము పుట్టాడు. ఈ రహము యోర్కెయాముకు తండ్రి. రేకెముకు షమ్మయి పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 45] షమ్మయి కొడుకు మాయోను. ఈ మాయోను బేత్సూరుకు తండ్రి.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 46] కాలేబు ఉంపుడుకత్తె అయిన ఏయిఫా హారాను, మోజాను, గాజేజులకు జన్మనిచ్చింది. హారానుకు గాజేజు పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 47] యెహ్దయి కొడుకులు రెగెము, యోతాము, గేషాను, పెలెటు, ఏయిఫా, షయపు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 48] కాలేబు ఉంపుడుకత్తె అయిన మయకా షెబెరుకీ, తిర్హనాకీ జన్మనిచ్చింది.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 49] ఆమెకి ఇంకా షయపు, షెవాను పుట్టారు. వీరిలో షయపుకు మద్మన్నా, షెవానుకు గిబీ వాడు మక్బేనా పుట్టారు. కాలేబు కూతురి పేరు అక్సా.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 50] ఇక కాలేబు సంతానం ఎవరంటే, ఎఫ్రాతా వల్ల అతనికి మొదట హూరు పుట్టాడు. హూరుకు శోబాలు, శల్మా, హారేపు పుట్టారు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 51] వీళ్ళలో శోబాలుకు కిర్యత్యారీము, శల్మాకు బేత్లెహేము, హారేపుకు బేత్గాదేరు పుట్టారు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 52] కిర్యత్యారీము తండ్రి అయిన శోబాలు వారసులు హారోయే, ఇంకా మనుహోతీయుల్లో సగం మంది ఇతని వంశం వాళ్ళే.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 53] కిర్యత్యారీముకు చెందిన తెగలు ఎవరంటే ఇత్రీయులూ, పూతీయులూ, షుమ్మాతీయులూ, మిష్రాయీయులు. వీరినుండి జొరాతీయులూ, ఎష్తాయులీయులూ వచ్చారు.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 54] శల్మాకు సంబంధించిన తెగలు ఇవి, బేత్లెహేము, నెటోపాతీయులూ, యోవాబు కుటుంబానికి సంబంధించిన అతారోతీయులూ, మానహతీయుల్లో సగ భాగంగా ఉన్న జారీయులూ.
[IRV | TE | OT | 1 Chronicles | Chapter 2 | Verse 55] యబ్బేజులో నివసించే లేఖికుల కుటుంబాలైన తిరాతీయులూ, షిమ్యాతీయులూ, శూకోతీయులూ. వీళ్ళు రేకాబు కుటుంబాలకు పూర్వీకుడైన హమాతుకు వారసులుగా కలిగిన కేనీయులు.
