[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 1] బెన్యామీను కొడుకుల్లో పెద్దవాడు బెల, రెండో వాడు అష్బేలు,
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 2] మూడో వాడు అహరహు, నాల్గో వాడు నోహా, అయిదో వాడు రాపా.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 3] వీళ్ళలో బెలకు అద్దారు, గెరా, అబీహూదు,
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 4] అబీషూవ, నయమాను, అహోయహు,
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 5] గెరా, షెపూపాను, హూరాము పుట్టారు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 6] ఏహూదుకు పుట్టిన వాళ్ళు గెబలో నివాసమున్న వివిధ తెగలకు నాయకులుగా ఉన్నారు. వీళ్ళు బలవంతంగా మనహతుకు తరలి వెళ్ళాల్సి వచ్చింది.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 7] ఏహూదు కొడుకులు నయమాను, అహీయా, గెరా. చివరివాడు గెరా మహానతుకు తరలి వెళ్తున్న వాళ్లకు నాయకత్వం వహించాడు. ఇతను ఉజ్జా, ఆహిహుదులకు తండ్రి.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 8] షహరయీము మోయాబు దేశంలో తన భార్యలు హుషీము, బయరా అనే వాళ్ళని వదిలి వేసిన తరువాత అతనికి పిల్లలు కలిగారు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 9] అతని మరో భార్య అయిన హోదెషు ద్వారా అతనికి యోబాబు, జిబ్యా, మేషా, మల్కాము,
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 10] యెపూజు, షాక్యా, మిర్మాలు పుట్టారు. వీళ్ళు అతని కొడుకులు. వీళ్ళు తమ తెగలకు నాయకులుగా ఉన్నారు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 11] హుషీము అనే తన భార్య ద్వారా అతనికి అప్పటికే అహీటూబు, ఎల్పయలు అనే కొడుకులు ఉన్నారు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 12] ఎల్పయలు కొడుకులు ఏబెరు, మిషాము, షెమెదు. షెమెదు ఓనోనూ, లోదునూ వాటితో పాటు వాటి చుట్టూ ఉన్న గ్రామాలనూ కట్టించాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 13] ఇంకా బెరీయా, షెమా అయ్యాలోనులో నివసించారు. వీళ్ళు తమ వంశ నాయకులు. వీళ్ళు గాతు నివాసులను అక్క డి నుంచి వెళ్ళగొట్టారు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 14] బెరీయా కొడుకులు అహ్యో, షాషకు, యెరేమోతు,
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 15] జెబద్యా, అరాదు, ఏదెరు,
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 16] మిఖాయేలు, ఇష్పా, యోహా.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 17] ఎల్పయలు కొడుకులు జెబద్యా, మెషుల్లాము, హిజికీ, హెబెరు,
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 18] ఇష్మెరై, ఇజ్లీయా, యోబాబు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 19] షిమీ కొడుకులు యాకీము, జిఖ్రీ, జబ్ది,
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 20] ఎలీయేనై, జిల్లెతై, ఎలీయేలు,
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 21] అదాయా, బెరాయా, షిమ్రాతు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 22] షాషకు కొడుకులు ఇష్పాను, ఏబెరు, ఎలీయేలు,
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 23] అబ్దోను, జిఖ్రీ, హానాను,
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 24] హనన్యా, ఏలాము, అంతోతీయా,
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 25] ఇపెదయా, పెనూయేలు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 26] ఇక యెరోహాము కొడుకులు షంషెరై, షెహర్యా, అతల్యా,
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 27] యహరెష్యా, ఏలీయ్యా, జిఖ్రీ.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 28] వీళ్ళంతా తమ తమ వంశాలకు నాయకులు. వీళ్ళు యెరూషలేములో నివసిస్తూ ప్రముఖులయ్యారు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 29] గిబియోనుకి తండ్రి అయిన యహియేలు గిబియోనులో నివసించాడు. ఇతని భార్య పేరు మయకా.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 30] ఇతని పెద్దకొడుకు పేరు అబ్దోను. మిగిలిన కొడుకులు సూరు, కీషు, బయలు, నాదాబు,
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 31] గెదోరు, అహ్యో, జెకెరు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 32] మిక్లోతుకు షిమ్యాను పుట్టాడు. వీళ్ళు కూడా యెరూషలేములో తమ బంధువులకు సమీపంగా నివసించారు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 33] నేరుకి కీషు పుట్టాడు. కీషుకి సౌలు పుట్టాడు. సౌలుకు యోనాతాను, మల్కీషూవ, అబీనాదాబు, ఎష్బయలు పుట్టారు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 34] యోనాతాను కొడుకు మెరీబ్బయలు. మెరీబ్బయలుకు మీకా పుట్టాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 35] మీకా కొడుకులు పీతోను, మెలెకు, తరేయా, ఆహాజు అనే వాళ్ళు.
[IRV | TE | OT | 1 Chronicles | Chapter 8 | Verse 36] ఆహాజుకు యెహోయాదా పుట్టాడు. యెహోయాదా కొడుకులు ఆలెమెతు, అజ్మావెతు, జిమ్రీ. జిమ్రీకి మోజా పుట్టాడు.
