[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 1] ఇది జరిగిన తరువాత దావీదు ఫిలిష్తీయుల మీద దాడి చేసి వాళ్ళను జయించాడు. గాతు పట్టణాన్ని, దాని గ్రామాలను, ఫిలిష్తీయుల ఆధీనంలోనుంచి లాగేసుకున్నాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 2] తరువాత అతడు మోయాబీయులను జయించగా వాళ్ళు దావీదుకు కప్పం కట్టి దాసోహమయ్యారు.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 3] తరువాత, సోబా రాజు హదరెజెరు యూఫ్రటీసు నది వరకూ తన అధికారం స్థాపించడానికి బయలు దేరగా హమాతు దగ్గర దావీదు అతన్ని ఓడించాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 4] అతని దగ్గర నుంచి వెయ్యి రథాలను, ఏడువేల గుర్రపు రౌతులను, ఇరవైవేల మంది సైనికులను స్వాధీనం చేసుకున్నాడు. దావీదు వాటిలో వంద రథాలకు సరిపడిన గుర్రాలు ఉంచుకుని, మిగిలిన వాటికి చీలమండ నరాలు తెగవేయించాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 5] సోబా రాజు హదరెజెరుకు సాయం చెయ్యాలని దమస్కులోని అరామీయులు వచ్చినప్పుడు, దావీదువారిలో ఇరవై రెండు వేలమందిని హతం చేశాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 6] తరువాత దావీదు సిరియా సంబంధమైన దమస్కులో కావలి సైన్యాన్ని ఉంచాడు. అరామీయులు దావీదుకు కప్పం కట్టి దాసోహమన్నారు. ఈ ప్రకారం దావీదు వెళ్లిన ప్రతి చోటా యెహోవా అతనికి సహాయం చేస్తూ వచ్చాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 7] దావీదు ఇంకా, హదరెజెరు సేవకులు స్వాధీనంలో ఉన్న బంగారు డాళ్లను యెరూషలేముకు తీసుకొచ్చాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 8] హదరెజెరు పట్టణాలు టిబ్హతు నుంచీ కూను నుంచీ దావీదు లెక్క లేనంత ఇత్తడిని తీసుకొచ్చాడు. తరువాతి కాలంలో సొలొమోను దీనితోనే ఇత్తడి సముద్రాన్ని, స్తంభాలను, ఇత్తడి వస్తువులను చేయించాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 9] దావీదు సోబా రాజు హదరెజెరు సైన్యం అంతటినీ ఓడించాడన్న వార్త హమాతు రాజు తోహూకు వినబడింది.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 10] హదరెజెరుకూ తోహూకూ మధ్య విరోధం ఉంది కాబట్టి రాజైన దావీదు హదద్ ఎజెరుతో యుద్ధం చేసి అతన్ని ఓడించినందుకు, దావీదు క్షేమం తెలుసుకోడానికీ, అతనితో శుభవచనాలు పలకడానికీ, బంగారంతో, వెండితో, ఇత్తడితో చేసిన అనేక రకాలైన పాత్రలు ఇచ్చి, తోహూ తన కొడుకు హదోరమును అతని దగ్గరికి పంపించాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 11] ఈ వస్తువులను కూడా రాజైన దావీదు, తాను ఎదోమీయుల దగ్గర నుంచి, మోయాబీయుల దగ్గర నుంచి, అమ్మోనీయుల దగ్గర నుంచి, ఫిలిష్తీయుల దగ్గర నుంచి, అమాలేకీయుల దగ్గర నుంచి తీసుకొన్న వెండి బంగారాలతో పాటుగా యెహోవాకు ప్రతిష్ఠించాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 12] ఇంకా సెరూయా కొడుకు అబీషై ఉప్పు లోయలో ఎదోమీయుల్లో పద్దెనిమిది వేలమందిని హతం చేశాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 13] దావీదు ఎదోములో కావలి సైన్యాన్ని ఉంచాడు. ఎదోమీయులందరూ అతనికి దాసులయ్యారు. దావీదు వెళ్లిన ప్రతిచోటా యెహోవా అతన్ని రక్షించాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 14] ఈ విధంగా దావీదు ఇశ్రాయేలీయులందరి మీద రాజుగా ఉండి తన ప్రజలందరికీ నీతిన్యాయాలు జరిగించాడు.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 15] సెరూయా కొడుకు యోవాబు సైన్యాధిపతి. అహీలూదు కొడుకు యెహోషాపాతు రాజ్యపు దస్తావేజుల లేఖరి.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 16] అహీటూబు కొడుకు సాదోకూ, అబ్యాతారు కొడుకు అబీమెలెకూ యాజకులు. షవ్శా శాస్త్రి.
[IRV | TE | OT | 1 Chronicles | Chapter 18 | Verse 17] యెహోయాదా కొడుకు బెనాయా కెరేతీయులకూ, పెలేతీయులకూ అధిపతి. ఇంకా, దావీదు కొడుకులు రాజుకు సహాయకులు.
