[WEBSTER | EN | NT | John | Chapter 6 | Verse 1] After these things Jesus went over the sea of Galilee, which is the sea of Tiberias.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 2] And a great multitude followed him, because they saw his miracles which he performed on them that were diseased.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 3] And Jesus went upon a mountain, and there he sat with his disciples.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 4] And the passover, a feast of the Jews, was nigh.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 5] When Jesus then lifted up his eyes, and saw a great company come to him, he saith to Philip, Whence shall we buy bread that these may eat?
[WEBSTER | EN | NT | John | Chapter 6 | Verse 6] (And this he said to prove him: for he himself knew what he would do.)
[WEBSTER | EN | NT | John | Chapter 6 | Verse 7] Philip answered him, Two hundred penny-worth of bread is not sufficient for them, that every one of them make take a little:
[WEBSTER | EN | NT | John | Chapter 6 | Verse 8] One of his disciples, Andrew, Simon Peter's brother, saith to him,
[WEBSTER | EN | NT | John | Chapter 6 | Verse 9] There is a lad here, who hath five barley-loaves, and two small fishes: but what are they among so many?
[WEBSTER | EN | NT | John | Chapter 6 | Verse 10] And Jesus said, Make the men sit down. (Now there was much grass in the place.) So the men sat down in number about five thousand.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 11] And Jesus took the loaves; and when he had given thanks, he distributed to the disciples, and the disciples to them that were set down; and likewise of the fishes, as much as they would.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 12] When they were satisfied, he said to his disciples, Gather the fragments that remain, that nothing may be lost.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 13] Therefore they gathered them , and filled twelve baskets with the fragments of the five barley-loaves, which remained over and above to them that had eaten.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 14] Then those men, when they had seen the miracle that Jesus performed, said, This is truly that prophet that should come into the world.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 15] When Jesus therefore perceived that they would come and take him by force, to make him a king, he departed again to a mountain himself alone.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 16] And when evening had now come, his disciples went down to the sea,
[WEBSTER | EN | NT | John | Chapter 6 | Verse 17] And entered into a boat, and went over the sea towards Capernaum. And it was now dark, and Jesus had not come to them.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 18] And the sea arose by reason of a great wind that blew.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 19] So when they had rowed about five and twenty or thirty furlongs, they see Jesus walking on the sea, and drawing nigh to the boat: and they were afraid.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 20] But he saith to them, It is I; be not afraid.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 21] Then they willingly received him into the boat: and immediately the boat was at the land whither they were going.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 22] The day following, when the people who stood on the other side of the sea saw that there was no other boat there, save that one into which his disciples had entered, and that Jesus went not with his disciples into the boat, but that his disciples had gone away alone;
[WEBSTER | EN | NT | John | Chapter 6 | Verse 23] (Yet there came other boats from Tiberias nigh to the place where they ate bread, after the Lord had given thanks:)
[WEBSTER | EN | NT | John | Chapter 6 | Verse 24] When the people therefore saw that Jesus was not there, neither his disciples, they also took boats, and came to Capernaum, seeking for Jesus.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 25] And when they had found him on the other side of the sea, they said to him, Rabbi, when camest thou hither?
[WEBSTER | EN | NT | John | Chapter 6 | Verse 26] Jesus answered them and said, Verily, verily, I say to you, Ye seek me, not because ye saw the miracles, but because ye ate of the loaves, and were satisfied.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 27] Labor not for the food which perisheth, but for that food which endureth to everlasting life, which the Son of man will give to you: for him hath God the Father sealed.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 28] Then said they to him, What shall we do, that we may work the works of God?
[WEBSTER | EN | NT | John | Chapter 6 | Verse 29] Jesus answered and said to them, This is the work of God, that ye believe on him whom he hath sent.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 30] They said therefore to him, What sign showest thou then, that we may see, and believe thee? what dost thou work?
[WEBSTER | EN | NT | John | Chapter 6 | Verse 31] Our fathers ate manna in the desert; as it is written, He gave them bread from heaven to eat.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 32] Then Jesus said to them, Verily, verily, I say to you, Moses gave you not that bread from heaven; but my Father giveth you the true bread from heaven.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 33] For the bread of God is he who cometh down from heaven, and giveth life to the world.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 34] Then said they to him, Lord, evermore give us this bread.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 35] And Jesus said to them, I am the bread of life: he that cometh to me, shall never hunger; and he that believeth on me, shall never thirst.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 36] But I said to you, That ye also have seen me, and believe not.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 37] All that the Father giveth me, shall come to me; and him that cometh to me, I will in no wise reject.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 38] For I came down from heaven, not to do my own will, but the will of him that sent me.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 39] And this is the Father's will who hath sent me, that of all which he hath given me, I should lose nothing, but should raise it up again at the last day.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 40] And this is the will of him that sent me, that every one who seeth the Son, and believeth on him, may have everlasting life: and I will raise him up at the last day.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 41] The Jews then murmured at him, because he said, I am the bread which came down from heaven.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 42] And they said, Is not this Jesus the son of Joseph, whose father and mother we know? how is it then that he saith, I came down from heaven?
[WEBSTER | EN | NT | John | Chapter 6 | Verse 43] Jesus therefore answered and said to them, Murmur not among yourselves.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 44] No man can come to me, except the Father who hath sent me draw him: and I will raise him up at the last day.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 45] It is written in the prophets, And they shall be all taught from God. Every man therefore that hath heard, and hath learned from the Father, cometh to me.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 46] Not that any man hath seen the Father, save he who is from God, he hath seen the Father.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 47] Verily, verily, I say to you, He that believeth on me hath everlasting life.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 48] I am that bread of life.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 49] Your fathers ate manna in the wilderness, and are dead.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 50] This is the bread which cometh down from heaven, that a man may eat of it, and not die.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 51] I am the living bread which came down from heaven: if any man shall eat of this bread, he shall live for ever: and the bread that I will give is my flesh, which I will give for the life of the world.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 52] The Jews therefore contended among themselves, saying, How can this man give us his flesh to eat?
[WEBSTER | EN | NT | John | Chapter 6 | Verse 53] Then Jesus said to them, Verily, verily, I say to you, Except ye eat the flesh of the Son of man, and drink his blood, ye have no life in you.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 54] Whoever eateth my flesh, and drinketh my blood, hath eternal life; and I will raise him up at the last day.
[WEBSTER | EN | NT | John | Chapter 6 | Verse 55] For my flesh is food indeed, and my blood is drink indeed.
