[WEBSTER | EN | NT | John | Chapter 19 | Verse 1] Then Pilate therefore took Jesus, and scourged him .
[WEBSTER | EN | NT | John | Chapter 19 | Verse 2] And the soldiers platted a crown of thorns, and put it on his head, and they put on him a purple robe,
[WEBSTER | EN | NT | John | Chapter 19 | Verse 3] And said, Hail, King of the Jews! and they smote him with their hands.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 4] Pilate therefore went forth again, and saith to them, Behold, I bring him forth to you, that ye may know that I find no fault in him.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 5] Then Jesus came forth, wearing the crown of thorns, and the purple robe. And Pilate saith to them, Behold the man!
[WEBSTER | EN | NT | John | Chapter 19 | Verse 6] When therefore the chief priests and officers saw him, they cried out, saying, Crucify him , crucify him . Pilate saith to them, Take ye him, and crucify him : for I find no fault in him.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 7] The Jews answered him, We have a law, and by our law he ought to die, because he made himself the Son of God.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 8] When Pilate therefore heard that saying, he was the more afraid;
[WEBSTER | EN | NT | John | Chapter 19 | Verse 9] And went again into the judgment-hall, and saith to Jesus, Whence art thou? But Jesus gave him no answer.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 10] Then saith Pilate to him, Speakest thou not to me? knowest thou not, that I have power to crucify thee, and have power to release thee?
[WEBSTER | EN | NT | John | Chapter 19 | Verse 11] Jesus answered, Thou couldst have no power against me; except it were given thee from above: therefore he that delivered me to thee hath the greater sin.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 12] And from thenceforth Pilate sought to release him: but the Jews cried out, saying, If thou let this man go, thou art not Cesar's friend. Whoever maketh himself a king, speaketh against Cesar.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 13] When Pilate therefore heard that saying, he brought Jesus forth, and sat down on the judgment-seat, in a place that is called the Pavement, but in the Hebrew, Gabbatha.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 14] And it was the preparation of the passover, and about the sixth hour: and he saith to the Jews, Behold your King!
[WEBSTER | EN | NT | John | Chapter 19 | Verse 15] But they cried out, Away with him , away with him , crucify him. Pilate saith to them, Shall I crucify your King? The chief priests answered, We have no king but Cesar.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 16] Then therefore he delivered him to them to be crucified. And they took Jesus, and led him away.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 17] And he bearing his cross went forth into a place called the place of a skull, which is called in the Hebrew, Golgotha:
[WEBSTER | EN | NT | John | Chapter 19 | Verse 18] Where they crucified him, and two others with him, on each side one, and Jesus in the midst.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 19] And Pilate wrote a title, and put it on the cross. And the writing was, JESUS OF NAZARETH THE KING OF THE JEWS.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 20] Many of the Jews then read this title: for the place where Jesus was crucified was nigh to the city: and it was written in Hebrew, Greek, and Latin.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 21] Then said the chief priests of the Jews to Pilate, Write not, The King of the Jews; but that he said, I am King of the Jews.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 22] Pilate answered, What I have written, I have written.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 23] Then the soldiers, when they had crucified Jesus, took his garments, and made four parts, to every soldier a part; and also his coat: now the coat was without seam, woven from the top throughout.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 24] They said therefore among themselves, Let us not rend it, but cast lots for it whose it shall be: that the scripture might be fulfilled, which saith, They parted my raiment among them, and for my vesture they cast lots. These things therefore the soldiers did.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 25] Now there stood by the cross of Jesus, his mother, and his mother's sister, Mary the wife of Cleophas, and Mary Magdalene.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 26] When Jesus therefore saw his mother, and the disciple standing by, whom he loved, he saith to his mother, Woman, behold thy son!
[WEBSTER | EN | NT | John | Chapter 19 | Verse 27] Then saith he to the disciple, Behold thy mother! And from that hour that disciple took her to his own home .
[WEBSTER | EN | NT | John | Chapter 19 | Verse 28] After this, Jesus knowing that all things were now accomplished, that the scripture might be fulfilled, saith, I thirst.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 29] Now there was set a vessel full of vinegar: and they filled a spunge with vinegar, and put it upon hyssop, and put it to his mouth.
[WEBSTER | EN | NT | John | Chapter 19 | Verse 30] When Jesus therefore had received the vinegar, he said, It is finished: and he bowed his head, and expired.
