[WEBSTER | EN | NT | John | Chapter 7 | Verse 1] After these things Jesus walked in Galilee: for he would not walk in Judea, because the Jews sought to kill him.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 2] Now the Jews' feast of tabernacles was at hand.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 3] His brethren therefore said to him, Depart hence, and go into Judea, that thy disciples also may see the works that thou doest.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 4] For there is no man that doeth any thing in secret, and he himself seeketh to be known openly. If thou doest these things, show thyself to the world.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 5] (For neither did his brethren believe in him.)
[WEBSTER | EN | NT | John | Chapter 7 | Verse 6] Then Jesus said to them, My time is not yet come: but your time is always ready.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 7] The world cannot hate you; but me it hateth, because I testify concerning it, that its works are evil.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 8] Go ye up to this feast: I go not yet to this feast, for my time is not yet full come.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 9] When he had said these words to them, he abode still in Galilee.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 10] But when his brethren had gone up, then he went also to the feast, not openly, but as it were in secret.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 11] Then the Jews sought him at the feast, and said, Where is he?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 12] And there was much murmuring among the people concerning him: for some said, He is a good man: others said, No; but he deceiveth the people.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 13] Yet, no man spoke openly of him, for fear of the Jews.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 14] Now about the midst of the feast, Jesus went up into the temple, and taught.
[WEBSTER | EN | NT | John | Chapter 7 | Verse 15] And the Jews marveled, saying, How knoweth this man letters, having never learned?
[WEBSTER | EN | NT | John | Chapter 7 | Verse 16] Jesus answered them, and said, My doctrine is not mine, but his that sent me.
