[LXX | EL | OT | Zephaniah | Chapter 1 | Verse 1] ΛΟΓΟΣ Κυρίου, ὃς ἐγενήθη πρὸς Σοφονίαν τὸν τοῦ Χουσὶ, υἱὸν Γοδολίου, τοῦ Ἀμορίου τοῦ Ἐζεκίου, ἐν ἡμέραις Ἰωσίου υἱοῦ Ἀμὼν βασιλέως Ἰούδα.
[LXX | EL | OT | Zephaniah | Chapter 1 | Verse 2] Ἐκλείψει ἐκλιπέτω ἀπὸ προσώπου τῆς γῆς, λέγει Κύριος.
[LXX | EL | OT | Zephaniah | Chapter 1 | Verse 3] Ἐκλιπέτω ἄνθρωπος καὶ κτήνη, ἐκλιπέτω τὰ πετεινὰ τοῦ οὐρανοῦ καὶ οἱ ἰχθύες τῆς θαλάσσης· καὶ ἀσθενήσουσιν οἱ ἀσεβεῖς, καὶ ἐξαρῶ τοὺς ἀνόμους ἀπὸ προσώπου τῆς γῆς, λέγει Κύριος.
[LXX | EL | OT | Zephaniah | Chapter 1 | Verse 4] Καὶ ἐκτενῶ τὴν χεῖρά μου ἐπὶ Ἰούδα, καὶ ἐπὶ πάντας τοὺς κατοικοῦντας Ἱερουσαλήμ· καὶ ἐξαρῶ ἐκ τοῦ τόπου τούτου τὰ ὀνόματα τῆς Βάαλ, καὶ τὰ ὀνόματα τῶν ἱερέων,
[LXX | EL | OT | Zephaniah | Chapter 1 | Verse 5] καὶ τοὺς προσκυνοῦντας ἐπὶ τὰ δώματα τῇ στρατιᾷ τοῦ οὐρανοῦ, καὶ τοὺς προσκυνοῦντας καὶ τοὺς ὀμνύοντας κατὰ τοῦ Κυρίου, καὶ τοὺς ὀμνύοντας κατὰ τοῦ βασιλέως αὐτῶν,
[LXX | EL | OT | Zephaniah | Chapter 1 | Verse 6] καὶ τοὺς ἐκκλίνοντας ἀπὸ τοῦ Κυρίου, καὶ τοὺς μὴ ζητοῦντας τὸν Κύριον, καὶ τοὺς μὴ ἀντεχομένους τοῦ Κυρίου.
[LXX | EL | OT | Zephaniah | Chapter 1 | Verse 7] Εὐλαβεῖσθε ἀπὸ προσώπου Κυρίου τοῦ Θεοῦ· διότι ἐγγὺς ἡμέρα τοῦ Κυρίου, ὅτι ἡτοίμακε Κύριος τὴν θυσίαν αὐτοῦ, καὶ ἡγίακε τοὺς κλητοὺς αὐτοῦ.
[LXX | EL | OT | Zephaniah | Chapter 1 | Verse 8] Καὶ ἔσται, ἐν ἡμέρᾳ θυσίας Κυρίου, καὶ ἐκδικήσω ἐπὶ τοὺς ἄρχοντας, καὶ ἐπὶ τὸν οἶκον τοῦ βασιλέως, καὶ ἐπὶ πάντας τοὺς ἐνδεδυμένους ἐνδύματα ἀλλότρια.
[LXX | EL | OT | Zephaniah | Chapter 1 | Verse 9] Καὶ ἐκδικήσω ἐμφανῶς ἐπὶ τὰ πρόπυλα ἐν ἐκείνῃ τῇ ἡμέρᾳ, τοὺς πληροῦντας τὸν οἶκον Κυρίου Θεοῦ αὐτῶν ἀσεβείας καὶ δόλου.
[LXX | EL | OT | Zephaniah | Chapter 1 | Verse 10] Καὶ ἔσται ἐν τῇ ἡμέρᾳ ἐκείνῃ, λέγει Κύριος, φωνὴ κραυγῆς ἀπὸ πύλης ἀποκεντούντων, καὶ ὀλολυγμὸς ἀπὸ τῆς δευτέρας, καὶ συντριμμὸς μέγας ἀπὸ τῶν βουνῶν.
[LXX | EL | OT | Zephaniah | Chapter 1 | Verse 11] Θρηνήσατε οἱ κατοικοῦντες τὴν κατακεκομμένην, ὅτι ὡμοιώθη πᾶς ὁ λαὸς Χαναὰν, καὶ ἐξωλοθρεύθησαν πάντες οἱ ἐπῃρμένοι ἀργυρίῳ.
