[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 1] Συνάχθητε, καὶ συνδέθητε τὸ ἔθνος τὸ ἀπαίδευτον,
[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 2] πρὸ τοῦ γενέσθαι ὑμᾶς ὡς ἄνθος παραπορευόμενον, πρὸ τοῦ ἐπελθεῖν ἐφʼ ὑμᾶς ὀργὴν Κυρίου, πρὸ τοῦ ἐπελθεῖν ἐφʼ ὑμᾶς ἡμέραν θυμοῦ Κυρίου.
[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 3] Ζητήσατε τὸν Κύριον πάντες ταπεινοὶ γῆς, κρίμα ἐργάζεσθε, καὶ δικαιοσύνην ζητήσατε, καὶ ἀποκρίνασθε αὐτὰ, ὅπως σκεπασθῆτε ἐν ἡμέρᾳ ὀργῆς Κυρίου.
[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 4] Διότι Γάζα διηρπασμένη ἔσται, καὶ Ἀσκάλων εἰς ἀφανισμὸν, καὶ Ἄζωτος μεσημβρίας ἐκριφήσεται, καὶ Ἀκκαρὼν ἐκριζωθήσεται.
[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 5] Οὐαὶ οἱ κατοικοῦντες τὸ σχοίνισμα τῆς θαλάσσης, πάροικοι Κρητῶν· λόγος Κυρίου ἐφʼ ὑμᾶς Χαναὰν, γῆ ἀλλοφύλων, καὶ ἀπολῶ ὑμᾶς ἐκ κατοικίας.
[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 6] Καὶ ἔσται Κρήτη νομὴ ποιμνίων, καὶ μάνδρα προβάτων.
[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 7] Καὶ ἔσται τὸ σχοίνισμα τῆς θαλάσσης τοῖς καταλοίποις οἴκου Ἰούδα, ἐπʼ αὐτοὺς νεμήσονται ἐν τοῖς οἴκοις Ἀσκάλωνος, δείλης καταλύσουσιν ἀπὸ προσώπου υἱῶν Ἰούδα, ὅτι ἐπέσκεπται αὐτοὺς Κύριος ὁ Θεὸς αὐτῶν, καὶ ἀποστρέψει τὴν αἰχμαλωσίαν αὐτῶν.
[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 8] Ἤκουσα ὀνειδισμοὺς Μωὰβ, καὶ κονδυλισμοὺς υἱῶν Ἀμμὼν, ἐν οἷς ὠνείδιζον τὸν λαόν μου, καὶ ἐμεγαλύνοντο ἐπὶ τὰ ὅριά μου.
[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 9] Διατοῦτο, ζῶ ἐγὼ, λέγει Κύριος τῶν δυνάμεων ὁ Θεὸς Ἰσραὴλ, διότι Μωὰβ ὡς Σόδομα ἔσται, καὶ υἱοὶ Ἀμμὼν ὡς Γόμοῤῥα, καὶ Δαμασκὸς ἐκλελειμμένη ὡς θιμωνία ἅλωνος, καὶ ἠφανισμένη εἰς τὸν αἰῶνα· καὶ οἱ κατάλοιποι λαοῦ μου διαρπῶνται αὐτοὺς, καὶ οἱ κατάλοιποι ἔθνους μου κληρονομήσουσιν αὐτούς.
[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 10] Αὕτη αὐτοῖς ἀντὶ τῆς ὕβρεως αὐτῶν, διότι ὠνείδισαν, καὶ ἐμεγαλύνθησαν ἐπὶ τὸν Κύριον τὸν παντοκράτορα.
[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 11] Ἐπιφανήσεται Κύριος ἐπʼ αὐτοὺς, καὶ ἐξολοθρεύσει πάντας τοὺς θεοὺς τῶν ἐθνῶν τῆς γῆς, καὶ προσκυνήσουσιν αὐτῷ ἔκαστος ἐκ τοῦ τόπου αὐτοῦ, πᾶσαι αἱ νῆσοι τῶν ἐθνῶν.
[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 12] Καὶ ὑμεῖς Αἰθίοπες τραυματίαι ῥομφαίας μου ἐστέ.
[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 13] Καὶ ἐκτενεῖ τὴν χεῖρα αὐτοῦ ἐπὶ Βοῤῥᾶν, καὶ ἀπολεῖ τὸν Ἀσσύριον, καὶ θήσει τὴν Νινευὴ εἰς ἀφανισμὸν ἄνυδρον, ὡς ἔρημον.
[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 14] Καὶ νεμήσονται ἐν μέσῳ αὐτῆς ποίμνια, καὶ πάντα τὰ θηρία τῆς γῆς, καὶ χαμαιλέοντες, καὶ ἐχῖνοι ἐν τοῖς φατνώμασιν αὐτῆς κοιτασθήσονται· καὶ θηρία φωνήσει ἐν τοῖς διορύγμασιν αὐτῆς καὶ κόρακες ἐν τοῖς πυλῶσιν αὐτῆς, διότι κέδρος τὸ ἀνάστημα αὐτῆς.
[LXX | EL | OT | Zephaniah | Chapter 2 | Verse 15] Αὕτη ἡ πόλις ἡ φαυλίστρια, ἡ κατοικοῦσα ἐπʼ ἐλπίδι, ἡ λέγουσα ἐν καρδίᾳ αὐτῆς, ἐγώ εἰμι, καὶ οὐκ ἔστι μετʼ ἐμὲ ἔτι· πῶς ἐγενήθη εἰς ἀφανισμὸν, νομὴ θηρίων; πᾶς ὁ διαπορευόμενος διʼ αὐτῆς συριεῖ, καὶ κινήσει τὰς χεῖρας αὐτοῦ.
