[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 1] These are the words of the covenant which the LORD commanded Moses to make with the children of Israel in the land of Moab, beside the covenant which he made with them in Horeb.
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 2] And Moses called unto all Israel, and said unto them, Ye have seen all that the LORD did before your eyes in the land of Egypt unto Pharaoh, and unto all his servants, and unto all his land;
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 3] the great temptations which thine eyes saw, the signs, and those great wonders:
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 4] but the LORD hath not given you an heart to know, and eyes to see, and ears to hear, unto this day.
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 5] And I have led you forty years in the wilderness: your clothes are not waxen old upon you, and thy shoe is not waxen old upon thy foot.
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 6] Ye have not eaten bread, neither have ye drunk wine or strong drink: that ye might know that I am the LORD your God.
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 7] And when ye came unto this place, Sihon the king of Heshbon, and Og the king of Bashan, came out against us unto battle, and we smote them:
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 8] and we took their land, and gave it for an inheritance unto the Reubenites, and to the Gadites, and to the half tribe of the Manassites.
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 9] Keep therefore the words of this covenant, and do them, that ye may prosper in all that ye do.
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 10] Ye stand this day all of you before the LORD your God; your heads, your tribes, your elders, and your officers, even all the men of Israel,
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 11] your little ones, your wives, and thy stranger that is in the midst of thy camps, from the hewer of thy wood unto the drawer of thy water:
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 12] that thou shouldest enter into the covenant of the LORD thy God, and into his oath, which the LORD thy God maketh with thee this day:
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 13] that he may establish thee this day unto himself for a people, and that he may be unto thee a God, as he spake unto thee, and as he sware unto thy fathers, to Abraham, to Isaac, and to Jacob.
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 14] Neither with you only do I make this covenant and this oath;
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 15] but with him that standeth here with us this day before the LORD our God, and also with him that is not here with us this day:
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 16] ( for ye know how we dwelt in the land of Egypt; and how we came through the midst of the nations through which ye passed;
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 17] and ye have seen their abominations, and their idols, wood and stone, silver and gold, which were among them:)
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 18] lest there should be among you man, or woman, or family, or tribe, whose heart turneth away this day from the LORD our God, to go to serve the gods of those nations; lest there should be among you a root that beareth gall and wormwood;
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 19] and it come to pass, when he heareth the words of this curse, that he bless himself in his heart, saying, I shall have peace, though I walk in the stubbornness of mine heart, to destroy the moist with the dry:
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 20] the LORD will not pardon him, but then the anger of the LORD and his jealousy shall smoke against that man, and all the curse that is written in this book shall lie upon him, and the LORD shall blot out his name from under heaven.
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 21] And the LORD shall separate him unto evil out of all the tribes of Israel, according to all the curses of the covenant that is written in this book of the law.
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 22] And the generation to come, your children that shall rise up after you, and the foreigner that shall come from a far land, shall say, when they see the plagues of that land, and the sicknesses wherewith the LORD hath made it sick;
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 23] and that the whole land thereof is brimstone, and salt, and a burning, that it is not sown, nor beareth, nor any grass groweth therein, like the overthrow of Sodom and Gomorrah, Admah and Zeboiim, which the LORD overthrew in his anger, and in his wrath:
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 24] even all the nations shall say, Wherefore hath the LORD done thus unto this land? what meaneth the heat of this great anger?
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 25] Then men shall say, Because they forsook the covenant of the LORD, the God of their fathers, which he made with them when he brought them forth out of the land of Egypt;
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 26] and went and served other gods, and worshipped them, gods whom they knew not, and whom he had not given unto them:
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 27] therefore the anger of the LORD was kindled against this land, to bring upon it all the curse that is written in this book:
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 28] and the LORD rooted them out of their land in anger, and in wrath, and in great indignation, and cast them into another land, as at this day.
[ERV | EN | OT | Deuteronomy | Chapter 29 | Verse 29] The secret things belong unto the LORD our God: but the things that are revealed belong unto us and to our children for ever, that we may do all the words of this law.
