[IRV | MR | OT | Numbers | Chapter 35 | Verse 1] परमेश्वर मोशेशी बोलला. हे मवाबामधील यार्देनाच्या खोऱ्यात यरीहोसमोर यार्देन नदीजवळ घडले. परमेश्वर म्हणाला,
[IRV | MR | OT | Numbers | Chapter 35 | Verse 2] इस्राएल लोकांस सांग की, त्यांनी त्यांच्या वतनातील काही नगरे लेवी लोकांस द्यावी. इस्राएल लोकांनी काही नगरे आणि त्याच्या आजूबाजूची कुरणे लेवी लोकांस द्यावी.
[IRV | MR | OT | Numbers | Chapter 35 | Verse 3] लेवी लोक त्या नगरात राहतील आणि लेवी लोकांची कुरणे गाईबैल आणि शेरडेमेंढरे इत्यादी जनावरांसाठी असावीत.
[IRV | MR | OT | Numbers | Chapter 35 | Verse 4] आणि नगराची जी कुरणे लेव्यांना जी गायराने द्याल ती हजार हात सभोवार असावी.
[IRV | MR | OT | Numbers | Chapter 35 | Verse 5] नगरांच्या तटबंदी बाहेर पूर्व बाजूस दोन हजार हात, दोन हजार हात दक्षिणेला, दोन हजार हात पश्चिमेला आणि दोन हजार हात उत्तर बाजूस मोजावे. नगर मध्ये असावे.
[IRV | MR | OT | Numbers | Chapter 35 | Verse 6] त्यापैकी सहा शहरे शरणपुरे असतील. जर एखाद्या मनुष्याने चुकून कुणाला मारले तर तो मनुष्य संरक्षणासाठी त्या शहरात जाऊ शकतो. त्या सहा शहरांखेरीज आणखी बेचाळीस नगरे तुम्ही लेवींना द्या.
[IRV | MR | OT | Numbers | Chapter 35 | Verse 7] म्हणजे तुम्ही एकूण अठ्ठेचाळीस नगरे लेवींना द्या. त्या शहरांभोवतालची जमीनही तुम्ही लेवींना द्या.
[IRV | MR | OT | Numbers | Chapter 35 | Verse 8] इस्राएलाच्या मोठ्या कुटुंबांना वतनाचे मोठे तुकडे मिळतील आणि लहान वतनातून कमी अशी द्यावीत. प्रत्येक वंशाने आपआपल्या वतनाच्या मानाने लेव्यांना नगरे द्यावी.
[IRV | MR | OT | Numbers | Chapter 35 | Verse 9] नंतर परमेश्वर मोशेशी बोलला. तो म्हणाला,
[IRV | MR | OT | Numbers | Chapter 35 | Verse 10] इस्राएलाच्या वंशाशी बोल, त्यांना या गोष्टी सांग, तुम्ही लोक यार्देन नदी पार करून कनानच्या प्रदेशात जाल.
[IRV | MR | OT | Numbers | Chapter 35 | Verse 11] तेव्हा तुम्ही शरणपुरे निवडा. जर एखाद्याने चुकून कुणाला ठार मारले तर तो संरक्षणासाठी त्यापैकी एखाद्या शहरात जाऊ शकतो.
[IRV | MR | OT | Numbers | Chapter 35 | Verse 12] आणि ती नगरे सूड घेणाऱ्यापासून आश्रयासाठी असावी. त्या मनुष्याचा न्याय होईपर्यंत तो तेथे सुरक्षित राहू शकतो.
[IRV | MR | OT | Numbers | Chapter 35 | Verse 13] अशी सहा संरक्षक शहरे असतील.
[IRV | MR | OT | Numbers | Chapter 35 | Verse 14] यापैकी तीन शहरे यार्देन नदीच्या पूर्वेला असतील आणि तीन शहरे कनानाच्या प्रदेशात यार्देन नदीच्या पश्चिमेला असतील ती तुम्ही आश्रयाची नगरे म्हणून द्या.
[IRV | MR | OT | Numbers | Chapter 35 | Verse 15] ही शहरे इस्राएलाच्या नागरिकांसाठी, परदेशी नागारिकासाठी आणि प्रवाशांसाठी शरणपुरे असतील. यांच्यापैकी कोणीही चुकून कुणाला ठार मारले तर ते संरक्षणसाठी या शहरात जाऊ शकतात.
