[IRV | MR | OT | Numbers | Chapter 2 | Verse 1] परमेश्वर, मोशे व अहरोन यांच्याशी पुन्हा बोलला, तो म्हणाला,
[IRV | MR | OT | Numbers | Chapter 2 | Verse 2] इस्राएलाच्या प्रत्येक वंशजाने आपल्या सैन्याच्या निशाणाजवळ जो त्याच्या सैन्याच्या दलाचा आहे आणि लहान झेंडा तो त्याच्या वंशाला दर्शवितो त्यापाशी तळ द्यावा. त्याच्या तळाचे तोंड दर्शनमंडपाच्या समोर असावे.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 3] यहूदावंशाच्या छावणीचे निशाण उगवत्या सूर्याच्या दिशेला म्हणजे पूर्व दिशेला असावे. यहूदावंशातील सर्व लोकांनी आपली छावणी त्या निशाणाजवळ ठोकावी. अम्मीनादाबाचा मुलगा नहशोन हा यहूदावंशाचा प्रमुख सरदार असावा.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 4] त्याच्या दलात चौऱ्याहत्तर हजार सहाशे लोक होते.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 5] इस्साखार वंशाच्या लोकांनी यहूदावंशाच्या छावणी शेजारी आपली छावणी ठोकावी. सुवाराचा मुलगा नथनेल हा इस्साखारवंशाचा प्रमुख सरदार असावा.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 6] त्याच्या दलात चौपन्न हजार चारशे लोक होते.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 7] जबुलून वंशाच्या लोकांनीही यहूदावंशाच्या छावणीनंतर जवळच आपली छावणी उभारावी. हेलोनाचा मुलगा अलीयाब हा जबुलून वंशाचा प्रमुख सरदार असावा.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 8] त्याच्या दलात सत्तावन्न हजार चारशे लोक होते.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 9] यहूदावंशाच्या छावणीत एकूण एक लाख शहाऐंशी हजार चारशे लोक होते. ते त्यांच्या कुळाप्रमाणे विभागलेले होते. इस्राएल लोकांनी एका ठिकाणाहून दुसऱ्या ठिकाणाकडे प्रवास करिताना यहूदावंशाच्या दलाने सर्वात पुढे चालावे.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 10] पवित्र निवासमंडपाच्या दक्षिण बाजूस रऊबेन वंशाच्या छावणीचे निशाण असावे. प्रत्येक गटाने आपापल्या निशाणाजवळ आपली छावणी उभारावी. शदेउराचा मुलगा अलीसूर हा रऊबेन वंशाचा प्रमुख सरदार असावा.
[IRV | MR | OT | Numbers | Chapter 2 | Verse 11] त्याच्या दलात शेहेचाळीस हजार पाचशे लोक होते.
