[IRV | MR | OT | Numbers | Chapter 32 | Verse 1] रऊबेन आणि गाद या घराण्यांकडे गुरांढोरांची खूप खिल्लारे होते. त्यांनी याजेर व गिलाद येथील जमिनी पाहिल्या. ही जमीन आपल्या गुरांढोरांसाठी चांगली आहे असे त्यांना वाटले.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 2] म्हणून रऊबेन व गाद यांच्या घराण्यातील लोक मोशेकडे आले. ते मोशे, याजक एलाजार आणि लोकांचे पुढारी यांच्याशी बोलले.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 3] अटारोथ, दीबोन, याजेर, निम्रा, हेशबोन, एलाले, सबाम, नबो व बौन.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 4] ह्यांचा जो प्रांत परमेश्वराने इस्राएलाच्या लोकांसाठी देवाने जी जमीन जिंकली ती गुरांढोरांसाठी खूप चांगली आहे आणि तुझ्या दासांजवळ गुरेढोरे आहेत.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 5] जर आम्हावर तुझी कृपादृष्टी असेल तर तो प्रदेश आम्हास वतन करून देण्यात यावा. आम्हास यार्देन नदीच्या पलिकडे नेऊ नको.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 6] रऊबेन आणि गादच्या घराण्यातील लोकांस मोशे म्हणाला, तुमचे भाऊबंद लढाईस जातील तेव्हा तुम्ही येथेच बसून राहणार का?
[IRV | MR | OT | Numbers | Chapter 32 | Verse 7] जो देश परमेश्वराने इस्राएल लोकांस दिला आहे तेथे उतरून जाण्याकरता त्यांचे मन का निरूत्साहित करीत आहात?
[IRV | MR | OT | Numbers | Chapter 32 | Verse 8] तुमच्या वाडवडिलांनी हीच गोष्ट माझ्याबाबतीत केली होती. कादेश-बर्ण्याला मी काही हेरांना जमीन बघण्यासाठी पाठवले.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 9] ते लोक अष्कोल खोऱ्यापर्यंत गेले. त्यांनी जमीन बघितली आणि त्या लोकांनी इस्राएल लोकांस परमेश्वराने दिलेल्या प्रदेशात जाण्याच्या इच्छेपासून परावृत केले.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 10] परमेश्वर त्या लोकांवर खूप रागावला. त्याने शपथ घेतली आणि म्हणाला,
[IRV | MR | OT | Numbers | Chapter 32 | Verse 11] मिसर देशातून आलेल्या वीस वर्षांवरील कोणत्याही मनुष्यास हा प्रदेश बघू दिला जाणार नाही. मी अब्राहाम, इसहाक व याकोब यांना वचन दिले होते. त्यांना मी ही जमीन द्यायचे कबूल केले होते. परंतु त्यांनी मला मनापासून अनुसरले नाही. म्हणून त्यांना हा प्रदेश मिळणार नाही.
[IRV | MR | OT | Numbers | Chapter 32 | Verse 12] फक्त कनिज्जी यफुन्नेचा मुलगा कालेब आणि नूनाचा मुलगा यहोशवा हे मनापासून परमेश्वरास अनुसरले.
