[IRV | MR | OT | Numbers | Chapter 29 | Verse 1] सातव्या महिन्याच्या पहिल्या दिवशी पवित्र मेळा भरवावा. त्यादिवशी तुम्ही कसलेही अंगमेहनतीचे काम करू नये. हा तुमचा कर्णा वाजवण्याचा दिवस आहे.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 2] परमेश्वरास मधुर सुवास यावा म्हणून एक गोऱ्हा, एक मेंढा आणि एक एक वर्षांची सात निर्दोष कोकरे होमबलि म्हणून अर्पण करावी.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 3] त्याबरोबरचे अन्नार्पण तेलांत मळलेल्या सपीठाचे असावे, गोऱ्ह्यामागे तीन दशमांश एफा, मेंढ्यामागे दोन दशमांस एफा,
[IRV | MR | OT | Numbers | Chapter 29 | Verse 4] मेंढ्याबरोबर आठ कप पीठ प्रत्येक कोकराबरोबर अर्पण करावे.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 5] तुम्हासाठी प्रायश्चित करायला पापार्पणासाठी एक बकरा अर्पावा.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 6] चंद्रदर्शनाचे होमार्पण आणि त्याबरोबरचे अन्नार्पण, तसेच नेहमीचे होमार्पण व त्याबरोबरचे अन्नार्पण व त्याबरोबरची पेयार्पणे याव्यतिरिक्त परमेश्वरास मधुर सुवासासाठी अग्नीतून केलेले हे अर्पण असावे.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 7] सातव्या महिन्याच्या दहाव्या दिवशी तुम्ही पवित्र मेळा भरवावा. त्यादिवशी तुम्ही अन्न घ्यायचे नाही आणि काही कामही करायचे नाही.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 8] तुम्ही परमेश्वरास मधुर सुवास मिळावा म्हणून होमार्पणे करावे ते हे, तुम्ही एक गोऱ्हा, एक मेंढा आणि एक एक वर्ष वयाचे सात निर्दोष कोकरे अर्पण करावेत.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 9] आणि त्याबरोबर तेलात मळलेल्या सपिठाचे अन्नार्पण असावे. गोऱ्ह्यामागे तीन दशमांश एफा, मेंढ्यामागे दोन दशमांस एफा,
[IRV | MR | OT | Numbers | Chapter 29 | Verse 10] सात कोकरांपैकी प्रत्येक कोकराबरोबर एक दशमांश एफा सपीठ अर्पावे.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 11] पापार्पणासाठी एक बकराही अर्पावा. याखेरीज प्रायश्चित्ताचे पापार्पण व निरंतरचे होमार्पण व त्याचे अन्नार्पण, पेयार्पणे ही असावीत.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 12] सातव्या महिन्याच्या पंधराव्या दिवशी पवित्र मेळा भरवावा. त्यादिवशी तुम्ही कसलेहि अंगमेहनतीचे काम करू नये आणि परमेश्वरासाठी सात दिवस सण साजरा करावा.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 13] तुम्ही होमार्पणे करावीत. ही अग्नीबरोबर करावयाची अर्पणे आहेत. त्यांचा सुवास परमेश्वरास आनंदीत करील. तुम्ही तेरा गोऱ्हे, दोन मेंढे, एकएक वर्षाची नरजातीची चौदा कोकरे, ही दोषरहित असावी.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 14] त्याबरोबर तेलात मळलेल्या सपिठाचे अन्नार्पण असावे. तेरा गोऱ्ह्यांपैकी प्रत्येक गोऱ्ह्यामागे तीन दशमांश एफा, दोन मेंढ्यापैकी प्रत्येक मेंढ्याबरोबर दोन दशमांश एफा,
[IRV | MR | OT | Numbers | Chapter 29 | Verse 15] आणि चौदा कोकरापैकी प्रत्येक कोकराबरोबर एक दशमांश एफा सपीठ अर्पावे.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 16] आणि पापार्पणासाठी एक बकरा अर्पावा. याखेरीज निरंतरचे होमार्पणाव्यातिरिक्त आणि त्याबरोबरच्या अन्नार्पण व त्यांची पेयार्पण ही अर्पणे असावीत.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 17] दुसऱ्या दिवशी तुम्ही बारा गोऱ्हे, दोन मेंढे आणि एक वर्षाचे चौदा कोकरे अर्पण करावेत. ती दोषरहित असावी.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 18] त्याबरोबर गोऱ्ह्यासाठी, मेंढ्यासाठी आणि कोकरे यांच्याबरोबर तुम्ही योग्य प्रमाणात अन्नार्पण आणि पेयार्पण विधिपूर्वक करावी.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 19] आणि पापार्पणासाठी एक बकरा म्हणून द्यावा. याखेरीज निरंतरचे होमार्पण व त्यांची पेयार्पण ही असावीत.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 20] तिसऱ्या दिवशी तुम्ही अकरा गोऱ्हे, दोन मेंढे आणि एक वर्षाचे चौदा निर्दोष कोकरे अर्पावी.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 21] त्याबरोबर गोऱ्ह्यासाठी, मेंढ्यासाठी आणि कोकरे यांच्याबरोबर तुम्ही योग्यप्रमाणात अन्नार्पण व पेयार्पण केले पाहिजे.
[IRV | MR | OT | Numbers | Chapter 29 | Verse 22] पापार्पण म्हणून एक बकराही द्यावा. हे निरंतरचे होमार्पण व अन्नार्पण व त्यांचे पेयार्पणाव्यतिरिक्त असावी.
