[IRV | MR | OT | Numbers | Chapter 16 | Verse 1] कोरह इसहारचा मुलगा, इसहार कहाथचा मुलगा आणि कहाथ लेवीचा मुलगा, दाथान आणि अबीराम भाऊ होते आणि ती अलीयाबाची मुले होती. ओन पेलेथचा मुलगा होता. दाथान, अबीराम आणि ओन रऊबेन वंशातील होते. यांनी काही माणसे जमवली.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 2] या चार मनुष्यांनी इस्राएलातून अडीचशे माणसे एकत्र जमविली आणि ते मोशेविरूद्ध उठले. ते लोकांनी निवडलेले नेते होते, हे सर्व लोकांस माहीत होते.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 3] ते मोशेविरूद्ध व अहरोनाविरूद्ध एकत्र समुहाने आले. ते त्यांना म्हणाले, “तुम्ही फारच अधिकार दाखवता आता पुरे झाले! इस्राएलाचे इतर लोकसुद्धा पवित्र आहेत. त्यांच्यात अजूनही परमेश्वर राहतो. तुम्ही परमेश्वराच्या इतर लोकांपेक्षा स्वत:ला अधिक महत्वाचे समजत आहात.”
[IRV | MR | OT | Numbers | Chapter 16 | Verse 4] जेव्हा मोशेने ते ऐकले, तो पालथा पडला.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 5] मग मोशे कोरह व त्याच्या सर्व अनुयायांना म्हणाला, “उद्या सकाळी परमेश्वर कोण खरोखर त्याचा मनुष्य आहे ते दाखवील. कोण खरा पवित्र आहे ते परमेश्वर दाखवील आणि परमेश्वर त्या मनुष्यास त्याच्याजवळ आणिल. परमेश्वर त्या मनुष्याची निवड करील आणि त्यास स्वत: जवळ आणिल.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 6] म्हणून कोरह तू आणि तुझ्या गटाने धुपाटणे आणा.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 7] उद्या अग्नी आणि धूप काही खास भांड्यात ठेवा. नंतर ती भांडी परमेश्वरासमोर आणा. खरोखरच जो पवित्र असेल त्याची परमेश्वर निवड करील. लेवीच्या वंशजांनो तुम्ही फार पुढे गेलात. तुम्ही चूक केलीत.”
[IRV | MR | OT | Numbers | Chapter 16 | Verse 8] मोशे कोरहाला आणखी म्हणाला, “लेवीच्या वंशजांनो तुम्ही माझे ऐका
[IRV | MR | OT | Numbers | Chapter 16 | Verse 9] तुमची निवड इस्राएलच्या देवाने केली आहे आणि तुम्हास खास दर्जा दिला आहे म्हणून तुम्ही आनंदी असायला हवे. तुम्ही इस्राएलच्या इतर लोकांपेक्षा वेगळे आहात. परमेश्वराने तुम्हास खास कामासाठी, इस्राएल लोकांस परमेश्वराची भक्ती करायला मदत व्हावी म्हणून त्याच्या पवित्र निवासमंडपात त्याच्याजवळ आणले. हे पुरेसे नाही का?
[IRV | MR | OT | Numbers | Chapter 16 | Verse 10] परमेश्वराने लेवीच्या वंशजांना याजकांच्या मदतीसाठी जवळ आणले. परंतु आता तुम्हीच याजक होण्याची वेळ प्रयत्न करीत आहात.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 11] तुम्ही आणि तुमचे अनुयायी एकत्र आलात आणि परमेश्वराच्या विरूद्ध गेलात. अहरोनाने काही चूक केली का? नाही. मग तुम्ही अहरोनाविरूद्ध का तक्रार करीत आहात.”
[IRV | MR | OT | Numbers | Chapter 16 | Verse 12] नंतर मोशेने दाथान, अबीराम, या अलीयाबाच्या मुलांना बोलावले पण ते दोघे म्हणाले, आम्ही येणार नाही.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 13] तू आम्हास रानात जिवे मारावे म्हणून दूध व मध वाहण्याच्या देशातून काढून वर आणले आहेस हे काय थोडे आहे. आणि आता आमच्यावर तुझी अधिक सत्ता आहे हे तुला दाखवायचे आहे.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 14] आणखी तू आम्हास दूध व मध वाहण्याच्या देशात आणले नाही आणि आम्हास शेताचे व द्राक्षमळ्याचे वतन दिले नाही. आता तू पोकळ वचने देऊन आमचे डोळे आंधळे करीत आहेस काय? आम्ही तुझ्याकडे येणार नाही.
[IRV | MR | OT | Numbers | Chapter 16 | Verse 15] म्हणून मोशेला खूप राग आला. तो परमेश्वरास म्हणाला, “मी या लोकांच्या बाबतीत काहीही वाईट केले नाही. मी त्यांच्याकडून एक गाढव देखील घेतले नाही! आणि मी कोणाचेही वाईट केले नाही.
