[BBE | EN | OT | Song of Solomon | Chapter 6 | Verse 1] Where is your loved one gone, O most fair among women? Where is your loved one turned away, that we may go looking for him with you?
[BBE | EN | OT | Song of Solomon | Chapter 6 | Verse 2] My loved one is gone down into his garden, to the beds of spices, to take food in the gardens, and to get lilies.
[BBE | EN | OT | Song of Solomon | Chapter 6 | Verse 3] I am for my loved one, and my loved one is for me; he takes food among the lilies.
[BBE | EN | OT | Song of Solomon | Chapter 6 | Verse 4] You are beautiful, O my love, as Tirzah, as fair as Jerusalem; you are to be feared like an army with flags.
[BBE | EN | OT | Song of Solomon | Chapter 6 | Verse 5] Let your eyes be turned away from me; see, they have overcome me; your hair is as a flock of goats which take their rest on the side of Gilead.
[BBE | EN | OT | Song of Solomon | Chapter 6 | Verse 6] Your teeth are like a flock of sheep which come up from the washing; every one has two lambs, and there is not one without young.
[BBE | EN | OT | Song of Solomon | Chapter 6 | Verse 7] Like pomegranate fruit are the sides of your head under your veil.
[BBE | EN | OT | Song of Solomon | Chapter 6 | Verse 8] There are sixty queens, and eighty servant-wives, and young girls without number.
[BBE | EN | OT | Song of Solomon | Chapter 6 | Verse 9] My dove, my very beautiful one, is but one; she is the only one of her mother, she is the dearest one of her who gave her birth. The daughters saw her, and gave her a blessing; yes, the queens and the servant-wives, and they gave her praises.
[BBE | EN | OT | Song of Solomon | Chapter 6 | Verse 10] Who is she, looking down as the morning light, fair as the moon, clear as the sun, who is to be feared like an army with flags?
[BBE | EN | OT | Song of Solomon | Chapter 6 | Verse 11] I went down into the garden of nuts to see the green plants of the valley, and to see if the vine was in bud, and the pomegranate-trees were in flower.
[BBE | EN | OT | Song of Solomon | Chapter 6 | Verse 12] Before I was conscious of it, ...
