[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 1] And they continued three yeere without warre betweene Aram and Israel.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 2] And in the third yeere did Iehoshaphat the King of Iudah come downe to ye King of Israel.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 3] (Then the King of Israel saide vnto his seruants, Knowe yee not that Ramoth Gilead was ours? and wee stay, and take it not out of ye hand of the King of Aram?)
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 4] And he sayde vnto Iehoshaphat, Wilt thou goe with mee to battel against Ramoth Gilead? And Iehoshaphat saide vnto the King of Israel, I am as thou art, my people as thy people, and mine horses as thine horses.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 5] Then Iehoshaphat saide vnto the King of Israel, Aske counsaile, I pray thee, of the Lord to day.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 6] Then the King of Israel gathered the prophets vpon a foure hundreth men, and said vnto them, Shal I go against Ramoth Gilead to battel, or shall I let it alone? And they said, Go vp: for ye Lord shall deliuer it into the hands of the King.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 7] And Iehoshaphat said, Is there here neuer a Prophet of the Lord more, that we might inquire of him?
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 8] And the King of Israel said vnto Iehoshaphat, There is yet one man (Michaiah the sonne of Imlah) by whom we may aske counsel of the Lord, but I hate him: for he doeth not prophecie good vnto me, but euill. And Iehoshaphat sayd, Let not the King say so.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 9] Then the King of Israel called an Eunuche, and sayde, Call quickely Michaiah the sonne of Imlah.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 10] And the King of Israel and Iehoshaphat the King of Iudah sate either of them on his throne in their apparell in the voyde place at the entring in of the gate of Samaria, and all the prophets prophecied before them.
[GNV | EN | OT | 1 Kings | Chapter 22 | Verse 11] And Zidkiiah the sonne of Chenaanah made him hornes of yron, and sayd, Thus sayth the Lord, With these shalt thou push the Aramites, vntill thou hast consumed them.
