[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 1] After these things Naboth the Izreelite had a vineyarde in Izreel, hard by the palace of Ahab King of Samaria.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 2] And Ahab spake vnto Naboth, saying, Giue me thy vineyarde, that I may make mee a garden of herbes thereof, because it is neere by mine house: and I will giue thee for it a better vineyarde then it is: or if it please thee, I will giue thee the worth of it in money.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 3] And Naboth said to Ahab, The Lord keepe me from giuing the inheritance of my father vnto thee.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 4] Then Ahab came into his house heauie and in displeasure, because of the word which Naboth the Izreelite had spoken vnto him. for hee had sayde, I will not giue thee the inheritance of my fathers, and he lay vpon his bed, and turned his face and would eate no bread.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 5] Then Iezebel his wife came to him and said vnto him, Why is thy spirit so sad that thou eatest no bread?
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 6] And he said vnto her, Because I spake vnto Naboth the Izreelite, and sayd vnto him, Giue me thy vineyard for money, or if it please thee, I will giue thee another vineyard for it: but he answered, I wil not giue thee my vineyarde.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 7] Then Iezebel his wife sayde vnto him, Doest thou nowe gouerne the kingdome of Israel? vp, eate bread, and be of good cheere, I will giue thee the vineyard of Naboth the Izreelite.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 8] So she wrote letters in Ahabs name, and sealed them with his seale, and sent the letters vnto the Elders, and to the nobles that were in his citie dwelling with Naboth.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 9] And shee wrote in the letters, saying, Proclaime a fast, and set Naboth among the chiefe of the people,
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 10] And set two wicked men before him, and let them witnesse against him, saying, Thou diddest blaspheme God and the King: then cary him out, and stone him that he may dye.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 11] And the men of his citie, euen the Elders and gouernours, which dwelt in his citie, did as Iezebel had sent vnto them: as it was written in the letters, which she had sent vnto them.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 12] They proclaimed a fast, and set Naboth among the chiefe of the people,
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 13] And there came two wicked men, and sate before him: and the wicked men witnessed against Naboth in the presence of the people saying, Naboth did blaspheme God and the King. Then they caried him away out of the citie, and stoned him with stones, that he dyed.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 14] Then they sent to Iezebel, saying, Naboth is stoned and is dead.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 15] And when Iezebel heard that Naboth was stoned and was dead, Iezebel sayd to Ahab, Vp, and take possession of the vineyarde of Naboth the Izreelite, which he refused to giue thee for money: for Naboth is not aliue, but is dead.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 16] And when Ahab heard that Naboth was dead, he rose to go downe to the vineyard of Naboth the Izreelite, to take possession of it.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 17] And the word of the Lord came vnto Eliiah the Tishbite, saying,
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 18] Arise, goe downe to meete Ahab King of Israel, which is in Samaria. loe, he is in the vineyarde of Naboth, whither he is gone downe to take possession of it.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 19] Therefore shalt thou say vnto him, Thus sayth the Lord, Hast thou killed, and also gotten possession? And thou shalt speake vnto him, saying, Thus sayth the Lord, In the place where dogs licked the blood of Naboth, shall dogs licke euen thy blood also.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 20] And Ahab sayd to Eliiah, Hast thou found mee, O mine enemie? And he answered, I haue found thee: for thou hast solde thy selfe to worke wickednes in the sight of the Lord.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 21] Beholde, I will bring euill vpon thee, and wil take away thy posteritie, and wil cut off from Ahab him that pisseth against the wall, as well him that is shut vp, as him that is left in Israel,
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 22] And I wil make thine house like the house of Ieroboam the sonne of Nebat, and like the house of Baasha the sonne of Ahiiah, for the prouocation wherewith thou hast prouoked, and made Israel to sinne.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 23] And also of Iezebel spake the Lord, saying, The dogs shall eate Iezebel, by the wall of Izreel.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 24] The dogs shall eate him of Ahabs stocke, that dyeth in the citie: and him that dyeth in the fieldes, shall the foules of the ayre eate.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 25] (But there was none like Ahab, who did fell him selfe, to worke wickednesse in the sight of the Lord: whom Iezebel his wife prouoked.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 26] For he did exceeding abominably in following idoles, according to all that the Amorites did, whom the Lord cast out before the children of Israel.)
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 27] Nowe when Ahab heard those wordes, he rent his clothes, and put sackcloth vpon him and fasted, and lay in sackecloth and went softely.
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 28] And the worde of the Lord came to Eliiah the Tishbite, saying,
[GNV | EN | OT | 1 Kings | Chapter 21 | Verse 29] Seest thou how Ahab is humbled before me? because he submitteth himselfe before me, I will not bring that euill in his dayes, but in his sonnes dayes wil I bring euill vpon his house.
