[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 1] After many dayes, the worde of the Lord came to Eliiah, in the third yeere, saying, Goe, shewe thy selfe vnto Ahab, and I will sende rayne vpon the earth.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 2] And Eliiah went to shew himselfe vnto Ahab, and there was a great famine in Samaria.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 3] And Ahab called Obadiah the gouernour of his house: (and Obadiah feared God greatly:
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 4] For when Iezebel destroyed the Prophets of the Lord, Obadiah tooke an hundreth Prophets, and hid them, by fiftie in a caue, and he fed them with bread and water.)
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 5] And Ahab saide vnto Obadiah, Goe into the land, vnto all the fountaines of water, and vnto all the riuers, if so be that we may finde grasse to saue the horses and the mules aliue, lest we depriue the lande of the beastes.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 6] And so they deuided the lande betweene them to walke thorowe it. Ahab went one way by him selfe, and Obadiah went another way by him selfe.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 7] And as Obadiah was in the way, behold, Eliiah met him: and he knew him, and fell on his face, and said, Art not thou my lord Eliiah?
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 8] And he answered him, Yea, goe tell thy lord, Behold, Eliiah is here.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 9] And he said, What haue I sinned, that thou wouldest deliuer thy seruant into the hande of Ahab, to slay me?
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 10] As the Lord thy God liueth, there is no nation or kingdome, whither my lorde hath not sent to seeke thee: and when they sayd, He is not here, he tooke an othe of the kingdome and nation, if they had not found thee.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 11] And now thou sayest, Goe, tell thy lorde, Beholde, Eliiah is here.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 12] And when I am gone from thee, the Spirit of the Lord shall cary thee into some place that I doe not know: so when I come and tell Ahab, if he cannot finde thee, then wil he kill me: But I thy seruant feare the Lord from my youth.
[GNV | EN | OT | 1 Kings | Chapter 18 | Verse 13] Was it not tolde my lord, what I did when Iezebel slew the Prophets of the Lord, how I hid an hundreth men of the Lordes Prophets by fifties in a caue, and fed them with bread and water?
