[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 1] And King Salomon was King ouer all Israel.
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 2] And these were his princes, Azariah the sonne of Zadok the Priest,
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 3] Elihoreph and Ahiah the sonnes of Shisha scribes, Iehoshaphat the sonne of Ahilud, the recorder,
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 4] And Benaiah the sonne of Iehoiada was ouer the hoste, and Zadok and Abiathar Priests,
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 5] And Azariah the sonne of Nathan was ouer the officers, and Zabud the sonne of Nathan Priest was the Kings friend,
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 6] And Ahishar was ouer the houshold: and Adoniram the sonne of Abda was ouer the tribute.
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 7] And Salomon had twelue officers ouer all Israel, which prouided vitailes for the King and his housholde: eche man had a moneth in the yeere to prouide vitailes.
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 8] And these are their names: the sonne of Hur in mount Ephraim:
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 9] The sonne of Dekar in Makaz, and in Shaalbim and Beth-shemesh, and Elon and Beth-hanan:
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 10] The sonne of Hesed in Aruboth, to whom perteined Sochoh, and all the land of Hepher:
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 11] The sonne of Abinadab in all the region of Dor, which had Taphath the daughter of Salomon to wife.
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 12] Baana the sonne of Ahilud in Taanach, and Megiddo, and in all Beth-shean, which is by Zartanah beneath Izreel, from Beth-shean to Abelmeholah, eue til beyond ouer against Iokmeam:
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 13] The sonne of Geber in Ramoth Gilead, and his were the townes of Iair, the sonne of Manasseh, which are in Gilead, and vnder him was the region of Argob, which is in Bashan: threescore great cities with walles and barres of brasse.
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 14] Ahinadab the sonne of Iddo had to Mahanaim:
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 15] Ahimaaz in Naphtali, and he tooke Basmath the daughter of Salomon to wife:
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 16] Baanah the sonne of Hushai in Asher and in Aloth:
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 17] Iehoshaphat the sonne of Paruah in Issachar.
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 18] Shimei the sonne of Elah in Beniamin:
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 19] Geber the sonne of Vri in the countrey of Gilead, the land of Sihon King of the Amorites, and of Og King of Bashan, and was officer alone in the land.
[GNV | EN | OT | 1 Kings | Chapter 4 | Verse 20] Iudah and Israel were many, as the sand of the sea in number, eating, drinking, and making merry.
