[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 1] And the Queene of Sheba hearing ye fame of Salomon (concerning the Name of the Lord) came to proue him with hard questions.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 2] And she came to Ierusalem with a verie great traine, and camels that bare sweete odours, and golde exceeding much, and precious stones: and shee came to Salomon, and communed with him of all that was in her heart.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 3] And Salomon declared vnto her all her questions: nothing was hid from the King, which he expounded not vnto her.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 4] Then the Queene of Sheba sawe all Salomons wisedome, and the house that he had built,
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 5] And the meate of his table, and the sitting of his seruants, and the order of his ministers, and their apparel, and his drinking vessels, and his burnt offrings, that he offered in the house of the Lord, and she was greatly astonied.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 6] And shee sayde vnto the King, It was a true worde that I heard in mine owne lande of thy sayings, and of thy wisedome.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 7] Howebeit I beleeued not this report till I came, and had seene it with mine eyes: but lo, ye one halfe was not tolde mee: for thou hast more wisedome and prosperitie, then I haue heard by report.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 8] Happy are the men, happie are these thy seruants, which stande euer before thee, and heare thy wisedome.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 9] Blessed be the Lord thy God, which loued thee, to set thee on the throne of Israel, because the Lord loued Israel for euer and made thee King to doe equitie and righteousnesse.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 10] And she gaue the King sixe score talents of golde, and of sweete odours exceeding much, and precious stones. There came no more such aboundance of sweete odours, as the Queene of Sheba gaue to King Salomon.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 11] The nauie also of Hiram (that caried gold from Ophir) brought likewise great plentie of Almuggim trees from Ophir and precious stones.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 12] And the King made of ye Almuggim trees pillars for the house of the Lord, and for ye Kings palace, and made harpes and psalteries for singers. There came no more such Almuggim trees, nor were any more seene vnto this day.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 13] And King Salomon gaue vnto the Queene of Sheba, whatsoeuer she would aske, besides that, which Salomon gaue her of his kingly liberalitie: so she returned and went to her owne countrey, both shee, and her seruantes.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 14] Also the weight of golde, that came to Salomon in one yeere, was sixe hundreth three score and six talents of gold,
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 15] Besides that he had of marchant men and of the marchandises of them that solde spices, and of all the Kinges of Arabia, and of the princes of the countrey.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 16] And King Salomon made two hundreth targets of beaten golde, sixe hundreth shekels of gold went to a target:
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 17] And three hundreth shieldes of beaten golde, three pound of gold went to one shielde: and the King put them in the house of the wood of Lebanon.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 18] Then the King made a great throne of yuorie, and couered it with the best golde.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 19] And the throne had six steps, and the top of the throne was round behind, and there were stayes on either side on the place of the throne, and two lions standing by the stayes.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 20] And there stoode twelue lions on the sixe steps on either side: there was not the like made in any kingdome.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 21] And all King Salomons drinking vessels were of golde, and all the vessels of the house of the woode of Lebanon were of pure golde, none were of siluer: for it was nothing esteemed in the dayes of Salomon.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 22] For the King had on the sea the nauie of Tharshish with the nauie of Hiram: once in three yere came the nauie of Tharshish, and brought golde and siluer, yuorie, and apes and peacockes.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 23] So King Salomon exceeded all the kings of the earth both in riches and in wisedome.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 24] And al the world sought to see Salomon, to heare his wisedome, which God had put in his heart,
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 25] And they brought euery man his present, vessels of siluer, and vessels of golde, and raiment, and armour, and sweete odours, horses and mules, from yeere to yeere.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 26] Then Salomon gathered together charrets and horsemen: and he had a thousand and foure hundreth charets, and twelue thousande horsemen, whome hee placed in the charet cities, and with the King at Ierusalem.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 27] And the King gaue siluer in Ierusalem as stones, and gaue cedars as the wilde figtrees that growe abundantly in the plaine.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 28] Also Salomon had horses brought out of Egypt, and fine linen: the Kings marchants receiued the linen for a price.
[GNV | EN | OT | 1 Kings | Chapter 10 | Verse 29] There came vp and went out of Egypt some charet, worth sixe hundreth shekels of siluer: that is, one horse, an hundreth and fiftie and thus they brought horses to all the Kings of the Hittites and to the Kings of Aram by their meanes.
