[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 1] Finally then, brethren, we beseech and exhort you in the Lord Jesus, as ye received of us how ye ought to walk and to please God, that ye would abound more and more.
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 2] For ye know what charge we gave you through the Lord Jesus.
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 3] For this is the will of God, even your sanctification, that ye abstain from fornication;
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 4] that each one of you know how to possess himself of his own vessel in sanctification and honor,
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 5] not in the passion of lust, even as the Gentiles who know not God;
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 6] that no man transgress, and wrong his brother in the matter: because the Lord is an avenger in all these things, as also we forewarned you and testified.
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 7] For God called us not for uncleanness, but in sanctification.
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 8] Therefore he that rejecteth, rejecteth not man, but God, who hath also given his Holy Spirit unto you.
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 9] But concerning love of the brethren ye have no need that one write unto you: for ye yourselves are taught of God to love one another;
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 10] for indeed ye do it toward all the brethren that are in all Macedonia. But we exhort you, brethren, that ye abound more and more;
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 11] and that ye study to be quiet, and to do your own business, and to work with your own hands, even as we charged you;
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 12] that ye may walk becomingly toward them that are without, and may have need of nothing.
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 13] But we would not have you ignorant, brethren, concerning them that are fallen asleep; that ye sorrow not, even as the rest, who have no hope.
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 14] For if we believe that Jesus died and rose again, even so them also that are fallen asleep in Jesus will God bring with him.
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 15] For this we say unto you by the word of the Lord, that we that are alive, that are left unto the coming of the Lord, shall in no wise precede them that are fallen asleep.
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 16] For the Lord himself shall descend from heaven, with a shout, with the voice of the archangel, and with the trump of God: and the dead in Christ shall rise first;
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 17] then we that are alive, that are left, shall together with them be caught up in the clouds, to meet the Lord in the air: and so shall we ever be with the Lord.
[ASV | EN | NT | 1 Thessalonians | Chapter 4 | Verse 18] Wherefore comfort one another with these words.
