[ASV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 1] Wherefore when we could no longer forbear, we thought it good to be left behind at Athens alone;
[ASV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 2] and sent Timothy, our brother, and God’s minister, and our fellow worker in the gospel of Christ, to establish you, and to comfort you concerning your faith;
[ASV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 3] that no man be moved by these afflictions; for you yourselves know that hereunto we are appointed.
[ASV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 4] For verily, when we were with you, we told you beforehand that we are to suffer affliction; even as it came to pass, and ye know.
[ASV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 5] For this cause I also, when I could no longer forbear, sent that I might know your faith, lest by any means the tempter had tempted you, and our labor should be in vain.
[ASV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 6] But when Timothy came even now unto us from you, and brought us glad tidings of your faith and love, and that ye have good remembrance of us always, longing to see us, even as we also to see you;
[ASV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 7] for this cause, brethren, we were comforted over you in all our affliction and distress through your faith:
[ASV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 8] for now we live, if ye stand fast in the Lord.
[ASV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 9] For what thanksgiving can we render again unto God for you, for all the joy wherewith we joy for your sakes before our God;
[ASV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 10] night and day praying exceedingly that we may see your face, and may perfect that which is lacking in your faith?
[ASV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 11] Now may our God and Father himself, and our Lord Jesus Christ, direct our way unto you:
[ASV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 12] and the Lord make you to increase and abound in love one toward another, and toward all men, even as we also do toward you;
[ASV | EN | NT | 1 Thessalonians | Chapter 3 | Verse 13] to the end he may establish your hearts unblamable in holiness before our God and Father, at the coming of our Lord Jesus Christ with all his saints.
