[GNV | EN | NT | Luke | Chapter 11 | Verse 1] And so it was, that as he was praying in a certaine place, when he ceased, one of his disciples said vnto him, Lord, teache vs to pray, as Iohn also taught his disciples.
[GNV | EN | NT | Luke | Chapter 11 | Verse 2] And he said vnto them, When ye pray, say, Our Father, which art in heauen, halowed be thy Name: Thy kingdome come: Let thy will be done, euen in earth, as it is in heauen:
[GNV | EN | NT | Luke | Chapter 11 | Verse 3] Our dayly bread giue vs for the day:
[GNV | EN | NT | Luke | Chapter 11 | Verse 4] And forgiue vs our sinnes: for euen we forgiue euery man that is indetted to vs: And leade vs not into temptation: but deliuer vs from euill.
[GNV | EN | NT | Luke | Chapter 11 | Verse 5] Moreouer he said vnto them, Which of you shall haue a friende, and shall goe to him at midnight, and say vnto him, Friende, lende mee three loaues?
[GNV | EN | NT | Luke | Chapter 11 | Verse 6] For a friende of mine is come out of the way to me, and I haue nothing to set before him:
[GNV | EN | NT | Luke | Chapter 11 | Verse 7] And hee within shoulde answere, and say, Trouble mee not: the doore is nowe shut, and my children are with mee in bed: I can not rise and giue them to thee.
[GNV | EN | NT | Luke | Chapter 11 | Verse 8] I say vnto you, Though he would not arise and giue him, because he is his friende, yet doubtlesse because of his importunitie, hee woulde rise, and giue him as many as he needed.
[GNV | EN | NT | Luke | Chapter 11 | Verse 9] And I say vnto you, Aske, and it shall be giuen you: seeke, and yee shall finde: knocke, and it shalbe opened vnto you.
[GNV | EN | NT | Luke | Chapter 11 | Verse 10] For euery one that asketh, receiueth: and he that seeketh, findeth: and to him that knocketh, it shalbe opened.
[GNV | EN | NT | Luke | Chapter 11 | Verse 11] If a sonne shall aske bread of any of you that is a father, will he giue him a stone? or if hee aske a fish, will he for a fish giue him a serpent?
[GNV | EN | NT | Luke | Chapter 11 | Verse 12] Or if hee aske an egge, will hee giue him a scorpion?
[GNV | EN | NT | Luke | Chapter 11 | Verse 13] If yee then which are euill, can giue good giftes vnto your children, howe much more shall your heauenly Father giue the holy Ghost to them, that desire him?
[GNV | EN | NT | Luke | Chapter 11 | Verse 14] Then hee cast out a deuill which was domme: and when the deuill was gone out, the domme spake, and the people wondered.
[GNV | EN | NT | Luke | Chapter 11 | Verse 15] But some of them said, He casteth out deuils through Beelzebub the chiefe of ye deuils.
[GNV | EN | NT | Luke | Chapter 11 | Verse 16] And others tempted him, seeking of him a signe from heauen.
[GNV | EN | NT | Luke | Chapter 11 | Verse 17] But he knew their thoughts, and said vnto them, Euery kingdom deuided against it self, shall be desolate, and an house deuided against an house, falleth.
[GNV | EN | NT | Luke | Chapter 11 | Verse 18] So if Satan also bee deuided against himselfe, howe shall his kingdome stande, because yee say that I cast out deuils through Beelzebub?
[GNV | EN | NT | Luke | Chapter 11 | Verse 19] If I through Beelzebub cast out deuils, by whome doe your children cast them out? Therefore shall they be your iudges.
[GNV | EN | NT | Luke | Chapter 11 | Verse 20] But if I by ye finger of God cast out deuils, doutles the kingdome of God is come vnto you.
[GNV | EN | NT | Luke | Chapter 11 | Verse 21] When a strong man armed keepeth his palace, the thinges that hee possesseth, are in peace.
[GNV | EN | NT | Luke | Chapter 11 | Verse 22] But when a stronger then hee, commeth vpon him, and ouercommeth him: hee taketh from him all his armour wherein he trusted, and deuideth his spoiles.
