[GNV | EN | NT | Luke | Chapter 15 | Verse 1] Then resorted vnto him all the Publicanes and sinners, to heare him.
[GNV | EN | NT | Luke | Chapter 15 | Verse 2] Therefore the Pharises and Scribes murmured, saying, Hee receiueth sinners, and eateth with them.
[GNV | EN | NT | Luke | Chapter 15 | Verse 3] Then spake hee this parable to them, saying,
[GNV | EN | NT | Luke | Chapter 15 | Verse 4] What man of you hauing an hundreth sheepe, if hee lose one of them, doeth not leaue ninetie and nine in the wildernesse, and goe after that which is lost, vntill he finde it?
[GNV | EN | NT | Luke | Chapter 15 | Verse 5] And when he hath found it, he laieth it on his shoulders with ioye.
[GNV | EN | NT | Luke | Chapter 15 | Verse 6] And when he commeth home, he calleth together his friendes and neighbours, saying vnto them, Reioyce with mee: for I haue founde my sheepe which was lost.
[GNV | EN | NT | Luke | Chapter 15 | Verse 7] I say vnto you, that likewise ioy shall be in heauen for one sinner that conuerteth, more then for ninetie and nine iust men, which neede none amendment of life.
[GNV | EN | NT | Luke | Chapter 15 | Verse 8] Either what woman hauing ten groates, if she lose one groate, doth not light a candle, and sweepe the house, and seeke diligently till shee finde it?
[GNV | EN | NT | Luke | Chapter 15 | Verse 9] And when shee hath found it, shee calleth her friendes, and neighbours, saying, Reioyce with me: for I haue found the groate which I had lost.
[GNV | EN | NT | Luke | Chapter 15 | Verse 10] Likewise I say vnto you, there is ioy in the presence of the Angels of God, for one sinner that conuerteth.
[GNV | EN | NT | Luke | Chapter 15 | Verse 11] He sayde moreouer, A certaine man had two sonnes.
[GNV | EN | NT | Luke | Chapter 15 | Verse 12] And the yonger of them sayde to his father, Father, giue mee the portion of the goods that falleth to mee. So he deuided vnto them his substance.
[GNV | EN | NT | Luke | Chapter 15 | Verse 13] So not many daies after, when the yonger sonne had gathered all together, hee tooke his iourney into a farre countrey, and there hee wasted his goods with riotous liuing.
[GNV | EN | NT | Luke | Chapter 15 | Verse 14] Nowe when hee had spent all, there arose a great dearth throughout that land, and he began to be in necessitie.
[GNV | EN | NT | Luke | Chapter 15 | Verse 15] Then hee went and claue to a citizen of that conntrey, and hee sent him to his farme, to feede swine.
[GNV | EN | NT | Luke | Chapter 15 | Verse 16] And hee would faine haue filled his bellie with the huskes, that the swine ate: but no man gaue them him.
[GNV | EN | NT | Luke | Chapter 15 | Verse 17] Then he came to him selfe, and said, Howe many hired seruaunts at my fathers haue bread ynough, and I die for hunger?
[GNV | EN | NT | Luke | Chapter 15 | Verse 18] I wil rise and goe to my father, and say vnto him, Father, I haue sinned against heaue, and before thee,
[GNV | EN | NT | Luke | Chapter 15 | Verse 19] And am no more worthy to be called thy sonne: make me as one of thy hired seruants.
[GNV | EN | NT | Luke | Chapter 15 | Verse 20] So hee arose and came to his father, and when hee was yet a great way off, his father sawe him, and had compassion, and ranne and fell on his necke, and kissed him.
[GNV | EN | NT | Luke | Chapter 15 | Verse 21] And the sonne sayde vnto him, Father, I haue sinned against heauen, and before thee, and am no more worthie to be called thy sonne.
[GNV | EN | NT | Luke | Chapter 15 | Verse 22] Then the father said to his seruaunts, Bring foorth the best robe, and put it on him, and put a ring on his hand, and shoes on his feete,
[GNV | EN | NT | Luke | Chapter 15 | Verse 23] And bring the fat calfe, and kill him, and let vs eate, and be merie:
[GNV | EN | NT | Luke | Chapter 15 | Verse 24] For this my sonne was dead, and is aliue againe: and he was lost, but he is found. And they began to be merie.
[GNV | EN | NT | Luke | Chapter 15 | Verse 25] Nowe the elder brother was in the fielde, and when he came and drewe neere to the house, he heard melodie, and dauncing,
[GNV | EN | NT | Luke | Chapter 15 | Verse 26] And called one of his seruaunts, and asked what those things meant.
[GNV | EN | NT | Luke | Chapter 15 | Verse 27] And hee sayde vnto him, Thy brother is come, and thy father hath killed the fatte calfe, because he hath receiued him safe and sound.
[GNV | EN | NT | Luke | Chapter 15 | Verse 28] Then he was angry, and would not goe in: therefore came his father out and entreated him.
[GNV | EN | NT | Luke | Chapter 15 | Verse 29] But he answered and said to his father, Loe, these many yeeres haue I done thee seruice, neither brake I at any time thy commadement, and yet thou neuer gauest mee a kidde that I might make merie with my friends.
[GNV | EN | NT | Luke | Chapter 15 | Verse 30] But when this thy sonne was come, which hath deuoured thy good with harlots, thou hast for his sake killed the fat calfe.
[GNV | EN | NT | Luke | Chapter 15 | Verse 31] And he said vnto him, Sonne, thou art euer with me, and al that I haue, is thine. It was meete that we shoulde make merie, and be glad: for this thy brother was dead, and is aliue againe: and hee was lost, but he is found.
