[GNV | EN | NT | Luke | Chapter 9 | Verse 1] Then called hee his twelue disciples together, and gaue them power and authoritie ouer all deuils, and to heale diseases.
[GNV | EN | NT | Luke | Chapter 9 | Verse 2] And hee sent them foorth to preach the kingdome of God, and to cure the sicke.
[GNV | EN | NT | Luke | Chapter 9 | Verse 3] And he sayd to them, Take nothing to your iourney, neither staues, nor scrip, neither bread, nor siluer, neither haue two coates apiece.
[GNV | EN | NT | Luke | Chapter 9 | Verse 4] And whatsoeuer house ye enter into, there abide, and thence depart.
[GNV | EN | NT | Luke | Chapter 9 | Verse 5] And howe many so euer will not receiue you, when ye goe out of that citie, shake off the very dust from your feete for a testimonie against them.
[GNV | EN | NT | Luke | Chapter 9 | Verse 6] And they went out, and went through euery towne preaching the Gospel, and healing euery where.
[GNV | EN | NT | Luke | Chapter 9 | Verse 7] Nowe Herod the Tetrarch heard of all that was done by him: and he douted, because that it was sayd of some, that Iohn was risen againe from the dead:
[GNV | EN | NT | Luke | Chapter 9 | Verse 8] And of some, that Elias had appeared: and of some, that one of the olde Prophets was risen againe.
[GNV | EN | NT | Luke | Chapter 9 | Verse 9] Then Herod sayd, Iohn haue I beheaded: who then is this of whome I heare such things? and he desired to see him.
[GNV | EN | NT | Luke | Chapter 9 | Verse 10] And when the Apostles returned, they tolde him what great things they had done. Then he tooke them to him, and went aside into a solitarie place, neere to the citie called Bethsaida.
[GNV | EN | NT | Luke | Chapter 9 | Verse 11] But when the people knewe it, they followed him: and he receiued them, and spake vnto them of the kingdome of God, and healed them that had neede to be healed.
[GNV | EN | NT | Luke | Chapter 9 | Verse 12] And when the day began to weare away, the twelue came, and sayd vnto him, Sende the people away, that they may goe into the townes and villages round about, and lodge, and get meate: for we are here in a desart place.
[GNV | EN | NT | Luke | Chapter 9 | Verse 13] But he sayd vnto them, Giue ye them to eate. And they sayd, We haue no more but fiue loaues and two fishes, except we should go and buy meate for all this people.
[GNV | EN | NT | Luke | Chapter 9 | Verse 14] For they were about fiue thousand men. Then he sayde to his disciples, Cause them to sit downe by fifties in a company.
[GNV | EN | NT | Luke | Chapter 9 | Verse 15] And they did so, and caused all to sit downe.
[GNV | EN | NT | Luke | Chapter 9 | Verse 16] Then he tooke the fiue loaues, and the two fishes, and looked vp to heauen, and blessed them, and brake, and gaue to the disciples, to set before the people.
[GNV | EN | NT | Luke | Chapter 9 | Verse 17] So they did all eate, and were satisfied: and there was taken vp of that remained to them, twelue baskets full of broken meate.
[GNV | EN | NT | Luke | Chapter 9 | Verse 18] And it came to passe, as hee was alone praying, his disciples were with him: and he asked them, saying, Whom say the people that I am?
[GNV | EN | NT | Luke | Chapter 9 | Verse 19] They answered, and sayd, Iohn Baptist: and others say, Elias: and some say, that one of the olde Prophets is risen againe.
[GNV | EN | NT | Luke | Chapter 9 | Verse 20] And he sayd vnto them, But whom say ye that I am? Peter answered, and sayd, That Christ of God.
