[GNV | EN | NT | Luke | Chapter 20 | Verse 1] And it came to passe, that on one of those dayes, as he taught the people in the Temple, and preached the Gospel, the hie Priests and the Scribes came vpon him with the Elders,
[GNV | EN | NT | Luke | Chapter 20 | Verse 2] And spake vnto him, saying, Tell vs by what authoritie thou doest these things, or who is hee that hath giuen thee this authoritie?
[GNV | EN | NT | Luke | Chapter 20 | Verse 3] And he answered, and sayde vnto them, I also will aske you one thing: tell me therefore:
[GNV | EN | NT | Luke | Chapter 20 | Verse 4] The baptisme of Iohn, was it from heauen, or of men?
[GNV | EN | NT | Luke | Chapter 20 | Verse 5] And they reasoned within themselues, saying, If we shall say, From heauen, he will say, Why then beleeued ye him not?
[GNV | EN | NT | Luke | Chapter 20 | Verse 6] But if we shall say, Of men, all the people will stone vs: for they be perswaded that Iohn was a Prophet.
[GNV | EN | NT | Luke | Chapter 20 | Verse 7] Therefore they answered, that they could not tell whence it was.
[GNV | EN | NT | Luke | Chapter 20 | Verse 8] Then Iesus sayd vnto them, Neither tell I you, by what authoritie I doe these things.
[GNV | EN | NT | Luke | Chapter 20 | Verse 9] Then began he to speake to ye people this parable, A certaine man planted a vineyarde, and let it forth to husbandmen: and went into a strange countrey, for a great time.
[GNV | EN | NT | Luke | Chapter 20 | Verse 10] And at the time conuenient he sent a seruant to the husbandmen, that they should giue him of the fruite of the vineyard: but the husbandmen did beate him, and sent him away emptie.
[GNV | EN | NT | Luke | Chapter 20 | Verse 11] Againe he sent yet another seruant: and they did beate him, and foule entreated him, and sent him away emptie.
[GNV | EN | NT | Luke | Chapter 20 | Verse 12] Moreouer he sent the third, and him they wounded, and cast out.
[GNV | EN | NT | Luke | Chapter 20 | Verse 13] Then sayd the Lord of the vineyard, What shall I doe? I will send my beloued sonne: it may be that they will doe reuerence, when they see him.
[GNV | EN | NT | Luke | Chapter 20 | Verse 14] But when the husbandmen sawe him, they reasoned with themselues, saying, This is the heire: come, let vs kill him, that the inheritance may be ours.
[GNV | EN | NT | Luke | Chapter 20 | Verse 15] So they cast him out of the vineyarde, and killed him. What shall the Lord of the vineyarde therefore doe vnto them?
[GNV | EN | NT | Luke | Chapter 20 | Verse 16] He will come and destroy these husbandmen, and wil giue out his vineyard to others. But when they heard it, they sayd, God forbid.
[GNV | EN | NT | Luke | Chapter 20 | Verse 17] And he beheld them, and said, What meaneth this then that is written, The stone that the builders refused, that is made the head of the corner?
[GNV | EN | NT | Luke | Chapter 20 | Verse 18] Whosoeuer shall fall vpon that stone, shall be broken: and on whomsoeuer it shall fall, it will grinde him to pouder.
[GNV | EN | NT | Luke | Chapter 20 | Verse 19] Then the hie Priests, and the Scribes the same houre went about to lay hands on him: (but they feared the people) for they perceiued that he had spoken this parable against them.
[GNV | EN | NT | Luke | Chapter 20 | Verse 20] And they watched him, and sent forth spies, which should faine themselues iust men, to take him in his talke, and to deliuer him vnto the power and authoritie of the gouernour.
[GNV | EN | NT | Luke | Chapter 20 | Verse 21] And they asked him, saying, Master, we know that thou sayest, and teachest right, neither doest thou accept mans person, but teachest the way of God truely.
[GNV | EN | NT | Luke | Chapter 20 | Verse 22] Is it lawfull for vs to giue Cesar tribute or no?
[GNV | EN | NT | Luke | Chapter 20 | Verse 23] But he perceiued their craftines, and sayd vnto them, Why tempt ye me?
[GNV | EN | NT | Luke | Chapter 20 | Verse 24] Shew me a penie. Whose image and superscription hath it? They answered, and sayd, Cesars.
[GNV | EN | NT | Luke | Chapter 20 | Verse 25] Then he sayd vnto them, Giue then vnto Cesar the things which are Cesars, and to God those which are Gods.
[GNV | EN | NT | Luke | Chapter 20 | Verse 26] And they could not reproue his saying before the people: but they marueiled at his answere, and helde their peace.
