[GNV | EN | NT | Luke | Chapter 22 | Verse 1] Now the feast of vnleauened bread drewe neere, which is called the Passeouer.
[GNV | EN | NT | Luke | Chapter 22 | Verse 2] And the hie Priests and Scribes sought how they might kill him: for they feared the people.
[GNV | EN | NT | Luke | Chapter 22 | Verse 3] Then entred Satan into Iudas, who was called Iscariot, and was of the nomber of the twelue.
[GNV | EN | NT | Luke | Chapter 22 | Verse 4] And he went his way, and communed with the hie Priestes and captaines, how he might betray him to them.
[GNV | EN | NT | Luke | Chapter 22 | Verse 5] So they were glad, and agreed to giue him money.
[GNV | EN | NT | Luke | Chapter 22 | Verse 6] And he consented, and sought opportunitie to betraye him vnto them, when the people were away.
[GNV | EN | NT | Luke | Chapter 22 | Verse 7] Then came the day of vnleauened bread, when the Passeouer must be sacrificed.
[GNV | EN | NT | Luke | Chapter 22 | Verse 8] And he sent Peter and Iohn, saying, Go and prepare vs the Passeouer, that we may eate it.
[GNV | EN | NT | Luke | Chapter 22 | Verse 9] And they saide to him, Where wilt thou, that we prepare it?
[GNV | EN | NT | Luke | Chapter 22 | Verse 10] Then he said vnto them, Beholde, when ye be entred into the citie, there shall a man meete you, bearing a pitcher of water: folowe him into the house that he entreth in,
[GNV | EN | NT | Luke | Chapter 22 | Verse 11] And say vnto the good man of the house, The Master saith vnto thee, Where is the lodging where I shall eate my Passeouer with my disciples?
[GNV | EN | NT | Luke | Chapter 22 | Verse 12] Then he shall shewe you a great hie chamber trimmed: there make it ready.
[GNV | EN | NT | Luke | Chapter 22 | Verse 13] So they went, and found as he had said vnto them, and made readie the Passeouer.
[GNV | EN | NT | Luke | Chapter 22 | Verse 14] And when the houre was come, hee sate downe, and the twelue Apostles with him.
[GNV | EN | NT | Luke | Chapter 22 | Verse 15] Then he saide vnto them, I haue earnestly desired to eate this Passeouer with you, before I suffer.
[GNV | EN | NT | Luke | Chapter 22 | Verse 16] For I say vnto you, Hencefoorth I will not eate of it any more, vntill it bee fulfilled in the kingdome of God.
[GNV | EN | NT | Luke | Chapter 22 | Verse 17] And hee tooke the cup, and gaue thankes, and said, Take this, and deuide it among you,
