[GNV | EN | NT | Luke | Chapter 13 | Verse 1] There were certaine men present at the same season, that shewed him of the Galileans, whose blood Pilate had mingled with their sacrifices.
[GNV | EN | NT | Luke | Chapter 13 | Verse 2] And Iesus answered, and saide vnto them, Suppose ye, that these Galileans were greater sinners then al the other Galileans, because they haue suffered such things?
[GNV | EN | NT | Luke | Chapter 13 | Verse 3] I tell you, nay: but except ye amend your liues, ye shall all likewise perish.
[GNV | EN | NT | Luke | Chapter 13 | Verse 4] Or thinke you that those eighteene, vpon whom the tower in Siloam fell, and slewe them, were sinners aboue all men that dwel in Hierusalem?
[GNV | EN | NT | Luke | Chapter 13 | Verse 5] I tell you, nay: but except ye amend your liues, ye shall all likewise perish.
[GNV | EN | NT | Luke | Chapter 13 | Verse 6] He spake also this parable, A certaine man had a figge tree planted in his vineyard: and he came and sought fruite thereon, and found none.
[GNV | EN | NT | Luke | Chapter 13 | Verse 7] Then said he to the dresser of his vineyard, Behold, this three yeeres haue I come and sought fruite of this figge tree, and finde none: cut it downe: why keepeth it also the ground barren?
[GNV | EN | NT | Luke | Chapter 13 | Verse 8] And he answered, and said vnto him, Lord, let it alone this yeere also, till I digge round about it, and doung it.
[GNV | EN | NT | Luke | Chapter 13 | Verse 9] And if it beare fruite, well: if not, then after thou shalt cut it downe.
[GNV | EN | NT | Luke | Chapter 13 | Verse 10] And he taught in one of ye Synagogues on the Sabbath day.
[GNV | EN | NT | Luke | Chapter 13 | Verse 11] And behold, there was a woman which had a spirit of infirmitie eighteene yeeres, and was bowed together, and coulde not lift vp her selfe in any wise.
[GNV | EN | NT | Luke | Chapter 13 | Verse 12] When Iesus sawe her, he called her to him, and said to her, Woman, thou art loosed from thy disease.
[GNV | EN | NT | Luke | Chapter 13 | Verse 13] And he laide his handes on her, and immediately she was made straight againe, and glorified God.
[GNV | EN | NT | Luke | Chapter 13 | Verse 14] And the ruler of the Synagogue answered with indignation, because that Iesus healed on the Sabbath day, and said vnto the people, There are sixe dayes in which men ought to worke: in them therefore come and be healed, and not on the Sabbath day.
[GNV | EN | NT | Luke | Chapter 13 | Verse 15] Then answered him the Lord, and said, Hypocrite, doth not eche one of you on the Sabbath day loose his oxe or his asse from the stall, and leade him away to the water?
[GNV | EN | NT | Luke | Chapter 13 | Verse 16] And ought not this daughter of Abraham, whom Satan had bound, loe, eighteene yeeres, be loosed from this bond on the Sabbath day?
[GNV | EN | NT | Luke | Chapter 13 | Verse 17] And when he said these things, all his aduersaries were ashamed: but all the people reioyced at all the excellent things, that were done by him.
[GNV | EN | NT | Luke | Chapter 13 | Verse 18] Then said he, What is the kingdome of God like? or whereto shall I compare it?
[GNV | EN | NT | Luke | Chapter 13 | Verse 19] It is like a graine of mustard seede, which a man tooke and sowed in his garden, and it grewe, and waxed a great tree, and the foules of the heauen made nestes in the branches thereof.
[GNV | EN | NT | Luke | Chapter 13 | Verse 20] And againe he said, Whereunto shall I liken the kingdome of God?
[GNV | EN | NT | Luke | Chapter 13 | Verse 21] It is like leauen, which a woman tooke, and hid in three peckes of floure, till all was leauened.
[GNV | EN | NT | Luke | Chapter 13 | Verse 22] And he went through all cities and townes, teaching, and iourneying towards Hierusalem.
[GNV | EN | NT | Luke | Chapter 13 | Verse 23] Then saide one vnto him, Lord, are there fewe that shalbe saued? And he said vnto them,
[GNV | EN | NT | Luke | Chapter 13 | Verse 24] Striue to enter in at the straite gate: for many, I say vnto you, will seeke to enter in, and shall not be able.
[GNV | EN | NT | Luke | Chapter 13 | Verse 25] When the good man of the house is risen vp, and hath shut to the doore, and ye begin to stand without, and to knocke at the doore, saying, Lord, Lord, open to vs, and he shall answere and say vnto you, I know you not whence ye are,
[GNV | EN | NT | Luke | Chapter 13 | Verse 26] Then shall ye begin to say, We haue eaten and drunke in thy presence, and thou hast taught in our streetes.
[GNV | EN | NT | Luke | Chapter 13 | Verse 27] But he shall say, I tell you, I knowe you not whence ye are: depart from me, all ye workers of iniquitie.
[GNV | EN | NT | Luke | Chapter 13 | Verse 28] There shall be weeping and gnashing of teeth when ye shall see Abraham and Isaac, and Iacob, and all the Prophets in the kingdome of God, and your selues thrust out at doores.
[GNV | EN | NT | Luke | Chapter 13 | Verse 29] Then shall come many from the East, and from the West, and from the North, and from the South, and shall sit at Table in the kingdome of God.
[GNV | EN | NT | Luke | Chapter 13 | Verse 30] And beholde, there are last, which shalbe first, and there are first, which shalbe last.
[GNV | EN | NT | Luke | Chapter 13 | Verse 31] The same day there came certaine Pharises, and said vnto him, Depart, and goe hence: for Herod will kill thee.
[GNV | EN | NT | Luke | Chapter 13 | Verse 32] Then said he vnto them, Goe ye and tell that foxe, Beholde, I cast out deuils, and will heale still to day, and to morowe, and the third day I shalbe perfected.
[GNV | EN | NT | Luke | Chapter 13 | Verse 33] Neuerthelesse I must walke to day, and to morowe, and the day following: for it cannot be that a Prophet should perish out of Hierusalem.
[GNV | EN | NT | Luke | Chapter 13 | Verse 34] O Hierusalem, Hierusalem, which killest the Prophets, and stonest them that are sent to thee, howe often would I haue gathered thy children together, as the henne gathereth her brood vnder her wings, and ye would not!
[GNV | EN | NT | Luke | Chapter 13 | Verse 35] Beholde, your house is left vnto you desolate: and verely I tell you, ye shall not see me vntill the time come that ye shall say, Blessed is he that commeth in the Name of the Lord.
