[GNV | EN | NT | Luke | Chapter 19 | Verse 1] Now when Iesus entred and passed through Iericho,
[GNV | EN | NT | Luke | Chapter 19 | Verse 2] Beholde, there was a man named Zaccheus, which was the chiefe receiuer of the tribute, and he was riche.
[GNV | EN | NT | Luke | Chapter 19 | Verse 3] And he sought to see Iesus, who hee should be, and coulde not for the preasse, because he was of a lowe stature.
[GNV | EN | NT | Luke | Chapter 19 | Verse 4] Wherefore he ranne before, and climed vp into a wilde figge tree, that he might see him: for he should come that way.
[GNV | EN | NT | Luke | Chapter 19 | Verse 5] And when Iesus came to the place, he looked vp, and saw him, and said vnto him, Zaccheus, come downe at once: for to day I must abide at thine house.
[GNV | EN | NT | Luke | Chapter 19 | Verse 6] Then he came downe hastily, and receiued him ioyfully.
[GNV | EN | NT | Luke | Chapter 19 | Verse 7] And when all they sawe it, they murmured, saying, that hee was gone in to lodge with a sinfull man.
[GNV | EN | NT | Luke | Chapter 19 | Verse 8] And Zaccheus stood forth, and said vnto the Lord, Beholde, Lord, the halfe of my goods I giue to the poore: and if I haue taken from any man by forged cauillation, I restore him foure folde.
[GNV | EN | NT | Luke | Chapter 19 | Verse 9] Then Iesus said to him, This day is saluation come vnto this house, forasmuch as hee is also become the sonne of Abraham.
[GNV | EN | NT | Luke | Chapter 19 | Verse 10] For the Sonne of man is come to seeke, and to saue that which was lost.
[GNV | EN | NT | Luke | Chapter 19 | Verse 11] And whiles they heard these thinges, hee continued and spake a parable, because hee was neere to Hierusalem, and because also they thought that the kingdom of God should shortly appeare.
[GNV | EN | NT | Luke | Chapter 19 | Verse 12] He saide therefore, A certaine noble man went into a farre countrey, to receiue for himselfe a kingdome, and so to come againe.
[GNV | EN | NT | Luke | Chapter 19 | Verse 13] And he called his ten seruants, and deliuered them ten pieces of money, and sayd vnto them, Occupie till I come.
[GNV | EN | NT | Luke | Chapter 19 | Verse 14] Nowe his citizens hated him, and sent an ambassage after him, saying, We will not haue this man to reigne ouer vs.
[GNV | EN | NT | Luke | Chapter 19 | Verse 15] And it came to passe, when hee was come againe, and had receiued his kingdome, that he commanded the seruants to be called to him, to whome he gaue his money, that he might knowe what euery man had gained.
[GNV | EN | NT | Luke | Chapter 19 | Verse 16] Then came the first, saying, Lord, thy piece hath encreased ten pieces.
[GNV | EN | NT | Luke | Chapter 19 | Verse 17] And he sayd vnto him, Well, good seruant: because thou hast bene faithfull in a very litle thing, take thou authoritie ouer ten cities.
[GNV | EN | NT | Luke | Chapter 19 | Verse 18] And the second came, saying, Lord, thy piece hath encreased fiue pieces.
[GNV | EN | NT | Luke | Chapter 19 | Verse 19] And to the same he sayd, Be thou also ruler ouer fiue cities.
[GNV | EN | NT | Luke | Chapter 19 | Verse 20] So the other came, and sayd, Lord, beholde thy piece, which I haue laide vp in a napkin:
[GNV | EN | NT | Luke | Chapter 19 | Verse 21] For I feared thee, because thou art a straight man: thou takest vp, that thou layedst not downe, and reapest that thou diddest not sowe.
[GNV | EN | NT | Luke | Chapter 19 | Verse 22] Then he sayde vnto him, Of thine owne mouth will I iudge thee, O euill seruant. Thou knewest that I am a straight man, taking vp that I layd not downe, and reaping that I did not sowe.
[GNV | EN | NT | Luke | Chapter 19 | Verse 23] Wherefore then gauest not thou my money into the banke, that at my coming I might haue required it with vantage?
[GNV | EN | NT | Luke | Chapter 19 | Verse 24] And he sayd to them that stoode by, Take from him that piece, and giue it him that hath ten pieces.
[GNV | EN | NT | Luke | Chapter 19 | Verse 25] (And they sayd vnto him, Lord, hee hath ten pieces.)
[GNV | EN | NT | Luke | Chapter 19 | Verse 26] For I say vnto you, that vnto all them that haue, it shalbe giuen: and from him that hath not, euen that he hath, shalbe taken from him.
[GNV | EN | NT | Luke | Chapter 19 | Verse 27] Moreouer, those mine enemies, which would not that I should reigne ouer them, bring hither, and slay them before me.
[GNV | EN | NT | Luke | Chapter 19 | Verse 28] And when he had thus spoken, he went forth before, ascending vp to Hierusalem.
[GNV | EN | NT | Luke | Chapter 19 | Verse 29] And it came to passe, when hee was come neere to Bethphage, and Bethania, besides the mount which is called the mount of Oliues, he sent two of his disciples,
[GNV | EN | NT | Luke | Chapter 19 | Verse 30] Saying, Goe ye to the towne which is before you, wherein, assoone as ye are come, ye shall finde a colte tied, whereon neuer man sate: loose him, and bring him hither.
[GNV | EN | NT | Luke | Chapter 19 | Verse 31] And if any man aske you, why ye loose him, thus shall ye say vnto him, Because the Lord hath neede of him.
[GNV | EN | NT | Luke | Chapter 19 | Verse 32] So they that were sent, went their way, and found it as he had sayd vnto them.
[GNV | EN | NT | Luke | Chapter 19 | Verse 33] And as they were loosing the colte, the owners thereof sayd vnto them, Why loose ye the colte?
[GNV | EN | NT | Luke | Chapter 19 | Verse 34] And they sayd, The Lord hath neede of him.
[GNV | EN | NT | Luke | Chapter 19 | Verse 35] So they brought him to Iesus, and they cast their garments on the colte, and set Iesus thereon.
[GNV | EN | NT | Luke | Chapter 19 | Verse 36] And as he went, they spred their clothes in the way.
[GNV | EN | NT | Luke | Chapter 19 | Verse 37] And when he was nowe come neere to the going downe of the mount of Oliues, the whole multitude of the disciples began to reioyce, and to prayse God with a loude voyce, for all the great workes that they had seene,
[GNV | EN | NT | Luke | Chapter 19 | Verse 38] Saying, Blessed be the King that commeth in the Name of the Lord: peace in heauen, and glory in the highest places.
[GNV | EN | NT | Luke | Chapter 19 | Verse 39] Then some of the Pharises of the companie sayd vnto him, Master, rebuke thy disciples.
[GNV | EN | NT | Luke | Chapter 19 | Verse 40] But he answered, and sayd vnto them, I tell you, that if these should holde their peace, the stones would crie.
[GNV | EN | NT | Luke | Chapter 19 | Verse 41] And when he was come neere, he behelde the Citie, and wept for it,
[GNV | EN | NT | Luke | Chapter 19 | Verse 42] Saying, O if thou haddest euen knowen at the least in this thy day those things, which belong vnto thy peace! but nowe are they hid from thine eyes.
[GNV | EN | NT | Luke | Chapter 19 | Verse 43] For the dayes shall come vpon thee, that thine enemies shall cast a trench about thee, and compasse thee round, and keepe thee in on euery side,
[GNV | EN | NT | Luke | Chapter 19 | Verse 44] And shall make thee euen with ye ground, and thy children which are in thee, and they shall not leaue in thee a stone vpon a stone, because thou knewest not that season of thy visitation.
[GNV | EN | NT | Luke | Chapter 19 | Verse 45] He went also into the Temple, and began to cast out them that solde therein, and them that bought,
[GNV | EN | NT | Luke | Chapter 19 | Verse 46] Saying vnto them, It is written, Mine house is the house of prayer, but ye haue made it a denne of theeues.
[GNV | EN | NT | Luke | Chapter 19 | Verse 47] And he taught dayly in the Temple. And the hie Priests and the Scribes, and the chiefe of the people sought to destroy him.
[GNV | EN | NT | Luke | Chapter 19 | Verse 48] But they could not finde what they might doe to him: for all the people hanged vpon him when they heard him.
